date,open,high,low,close,volume
2015-11-26,9.78,10.08,9.78,9.86,417710
2015-11-27,9.78,9.91,9.73,9.86,239820
2015-11-30,9.78,9.86,9.73,9.82,136460
2015-12-01,9.82,9.95,9.78,9.86,148900
2015-12-02,9.86,10.0,9.82,9.95,211310
2015-12-03,9.95,10.04,9.86,9.95,129480
2015-12-04,9.86,9.95,9.78,9.95,211210
2015-12-07,9.91,9.95,9.86,9.86,99580
2015-12-08,9.86,9.95,9.78,9.95,151580
2015-12-09,9.91,9.95,9.69,9.73,142240
2015-12-10,9.73,9.91,9.69,9.78,120770
2015-12-11,9.73,9.86,9.73,9.82,109260
2015-12-14,9.78,9.91,9.78,9.82,105720
2015-12-15,9.82,9.95,9.82,9.95,178630
2015-12-16,9.95,10.0,9.86,9.95,114190
2015-12-17,9.91,10.13,9.91,10.13,215510
2015-12-18,10.08,10.13,10.0,10.04,137400
2015-12-21,10.04,10.04,9.91,10.04,104120
2015-12-22,10.0,10.04,9.95,9.95,101470
2015-12-23,9.95,10.0,9.86,9.95,99130
2015-12-24,9.95,10.0,9.86,10.0,102650
2015-12-25,10.0,10.04,9.95,10.0,101940
2015-12-28,10.0,10.04,9.86,9.91,102310
2015-12-29,9.91,9.95,9.86,9.91,101200
2015-12-30,9.91,9.95,9.86,9.86,97520
2015-12-31,9.86,10.0,9.86,10.0,115390
2016-01-04,9.95,10.04,9.91,9.91,110400
2016-01-05,9.86,9.91,9.82,9.91,100490
2016-01-06,9.91,10.13,9.86,10.13,171200
2016-01-07,10.04,10.08,9.95,10.04,102300
2016-01-08,10.0,10.04,9.95,9.95,99190
2016-01-11,9.91,9.95,9.82,9.95,119260
2016-01-12,9.91,10.39,9.86,10.35,336060
2016-01-13,10.3,10.39,10.26,10.35,147710
2016-01-14,10.3,10.35,10.21,10.26,121400
2016-01-15,10.26,10.3,10.08,10.08,103850
2016-01-18,10.04,10.04,9.86,9.91,201020
2016-01-19,9.91,10.08,9.91,10.04,160440
2016-01-20,10.0,10.04,9.91,9.95,100010
2016-01-21,10.04,10.04,9.95,10.0,102650
2016-01-22,10.04,10.04,9.95,10.04,268220
2016-01-25,10.04,10.3,10.0,10.3,283910
2016-01-26,10.21,10.26,10.08,10.08,100180
2016-01-27,10.13,10.35,10.08,10.35,170130
2016-01-28,10.3,10.52,10.3,10.39,187830
2016-01-29,10.3,10.48,10.26,10.48,152200
2016-02-01,10.39,10.48,10.26,10.3,119670
2016-02-02,10.3,10.39,10.26,10.35,100520
2016-02-03,10.3,10.3,10.13,10.26,185110
2016-02-04,10.21,10.3,10.21,10.3,92250
2016-02-05,10.3,10.35,10.26,10.35,95380
2016-02-15,10.35,10.39,10.21,10.39,121010
2016-02-16,10.35,10.48,10.35,10.48,199630
2016-02-17,10.43,10.48,10.35,10.48,106320
2016-02-18,10.48,10.52,10.35,10.48,120670
2016-02-19,10.43,10.43,10.3,10.3,126140
2016-02-22,10.3,10.35,10.26,10.26,144520
2016-02-23,10.3,10.35,10.21,10.26,182330
2016-02-24,10.26,10.3,10.17,10.3,150620
2016-02-25,10.26,10.3,10.04,10.04,166340
2016-02-26,10.04,10.21,10.04,10.21,166760
2016-02-29,10.21,10.21,10.0,10.13,139290
2016-03-01,10.13,10.3,10.04,10.26,255850
2016-03-02,10.26,10.61,10.26,10.61,286590
2016-03-03,10.57,10.61,10.43,10.48,184570
2016-03-04,10.48,10.57,10.43,10.52,162820
2016-03-07,10.48,10.52,10.35,10.39,105250
2016-03-08,10.39,10.43,10.21,10.35,104410
2016-03-09,10.35,10.35,10.26,10.35,101330
2016-03-10,10.35,10.39,10.26,10.35,81690
2016-03-11,10.43,10.43,10.35,10.39,139990
2016-03-14,10.3,10.39,10.21,10.35,102210
2016-03-15,10.3,10.3,10.21,10.3,101980
2016-03-16,10.3,10.35,10.17,10.17,120860
2016-03-17,10.17,10.3,10.17,10.3,108120
2016-03-18,10.26,10.35,10.21,10.21,142130
2016-03-21,10.3,10.3,10.21,10.26,150930
2016-03-22,10.26,10.35,10.21,10.35,330050
2016-03-23,10.48,10.48,10.3,10.39,99890
2016-03-24,10.39,10.48,10.3,10.3,183120
2016-03-25,10.3,10.39,10.26,10.3,96590
2016-03-28,10.3,10.48,10.3,10.48,105180
2016-03-29,10.44,10.44,10.35,10.39,91390
2016-03-30,10.39,10.48,10.3,10.35,126590
2016-03-31,10.35,10.39,10.12,10.12,162290
2016-04-01,10.03,10.03,9.77,9.77,169200
2016-04-04,9.77,9.9,9.68,9.86,180810
2016-04-05,9.77,9.95,9.72,9.95,163610
2016-04-06,9.81,10.03,9.81,9.95,143390
2016-04-07,9.95,9.99,9.77,9.77,183670
2016-04-08,9.81,9.95,9.72,9.95,249030
2016-04-11,9.95,10.3,9.9,10.17,223930
2016-04-12,10.21,10.26,10.03,10.08,183950
2016-04-13,10.12,10.26,10.03,10.12,197470
2016-04-14,10.08,10.21,10.03,10.03,156540
2016-04-15,10.03,10.17,9.99,10.08,133880
2016-04-19,10.03,10.08,9.95,9.95,101790
2016-04-20,9.99,10.03,9.9,9.95,80180
2016-04-21,9.95,10.03,9.95,9.95,75160
2016-04-22,9.99,10.12,9.95,10.12,124050
2016-04-25,10.08,10.21,10.08,10.17,118810
2016-04-26,10.12,10.26,10.03,10.26,136500
2016-04-27,10.26,10.26,10.12,10.21,152370
2016-04-28,10.17,10.39,10.17,10.35,246310
2016-04-29,10.26,10.52,10.21,10.44,274110
2016-05-04,10.35,10.44,10.3,10.44,156760
2016-05-05,10.35,10.66,10.35,10.66,297470
2016-05-06,10.61,10.84,10.57,10.75,311310
2016-05-09,10.66,10.84,10.52,10.57,168280
2016-05-10,10.48,10.66,10.44,10.48,246530
2016-05-11,10.48,10.52,10.35,10.44,191400
2016-05-12,10.44,10.66,10.44,10.57,284590
2016-05-13,10.57,10.66,10.48,10.61,244830
2016-05-16,10.61,10.7,10.57,10.66,187380
2016-05-17,10.7,10.7,10.48,10.66,350650
2016-05-18,10.66,10.7,10.48,10.57,206670
2016-05-19,10.48,10.61,10.48,10.48,170310
2016-05-20,10.52,10.57,10.35,10.35,207500
2016-05-23,10.3,10.48,10.3,10.44,155060
2016-05-24,10.48,10.57,10.44,10.44,206050
2016-05-25,10.48,10.52,10.39,10.44,167420
2016-05-26,10.39,10.44,10.3,10.44,169690
2016-05-27,10.39,10.48,10.35,10.48,162950
2016-05-30,10.48,10.61,10.35,10.35,213200
2016-05-31,10.39,10.44,10.3,10.35,215820
2016-06-01,10.35,10.35,10.26,10.35,149890
2016-06-02,10.35,10.39,10.26,10.3,128560
2016-06-03,10.35,10.39,10.21,10.35,143510
2016-06-06,10.35,10.44,10.21,10.26,101970
2016-06-07,10.3,10.35,10.17,10.21,137320
2016-06-08,10.17,10.3,10.12,10.17,121550
2016-06-09,10.17,10.21,10.08,10.17,129170
2016-06-10,10.21,10.21,10.03,10.17,176720
2016-06-13,10.12,10.12,10.03,10.03,102350
2016-06-14,10.08,10.17,10.03,10.12,91090
2016-06-15,10.08,10.08,9.9,9.95,103640
2016-06-16,9.95,9.95,9.86,9.86,101610
2016-06-17,9.86,9.9,9.81,9.9,143380
2016-06-20,9.95,9.99,9.86,9.86,98560
2016-06-21,9.86,9.95,9.81,9.86,95610
2016-06-22,9.86,9.86,9.77,9.86,101250
2016-06-23,9.9,9.9,9.77,9.86,116120
2016-06-24,9.86,9.86,9.41,9.59,126850
2016-06-27,9.5,9.54,9.32,9.37,26330
2016-06-28,9.37,9.41,9.37,9.37,112680
2016-06-29,9.37,9.86,9.37,9.81,152500
2016-06-30,9.81,10.03,9.77,10.03,252630
2016-07-01,9.95,10.35,9.9,10.26,322750
2016-07-04,10.21,10.3,10.17,10.21,191320
2016-07-05,10.17,10.17,9.95,10.08,159800
2016-07-06,10.08,10.08,9.81,9.81,118980
2016-07-07,9.86,10.03,9.77,9.81,246050
2016-07-08,9.77,9.9,9.77,9.81,139480
