date,open,high,low,close,volume
2015-11-26,15.83,16.09,15.83,16.09,75930
2015-11-27,15.3,16.62,15.3,16.09,39770
2015-11-30,16.09,16.3,16.09,16.09,33650
2015-12-01,16.09,16.09,16.09,16.09,22090
2015-12-02,15.83,16.25,15.83,16.09,4700
2015-12-03,15.88,16.14,15.88,16.14,4420
2015-12-04,16.14,16.14,15.99,16.09,11330
2015-12-07,16.09,16.25,16.09,16.25,2220
2015-12-08,16.25,16.25,15.88,15.88,2700
2015-12-09,16.3,16.3,16.09,16.2,50450
2015-12-10,16.2,16.25,16.09,16.25,8110
2015-12-11,16.25,16.25,16.09,16.09,45210
2015-12-14,16.09,16.14,16.09,16.14,10150
2015-12-15,16.3,16.3,16.09,16.09,2410
2015-12-16,15.04,16.35,15.04,16.14,10510
2015-12-17,16.09,16.09,16.09,16.09,2800
2015-12-18,16.14,16.14,16.14,16.14,500
2015-12-21,16.35,16.35,16.09,16.09,30360
2015-12-22,16.2,16.2,16.09,16.09,50740
2015-12-23,16.09,16.09,16.09,16.09,99190
2015-12-24,16.35,17.2,16.35,17.2,7500
2015-12-25,18.36,18.36,16.35,18.2,151790
2015-12-28,18.2,18.47,17.25,18.47,19920
2015-12-29,18.41,18.47,18.41,18.47,21500
2015-12-30,17.2,18.36,17.2,18.36,50060
2015-12-31,18.31,18.36,17.94,18.36,38100
2016-01-04,18.31,18.31,17.3,17.3,20
2016-01-05,17.3,17.41,17.15,17.41,2100
2016-01-06,17.41,17.41,16.83,16.83,11280
2016-01-07,16.62,16.83,16.41,16.83,11770
2016-01-08,16.41,16.88,16.35,16.88,2470
2016-01-11,16.35,17.04,16.35,17.04,510
2016-01-12,15.99,16.99,15.99,16.88,5740
2016-01-13,16.88,16.88,16.14,16.14,5120
2016-01-14,16.09,16.83,16.09,16.83,1260
2016-01-15,16.88,16.88,16.88,16.88,70
2016-01-18,16.09,16.83,16.09,16.78,3660
2016-01-19,16.83,16.83,16.78,16.83,5020
2016-01-20,16.88,16.88,16.88,16.88,1010
2016-01-21,16.72,16.72,16.35,16.35,2310
2016-01-22,16.35,16.88,15.3,16.88,3490
2016-01-25,17.09,17.09,16.09,16.09,170
2016-01-26,16.09,16.72,16.09,16.67,3050
2016-01-27,16.62,16.62,15.83,16.09,21920
2016-01-28,15.83,16.09,15.83,16.09,5450
2016-01-29,15.83,15.83,15.83,15.83,970
2016-02-01,16.09,16.09,15.41,15.83,2180
2016-02-02,15.46,15.46,15.46,15.46,50
2016-02-03,15.46,16.46,15.46,16.46,2220
2016-02-04,15.83,16.46,15.56,16.46,21320
2016-02-05,16.62,16.62,15.83,16.09,30510
2016-02-15,15.88,15.88,15.83,15.83,3190
2016-02-16,15.83,15.83,15.3,15.62,28220
2016-02-17,15.83,15.83,15.35,15.62,68810
2016-02-18,15.83,15.83,15.67,15.67,21640
2016-02-19,15.67,15.67,15.56,15.56,71470
2016-02-22,15.56,15.72,15.56,15.72,2270
2016-02-23,15.72,15.72,15.41,15.41,70990
2016-02-24,15.72,15.72,15.41,15.72,37290
2016-02-25,15.72,15.77,15.56,15.56,8540
2016-02-26,15.56,15.72,15.56,15.62,13580
2016-02-29,15.62,15.62,15.62,15.62,23140
2016-03-01,15.62,15.62,15.62,15.62,6130
2016-03-02,15.62,15.67,15.62,15.67,105510
2016-03-03,15.62,15.77,15.62,15.77,5200
2016-03-04,15.77,15.77,15.62,15.62,36240
2016-03-07,15.62,15.72,15.62,15.72,14330
2016-03-08,15.72,16.78,15.72,16.78,17250
2016-03-09,17.3,17.3,15.83,16.04,123910
2016-03-10,16.04,16.09,15.83,15.99,137680
2016-03-11,15.93,15.99,15.93,15.99,14800
2016-03-14,15.56,15.99,15.56,15.99,4610
2016-03-15,15.99,15.99,15.77,15.99,10920
2016-03-16,15.93,15.93,15.67,15.93,4550
2016-03-17,15.93,15.93,15.93,15.93,1910
2016-03-18,15.88,15.93,15.88,15.93,1740
2016-03-21,15.67,15.72,15.62,15.67,36820
2016-03-22,15.67,15.83,15.62,15.67,21700
2016-03-23,16.3,16.3,15.83,15.99,24720
2016-03-24,16.04,16.09,15.67,16.09,16520
2016-03-25,15.67,15.77,15.62,15.77,109510
2016-03-28,15.72,15.72,15.67,15.67,13400
2016-03-29,15.72,15.72,15.67,15.67,7510
2016-03-30,15.67,15.99,15.67,15.99,6930
2016-03-31,15.77,15.93,15.77,15.77,35790
2016-04-01,15.77,15.77,15.77,15.77,124330
2016-04-04,15.62,15.77,15.62,15.77,101620
2016-04-05,15.77,15.83,15.77,15.83,202510
2016-04-06,16.09,16.09,16.09,16.09,5000
2016-04-07,16.09,16.09,15.88,15.93,27050
2016-04-08,15.88,15.99,15.88,15.99,35590
2016-04-11,16.35,16.35,16.04,16.04,44310
2016-04-12,16.04,16.35,16.04,16.09,26460
2016-04-13,16.72,16.72,16.14,16.46,44570
2016-04-14,16.72,17.15,16.72,16.99,79440
2016-04-15,16.88,17.3,16.88,16.99,32000
2016-04-19,16.99,18.1,16.99,17.67,55850
2016-04-20,17.67,17.67,17.41,17.67,115550
2016-04-21,17.94,17.94,17.46,17.73,25910
2016-04-22,17.73,17.73,17.46,17.46,128180
2016-04-25,17.41,17.94,17.41,17.88,51500
2016-04-26,18.2,18.57,18.2,18.2,115400
2016-04-27,18.25,19.41,18.25,18.36,250890
2016-04-28,18.73,18.73,18.31,18.68,70240
2016-04-29,18.94,19.89,18.89,19.84,132770
2016-05-04,20.68,20.68,19.78,20.21,141510
2016-05-05,20.31,20.84,20.31,20.58,137780
2016-05-06,20.58,20.58,20.05,20.31,46150
2016-05-09,19.73,20.31,19.52,19.57,37150
2016-05-10,18.31,19.52,18.31,19.1,57570
2016-05-11,18.99,19.47,18.89,19.36,181440
2016-05-12,20.26,20.26,18.47,19.31,22370
2016-05-13,19.26,19.78,19.26,19.52,41880
2016-05-16,19.52,19.52,19.26,19.52,21540
2016-05-17,19.26,19.41,18.78,19.26,24850
2016-05-18,18.99,18.99,18.73,18.94,5850
2016-05-19,19.52,19.52,18.52,18.62,11990
2016-05-20,18.62,18.89,18.47,18.89,9450
2016-05-23,18.89,20.0,18.89,18.99,12840
2016-05-24,19.78,19.78,18.94,18.99,11110
2016-05-25,19.52,20.0,19.41,19.63,13010
2016-05-26,20.0,20.0,19.52,19.52,5560
2016-05-27,19.26,19.52,19.26,19.52,8350
2016-05-30,19.52,19.52,19.05,19.52,61050
2016-05-31,19.84,19.84,19.52,19.78,10330
2016-06-01,19.26,19.52,19.26,19.52,400
2016-06-02,19.26,19.52,19.26,19.47,5040
2016-06-03,19.52,19.52,19.26,19.26,18560
2016-06-06,19.15,19.47,19.15,19.41,2340
2016-06-07,19.36,20.05,19.05,20.05,30600
2016-06-08,20.05,20.63,20.05,20.63,31180
2016-06-09,20.31,20.68,20.31,20.42,31680
2016-06-10,20.58,20.58,20.31,20.52,6610
2016-06-13,20.84,20.84,20.42,20.52,3140
2016-06-14,20.63,20.63,20.05,20.52,4070
2016-06-15,20.52,20.52,20.05,20.36,6160
2016-06-16,20.36,20.36,20.05,20.05,16620
2016-06-17,20.05,20.26,19.52,20.21,14690
2016-06-20,21.1,21.1,20.42,20.42,71340
2016-06-21,20.58,20.58,20.42,20.42,6160
2016-06-22,20.31,21.84,20.31,21.84,302980
2016-06-23,22.69,22.69,21.95,22.16,105390
2016-06-24,22.69,22.69,20.63,22.42,47220
2016-06-27,22.42,22.42,21.1,22.32,47450
2016-06-28,21.37,22.16,21.37,22.11,33930
2016-06-29,22.11,22.79,22.11,22.58,77090
2016-06-30,22.69,23.48,22.69,22.79,110930
2016-07-01,23.11,23.58,22.84,23.16,150590
2016-07-04,23.21,23.58,22.69,22.84,115000
2016-07-05,22.84,23.21,22.47,22.69,68650
2016-07-06,22.69,22.9,22.21,22.69,48280
2016-07-07,23.21,23.48,22.69,23.21,55290
2016-07-08,23.21,24.8,23.21,24.16,137870
2016-07-11,24.16,24.8,23.21,23.74,64830
2016-07-12,22.11,24.27,22.11,23.95,32670
2016-07-13,23.95,24.8,23.74,23.9,46790
2016-07-14,24.22,24.27,22.26,22.26,66240
2016-07-15,22.69,23.69,22.26,22.32,62660
2016-07-18,22.42,23.16,22.37,23.05,25700
2016-07-19,23.21,23.21,22.42,22.42,16420
2016-07-20,21.95,22.63,21.95,22.05,28110
2016-07-21,22.0,22.05,21.63,21.63,21910
2016-07-22,21.63,21.89,21.0,21.16,45850
2016-07-25,21.63,21.63,21.21,21.47,7460
2016-07-26,21.89,22.16,21.47,22.05,12680
2016-07-27,22.05,22.37,21.74,22.05,19300
2016-07-28,22.37,22.37,21.84,22.16,11850
2016-07-29,22.58,22.58,21.89,22.16,13830
2016-08-01,21.53,22.11,21.37,21.37,38190
2016-08-02,21.89,21.89,21.1,21.37,30240
2016-08-03,21.37,21.63,21.1,21.31,14800
2016-08-04,21.16,21.31,21.0,21.0,19890
2016-08-05,21.0,21.1,20.68,21.0,19860
2016-08-08,21.0,22.16,21.0,21.84,3240
2016-08-09,21.63,21.89,21.63,21.89,17490
2016-08-10,21.74,22.16,21.63,22.16,26190
2016-08-11,22.42,22.42,22.16,22.37,1310
2016-08-12,22.63,22.69,22.37,22.69,42570
2016-08-15,22.95,22.95,22.69,22.79,6490
2016-08-16,22.95,23.11,22.42,22.69,45450
2016-08-17,22.69,22.69,22.21,22.63,11180
2016-08-18,22.84,22.84,22.16,22.69,36630
2016-08-19,22.32,22.69,22.16,22.63,4510
2016-08-22,22.63,23.74,22.58,23.53,114770
2016-08-23,23.74,23.74,23.53,23.53,80
2016-08-24,23.53,23.53,23.53,23.53,320
2016-08-25,22.69,23.42,22.21,23.37,1320
2016-08-26,23.37,23.37,22.69,23.16,790
2016-08-29,23.16,23.21,21.68,21.68,15040
2016-08-30,21.68,22.9,21.68,22.69,16550
2016-08-31,22.69,22.69,22.05,22.63,7710
2016-09-01,22.69,22.69,22.16,22.69,17400
2016-09-05,22.79,23.21,22.69,23.21,25500
2016-09-06,23.42,24.58,23.32,24.53,79090
2016-09-07,24.53,24.53,23.58,24.27,40610
2016-09-08,24.27,24.32,24.06,24.27,15820
2016-09-09,24.37,24.53,24.06,24.06,35890
