date,open,high,low,close,volume
2015-09-28,5.61,5.61,5.61,5.61,2050
2015-09-29,5.52,5.67,5.49,5.61,3530
2015-09-30,5.55,5.67,5.55,5.67,3890
2015-10-02,5.77,5.77,5.77,5.77,6150
2015-10-05,5.83,5.89,5.61,5.89,5320
2015-10-06,6.02,6.05,5.74,5.74,3750
2015-10-07,5.77,5.77,5.77,5.77,160
2015-10-08,5.61,5.7,5.61,5.7,220
2015-10-12,5.86,6.02,5.86,6.02,4640
2015-10-13,5.74,5.77,5.61,5.7,541200
2015-10-14,5.64,5.64,5.64,5.64,146030
2015-10-15,6.02,6.02,5.55,5.55,229160
2015-10-16,5.52,5.7,5.52,5.55,165670
2015-10-19,5.58,5.67,5.58,5.67,10000
2015-10-20,5.61,5.86,5.58,5.58,34300
2015-10-21,5.58,5.58,5.58,5.58,50
2015-10-22,5.61,5.61,5.58,5.58,30150
2015-10-23,5.61,5.61,5.61,5.61,71900
2015-10-26,5.61,5.61,5.55,5.58,50300
2015-10-27,5.58,5.61,5.55,5.61,129860
2015-10-28,5.83,5.83,5.58,5.58,2050
2015-10-29,5.61,5.74,5.61,5.7,91570
2015-10-30,5.7,5.74,5.7,5.7,82400
2015-11-02,5.74,5.74,5.7,5.7,22150
2015-11-03,5.67,5.7,5.67,5.7,21000
2015-11-04,5.7,5.7,5.61,5.7,82100
2015-11-05,5.98,5.98,5.7,5.7,55010
2015-11-06,5.64,5.64,5.64,5.64,500
2015-11-09,5.64,5.64,5.64,5.64,6040
2015-11-10,5.83,5.83,5.67,5.67,600
2015-11-11,5.74,5.74,5.67,5.67,1100
2015-11-12,5.67,5.7,5.67,5.7,78000
2015-11-13,5.74,5.74,5.74,5.74,4860
2015-11-18,5.58,5.7,5.58,5.64,9610
2015-11-19,5.61,5.61,5.61,5.61,10050
2015-11-20,5.61,5.61,5.61,5.61,2000
2015-11-23,5.55,5.64,5.55,5.61,9950
2015-11-24,5.61,5.61,5.61,5.61,14000
2015-11-25,5.61,5.64,5.61,5.64,3450
2015-11-26,5.64,5.64,5.64,5.64,50
2015-11-27,5.64,5.64,5.64,5.64,5000
2015-11-30,5.8,5.8,5.67,5.67,5210
2015-12-01,5.67,5.67,5.67,5.67,1000
2015-12-03,5.83,5.92,5.83,5.92,7060
2015-12-04,5.77,5.77,5.61,5.64,3610
2015-12-07,5.8,5.89,5.74,5.74,26740
2015-12-08,5.8,5.89,5.77,5.77,14240
2015-12-09,5.77,5.77,5.7,5.7,3840
2015-12-10,5.7,5.7,5.61,5.61,19650
2015-12-11,5.83,5.83,5.77,5.77,300
2015-12-14,5.64,5.64,5.64,5.64,990
2015-12-15,5.64,5.67,5.64,5.64,5490
2015-12-16,5.77,5.77,5.64,5.64,33540
2015-12-18,5.61,5.92,5.61,5.64,18350
2015-12-21,5.78,5.78,5.74,5.74,200
2015-12-22,5.74,5.74,5.51,5.51,24970
2015-12-23,5.51,5.81,5.51,5.81,4610
2015-12-24,5.81,5.81,5.61,5.61,53280
2015-12-25,5.78,5.78,5.61,5.61,200
2015-12-28,5.57,5.71,5.57,5.71,7040
2015-12-29,5.85,5.85,5.54,5.54,2010
2015-12-30,5.54,5.68,5.47,5.68,1800
2015-12-31,5.71,5.71,5.54,5.54,230
2016-01-04,5.54,5.54,5.54,5.54,510
2016-01-05,5.57,5.57,5.57,5.57,1000
2016-01-06,5.54,5.54,5.54,5.54,500
2016-01-07,5.54,5.54,5.54,5.54,1000
2016-01-08,5.57,5.57,5.54,5.54,490
2016-01-11,5.57,5.57,5.51,5.51,710
2016-01-12,5.51,5.51,5.47,5.47,6200
2016-01-13,5.54,5.54,5.47,5.47,2720
2016-01-14,5.47,5.51,5.44,5.44,3360
2016-01-15,5.47,5.47,5.37,5.37,15570
2016-01-18,5.34,5.34,5.2,5.3,2250
2016-01-19,5.44,5.61,5.27,5.27,5180
2016-01-20,5.1,5.27,5.1,5.23,6240
2016-01-21,5.44,5.44,5.44,5.44,10
2016-01-22,5.1,5.44,5.1,5.13,4730
2016-01-25,5.44,5.44,5.17,5.17,7010
2016-01-26,5.13,5.17,5.1,5.13,5750
2016-01-27,5.4,5.4,5.17,5.17,210
2016-01-28,5.13,5.4,5.13,5.17,14940
2016-01-29,5.17,5.4,5.17,5.4,500
2016-02-01,5.4,5.4,5.2,5.37,1960
2016-02-02,5.37,5.37,5.34,5.37,1090
2016-02-03,5.34,5.34,5.23,5.23,4850
2016-02-04,5.27,5.27,5.2,5.2,4660
2016-02-05,5.27,5.27,5.23,5.27,4340
2016-02-15,5.37,5.37,5.2,5.2,20
2016-02-16,5.44,5.44,5.2,5.2,40
2016-02-17,5.17,5.4,5.17,5.2,5210
2016-02-18,5.17,5.3,5.17,5.3,560
2016-02-19,5.34,5.34,5.34,5.34,5000
2016-02-22,5.2,5.2,5.2,5.2,200
2016-02-23,5.2,5.4,5.2,5.4,820
2016-02-24,5.2,5.3,5.2,5.2,4960
2016-02-26,5.4,5.4,5.4,5.4,6420
2016-02-29,5.4,5.44,5.4,5.44,3550
2016-03-01,5.44,5.47,5.44,5.44,25950
2016-03-02,5.47,5.64,5.47,5.64,2780
2016-03-03,5.54,5.71,5.54,5.71,2490
2016-03-04,5.71,6.08,5.71,6.08,343340
2016-03-07,6.49,6.49,6.46,6.49,255210
2016-03-08,6.93,6.93,6.76,6.93,152180
2016-03-09,6.93,6.93,6.53,6.53,218640
2016-03-10,6.66,6.97,6.66,6.8,490580
2016-03-11,6.76,6.8,6.66,6.8,164050
2016-03-14,6.7,6.76,6.53,6.66,84680
2016-03-15,6.49,6.56,6.32,6.32,113890
2016-03-16,6.19,6.39,6.05,6.25,82970
2016-03-17,6.59,6.66,6.39,6.46,218650
2016-03-18,6.46,6.56,6.46,6.46,133170
2016-03-21,6.36,6.39,6.29,6.32,68020
2016-03-22,6.22,6.53,6.22,6.49,103770
2016-03-23,6.46,6.66,6.32,6.32,41590
2016-03-24,6.36,6.39,6.22,6.25,58230
2016-03-25,6.12,6.29,6.05,6.25,79340
2016-03-28,6.32,6.32,6.15,6.29,32160
2016-03-29,6.12,6.46,6.12,6.25,20750
2016-03-30,6.12,6.36,6.12,6.22,54730
2016-03-31,6.08,6.15,5.81,5.81,257770
2016-04-01,5.81,5.88,5.64,5.64,93970
2016-04-04,5.64,5.74,5.47,5.61,32560
2016-04-05,5.61,5.71,5.57,5.71,116740
2016-04-06,5.85,5.91,5.64,5.78,203590
2016-04-07,5.88,5.88,5.64,5.78,32410
2016-04-08,5.71,5.74,5.64,5.74,56100
2016-04-11,5.85,6.12,5.71,6.12,327960
2016-04-12,6.05,6.53,6.05,6.46,750890
2016-04-13,6.59,6.76,6.49,6.56,458080
2016-04-14,6.46,6.49,6.32,6.32,203810
2016-04-15,6.32,6.42,6.25,6.32,58230
2016-04-19,6.29,6.29,6.12,6.15,126560
2016-04-20,6.29,6.29,6.12,6.15,110250
2016-04-21,6.29,6.53,6.29,6.39,352320
2016-04-22,6.32,6.46,6.29,6.39,98870
2016-04-25,6.39,6.49,6.36,6.49,161030
2016-04-26,6.46,6.8,6.42,6.73,975780
2016-04-27,6.83,6.93,6.7,6.73,830790
2016-04-28,6.66,6.87,6.59,6.66,219200
2016-04-29,6.49,6.73,6.49,6.66,205890
2016-05-04,6.59,6.59,6.36,6.36,189220
2016-05-05,6.32,6.63,6.25,6.59,168810
2016-05-06,6.59,6.59,6.42,6.42,101550
2016-05-09,6.49,6.49,6.22,6.22,133690
2016-05-10,6.19,6.29,6.12,6.19,119600
2016-05-11,6.39,6.53,6.29,6.46,207550
2016-05-12,6.42,6.46,6.32,6.32,49220
2016-05-13,6.25,6.25,5.98,5.98,427810
2016-05-16,5.98,6.25,5.98,6.19,118340
2016-05-17,6.22,6.36,6.19,6.29,216700
2016-05-18,6.25,6.36,6.25,6.32,266510
2016-05-19,6.32,6.32,6.08,6.29,291070
2016-05-20,6.32,6.42,6.29,6.42,166060
2016-05-23,6.39,6.49,6.32,6.32,124870
2016-05-24,6.25,6.42,6.25,6.39,59720
2016-05-25,6.39,6.39,6.32,6.32,111450
2016-05-26,6.32,6.39,6.25,6.36,137640
2016-05-27,6.36,6.39,6.29,6.36,4130
2016-05-30,6.39,6.39,6.25,6.36,116430
2016-05-31,6.36,6.56,6.32,6.56,595530
2016-06-01,6.53,6.56,6.46,6.46,113160
2016-06-02,6.49,6.56,6.32,6.39,106690
2016-06-03,6.39,6.46,6.29,6.29,175020
2016-06-06,6.25,6.46,6.25,6.39,80620
2016-06-07,6.39,6.49,6.36,6.46,107790
2016-06-08,6.46,6.53,6.39,6.53,241240
2016-06-09,6.53,6.97,6.53,6.83,771400
2016-06-10,6.87,6.97,6.83,6.83,686840
2016-06-13,6.83,6.9,6.66,6.66,270560
2016-06-14,6.56,6.7,6.56,6.7,285520
2016-06-15,6.7,6.93,6.66,6.9,213900
2016-06-16,6.9,7.37,6.87,7.37,450010
2016-06-17,7.37,7.37,7.0,7.24,231450
2016-06-20,7.27,7.58,7.2,7.31,272260
2016-06-21,7.34,7.37,7.24,7.24,285480
2016-06-22,7.2,7.27,7.17,7.2,135820
2016-06-23,7.14,7.51,7.14,7.27,258900
2016-06-24,7.27,7.27,6.8,6.87,542400
2016-06-27,6.87,6.87,6.42,6.83,96770
2016-06-28,6.76,6.9,6.7,6.73,105200
2016-06-29,6.7,7.07,6.7,7.07,98800
2016-06-30,7.14,7.14,6.93,7.07,105650
2016-07-01,7.07,7.07,6.9,7.0,149160
2016-07-04,7.0,7.07,6.9,7.0,158420
2016-07-05,7.0,7.0,6.9,6.97,157290
