date,open,high,low,close,volume
2016-01-11,12.26,13.11,12.26,12.9,22350
2016-01-12,12.99,12.99,12.75,12.84,23180
2016-01-13,12.65,12.96,12.65,12.84,4490
2016-01-14,12.53,12.84,12.38,12.38,2050
2016-01-15,12.9,12.93,11.77,12.75,20230
2016-01-18,12.75,12.75,11.86,12.68,13910
2016-01-19,12.53,12.68,12.2,12.53,41230
2016-01-20,12.44,12.44,12.26,12.44,92780
2016-01-21,12.41,12.99,12.26,12.68,46790
2016-01-22,12.38,12.84,12.38,12.68,20900
2016-01-25,12.84,13.08,12.72,13.08,19940
2016-01-26,13.14,13.3,13.05,13.24,28740
2016-01-27,13.3,13.6,13.3,13.45,31180
2016-01-28,13.3,13.91,13.3,13.6,26400
2016-01-29,13.3,13.76,13.3,13.72,10240
2016-02-01,13.76,13.85,13.45,13.6,63520
2016-02-02,13.76,13.85,13.45,13.76,7170
2016-02-03,13.76,13.91,13.6,13.6,18500
2016-02-04,13.57,13.76,13.57,13.63,19660
2016-02-05,13.66,13.76,13.63,13.66,17960
2016-02-15,14.34,14.34,13.76,13.76,10730
2016-02-16,14.34,14.34,13.69,13.94,9810
2016-02-17,14.06,14.06,13.76,14.03,10000
2016-02-18,14.03,14.03,13.6,13.82,49250
2016-02-19,13.82,13.91,13.76,13.76,127280
2016-02-22,13.6,14.03,13.6,13.76,6180
2016-02-23,13.76,13.88,13.6,13.85,19580
2016-02-24,13.85,13.85,13.63,13.66,5080
2016-02-25,13.72,13.85,13.6,13.76,18790
2016-02-26,13.76,14.06,13.72,13.78,20440
2016-02-29,14.37,14.37,13.78,13.82,10100
2016-03-01,13.88,13.94,13.76,13.85,10990
2016-03-02,13.88,14.18,13.76,14.03,29860
2016-03-03,13.94,14.37,13.94,14.24,27880
2016-03-04,14.3,14.82,14.3,14.67,58880
2016-03-07,14.67,15.59,14.67,15.44,19000
2016-03-08,15.28,15.59,15.22,15.44,15360
2016-03-09,15.28,15.28,14.79,14.79,18370
2016-03-10,14.55,15.16,14.55,14.95,10330
2016-03-11,14.98,15.07,14.82,14.82,24060
2016-03-14,14.98,14.98,14.4,14.76,10410
2016-03-15,14.76,14.82,14.61,14.67,8450
2016-03-16,14.67,15.28,14.67,15.16,20660
2016-03-17,15.28,15.28,15.1,15.19,13880
2016-03-18,15.22,15.22,14.82,14.98,23220
2016-03-21,14.98,15.25,14.7,14.98,25300
2016-03-22,14.92,15.13,14.82,15.04,76730
2016-03-23,15.25,15.25,14.92,15.16,42330
2016-03-24,15.16,15.16,15.01,15.16,28910
2016-03-25,15.16,15.16,15.01,15.13,16040
2016-03-28,15.16,15.16,14.98,15.1,19400
2016-03-29,15.1,15.1,14.82,14.82,26970
2016-03-30,14.98,14.98,14.67,14.67,32740
2016-03-31,14.52,14.73,14.52,14.67,15300
2016-04-01,14.79,14.79,14.37,14.67,3280
2016-04-04,14.82,14.98,14.4,14.67,47620
2016-04-05,14.67,14.67,14.49,14.67,11950
2016-04-06,14.43,14.7,14.43,14.7,10090
2016-04-07,14.7,14.73,14.67,14.67,17860
2016-04-08,14.67,15.13,14.52,15.13,97080
2016-04-11,15.44,16.05,15.44,16.05,160230
2016-04-12,16.51,16.51,15.9,15.9,30080
2016-04-13,15.9,15.9,15.44,15.74,24380
2016-04-14,15.59,15.74,15.44,15.59,25800
2016-04-15,15.59,16.05,15.59,15.9,68620
2016-04-19,16.05,16.35,15.74,15.74,60440
2016-04-20,15.74,15.74,15.74,15.74,47340
2016-04-21,15.74,16.35,15.74,16.05,84740
2016-04-22,16.05,17.12,16.05,17.12,214730
2016-04-25,17.12,17.12,16.05,16.81,66260
2016-04-26,16.96,17.73,16.81,17.42,116180
2016-04-27,17.58,17.88,17.58,17.58,51360
2016-04-28,17.58,17.73,17.27,17.42,66980
2016-04-29,17.42,17.73,17.42,17.58,26410
2016-05-04,17.58,17.73,17.42,17.58,60810
2016-05-05,18.03,18.03,17.42,17.73,51350
2016-05-06,17.73,17.73,17.42,17.42,16770
2016-05-09,17.27,17.73,17.27,17.73,19960
2016-05-10,17.88,18.34,17.73,18.34,132670
2016-05-11,18.34,18.65,18.19,18.19,91000
2016-05-12,18.19,18.34,18.19,18.19,37270
2016-05-13,18.03,18.34,17.88,18.34,46050
2016-05-16,18.34,18.34,18.19,18.34,29060
2016-05-17,18.03,18.65,18.03,18.34,43670
2016-05-18,18.34,18.65,18.19,18.49,52520
2016-05-19,18.65,18.65,18.34,18.65,14350
2016-05-20,18.65,18.8,18.49,18.65,26180
2016-05-23,18.65,18.65,18.34,18.65,6000
2016-05-24,18.49,18.65,18.49,18.49,40570
2016-05-25,18.34,18.49,18.19,18.34,20100
2016-05-26,18.34,18.49,18.19,18.49,38830
2016-05-27,18.49,18.49,18.19,18.34,22510
2016-05-30,18.34,19.56,18.34,19.56,283640
2016-05-31,19.56,20.17,19.56,19.87,60510
2016-06-01,19.72,19.87,19.56,19.72,17590
2016-06-02,19.56,19.72,19.41,19.56,31460
2016-06-03,19.41,20.78,19.41,20.33,101770
2016-06-06,20.33,21.09,20.33,20.78,125670
2016-06-07,20.78,20.78,20.33,20.63,118950
2016-06-08,20.63,20.94,20.48,20.48,145480
2016-06-09,20.63,20.63,20.17,20.17,47510
2016-06-10,20.02,20.78,20.02,20.17,63230
2016-06-13,20.17,20.48,19.87,20.02,131780
2016-06-14,19.72,20.02,19.72,19.87,85970
2016-06-15,19.87,20.48,19.72,20.48,84320
