date,open,high,low,close,volume
2015-11-26,5.72,5.78,5.69,5.72,86080
2015-11-27,5.72,5.72,5.69,5.69,134130
2015-11-30,5.69,5.75,5.65,5.65,90890
2015-12-01,5.65,5.9,5.65,5.9,336500
2015-12-02,5.84,5.94,5.84,5.9,184550
2015-12-03,5.9,5.9,5.84,5.84,93790
2015-12-04,5.84,5.87,5.81,5.87,115480
2015-12-07,5.87,5.94,5.84,5.9,69260
2015-12-08,5.87,5.9,5.78,5.81,136190
2015-12-09,5.84,5.84,5.4,5.44,480860
2015-12-10,5.65,5.65,5.53,5.53,140080
2015-12-11,5.5,5.62,5.47,5.59,57070
2015-12-14,5.44,5.56,5.44,5.47,55560
2015-12-15,5.47,5.53,5.47,5.5,46990
2015-12-16,5.56,5.56,5.47,5.47,93850
2015-12-17,5.44,5.56,5.44,5.53,243350
2015-12-18,5.5,5.56,5.15,5.15,2160700
2015-12-21,5.37,5.5,5.37,5.47,137770
2015-12-22,5.44,5.5,5.44,5.47,276230
2015-12-23,5.4,5.47,5.37,5.44,418950
2015-12-24,5.4,5.5,5.4,5.47,154770
2015-12-25,5.53,5.56,5.47,5.5,146530
2015-12-28,5.5,5.65,5.5,5.65,242350
2015-12-29,5.62,5.65,5.59,5.62,130340
2015-12-30,5.56,5.72,5.56,5.72,208470
2015-12-31,5.75,5.75,5.72,5.72,112630
2016-01-04,5.78,5.78,5.72,5.72,85400
2016-01-05,5.72,5.75,5.72,5.72,113610
2016-01-06,5.72,5.94,5.69,5.94,202320
2016-01-07,5.94,5.94,5.65,5.78,265570
2016-01-08,5.78,6.03,5.78,5.94,321950
2016-01-11,5.97,5.97,5.72,5.87,120210
2016-01-12,5.78,5.81,5.75,5.81,70700
2016-01-13,5.81,5.84,5.69,5.72,80470
2016-01-14,5.65,5.72,5.59,5.72,118750
2016-01-15,5.75,5.75,5.69,5.69,300800
2016-01-18,5.69,5.69,5.37,5.53,185420
2016-01-19,5.53,5.53,5.31,5.34,182490
2016-01-20,5.31,5.31,5.09,5.25,246160
2016-01-21,5.28,5.31,5.06,5.06,177410
2016-01-22,5.06,5.25,4.78,5.03,362100
2016-01-25,5.06,5.37,5.06,5.37,107400
2016-01-26,5.28,5.37,5.22,5.37,395330
2016-01-27,5.37,5.4,5.25,5.34,318720
2016-01-28,5.34,5.34,5.25,5.25,61090
2016-01-29,5.25,5.59,5.22,5.47,310240
2016-02-01,5.47,5.59,5.47,5.59,44210
2016-02-02,5.59,5.59,5.47,5.5,33600
2016-02-03,5.5,5.5,5.37,5.47,268450
2016-02-04,5.47,5.53,5.47,5.47,42640
2016-02-05,5.4,5.47,5.28,5.44,61710
2016-02-15,5.37,5.37,5.19,5.25,41620
2016-02-16,5.25,5.47,5.25,5.34,78940
2016-02-17,5.34,5.34,5.28,5.31,273290
2016-02-18,5.34,5.47,5.34,5.34,89400
2016-02-19,5.34,5.4,5.34,5.34,51910
2016-02-22,5.31,5.37,5.31,5.34,230310
2016-02-23,5.34,5.34,5.22,5.28,137400
2016-02-24,5.28,5.31,5.25,5.25,56800
2016-02-25,5.22,5.28,5.22,5.25,167560
2016-02-26,5.25,5.31,5.19,5.25,142540
2016-02-29,5.25,5.37,5.25,5.31,177110
2016-03-01,5.34,5.47,5.31,5.44,190050
2016-03-02,5.44,5.44,5.37,5.4,83430
2016-03-03,5.44,5.62,5.4,5.62,557890
2016-03-04,5.59,5.65,5.56,5.56,154040
2016-03-07,5.59,5.78,5.59,5.75,233310
2016-03-08,5.72,5.78,5.69,5.78,472690
2016-03-09,5.69,5.81,5.62,5.78,176080
2016-03-10,5.78,5.78,5.59,5.75,114100
2016-03-11,5.75,5.75,5.69,5.75,32920
2016-03-14,5.72,5.72,5.56,5.56,146720
2016-03-15,5.56,5.62,5.56,5.59,248110
2016-03-16,5.56,5.69,5.56,5.56,394360
2016-03-17,5.56,5.84,5.56,5.75,3247830
2016-03-18,5.78,5.81,5.75,5.78,7046690
2016-03-21,6.0,6.06,5.9,6.06,691200
2016-03-22,6.0,6.0,5.84,5.87,1313800
2016-03-23,5.84,5.97,5.84,5.9,790650
2016-03-24,5.9,6.15,5.87,6.0,1373070
2016-03-25,5.94,6.15,5.9,6.12,1542050
2016-03-28,6.12,6.34,6.06,6.31,1670900
2016-03-29,6.37,6.53,6.15,6.19,2004690
2016-03-30,6.19,6.22,5.94,5.94,1038280
2016-03-31,5.94,6.09,5.87,5.87,1761260
2016-04-01,5.87,5.87,5.62,5.65,1407280
2016-04-04,5.72,5.78,5.65,5.69,706990
2016-04-05,5.69,5.69,5.56,5.69,628910
2016-04-06,5.69,5.72,5.59,5.65,617620
2016-04-07,5.78,5.84,5.69,5.69,815250
2016-04-08,5.72,5.72,5.62,5.62,507390
2016-04-11,5.62,5.72,5.53,5.56,629670
2016-04-12,5.59,5.72,5.53,5.62,745410
2016-04-13,5.72,5.78,5.65,5.78,813960
2016-04-14,5.78,5.84,5.75,5.78,1123330
2016-04-15,5.81,5.81,5.69,5.69,661360
2016-04-19,5.56,5.72,5.5,5.53,1789620
2016-04-20,5.56,5.65,5.53,5.53,831030
2016-04-21,5.53,5.69,5.53,5.62,310170
2016-04-22,5.62,5.65,5.59,5.62,479490
2016-04-25,5.69,5.72,5.65,5.72,298830
2016-04-26,5.72,5.72,5.62,5.65,226060
2016-04-27,5.69,5.69,5.56,5.56,605720
2016-04-28,5.59,5.65,5.56,5.56,675560
2016-04-29,5.62,5.65,5.56,5.59,844370
2016-05-04,5.62,5.65,5.56,5.56,368350
2016-05-05,5.62,5.94,5.62,5.94,1668580
2016-05-06,6.06,6.19,6.0,6.03,1163640
2016-05-09,6.06,6.19,6.0,6.03,511660
2016-05-10,6.06,6.09,6.0,6.06,609450
2016-05-11,6.06,6.12,6.06,6.09,672000
2016-05-12,6.12,6.12,6.03,6.06,376370
2016-05-13,6.06,6.06,6.0,6.0,280220
2016-05-16,6.0,6.06,5.94,5.94,615730
2016-05-17,5.94,5.97,5.9,5.94,770590
2016-05-18,5.76,6.04,5.76,5.83,343220
2016-05-19,5.86,5.86,5.68,5.68,207480
2016-05-20,5.72,5.76,5.65,5.68,241970
2016-05-23,5.72,5.83,5.72,5.79,545820
2016-05-24,5.83,5.83,5.72,5.76,275490
2016-05-25,5.76,5.79,5.72,5.72,254380
2016-05-26,5.79,5.79,5.68,5.76,198590
2016-05-27,5.68,5.76,5.68,5.72,96230
2016-05-30,5.72,5.76,5.68,5.68,136120
2016-05-31,5.68,5.72,5.65,5.65,221590
2016-06-01,5.68,5.68,5.65,5.65,248940
2016-06-02,5.68,5.68,5.61,5.65,75910
2016-06-03,5.65,5.65,5.58,5.61,215770
2016-06-06,5.58,5.61,5.47,5.47,312760
2016-06-07,5.5,5.58,5.5,5.54,144790
2016-06-08,5.54,5.54,5.47,5.54,507280
2016-06-09,5.54,5.54,5.47,5.54,284000
2016-06-10,5.54,5.54,5.5,5.5,168160
2016-06-13,5.54,5.54,5.47,5.5,416500
2016-06-14,5.47,5.5,5.36,5.43,421970
2016-06-15,5.43,5.43,5.36,5.36,215480
2016-06-16,5.36,5.4,5.29,5.32,296930
2016-06-17,5.32,5.32,5.22,5.29,514350
2016-06-20,5.29,5.32,5.25,5.25,425810
2016-06-21,5.22,5.29,5.22,5.25,163860
2016-06-22,5.25,5.29,5.22,5.29,301080
2016-06-23,5.29,5.4,5.29,5.4,176510
2016-06-24,5.4,5.4,5.04,5.18,1155130
2016-06-27,5.18,5.18,5.0,5.07,174860
2016-06-28,5.04,5.07,5.0,5.04,242490
2016-06-29,5.07,5.18,5.04,5.18,213590
2016-06-30,5.14,5.22,5.14,5.18,345700
2016-07-01,5.22,5.22,5.18,5.18,197330
2016-07-04,5.22,5.29,5.18,5.29,256140
2016-07-05,5.32,5.36,5.29,5.29,336860
2016-07-06,5.29,5.32,5.25,5.25,217830
2016-07-07,5.29,5.29,5.14,5.18,142180
2016-07-08,5.14,5.18,5.04,5.18,183040
2016-07-11,5.14,5.22,5.11,5.14,92350
2016-07-12,5.18,5.25,5.14,5.22,172180
2016-07-13,5.29,5.36,5.22,5.22,408140
2016-07-14,5.25,5.4,5.22,5.29,794460
2016-07-15,5.32,5.5,5.32,5.47,859520
2016-07-18,5.47,5.58,5.47,5.58,517200
2016-07-19,5.54,5.58,5.43,5.43,261300
2016-07-20,5.47,5.5,5.29,5.32,287590
2016-07-21,5.32,5.47,5.32,5.47,218850
2016-07-22,5.43,5.5,5.36,5.47,285710
2016-07-25,5.4,5.47,5.14,5.22,326940
2016-07-26,5.11,5.29,5.11,5.25,485820
2016-07-27,5.22,5.47,5.22,5.43,559570
2016-07-28,5.47,5.54,5.4,5.47,741670
2016-07-29,5.5,5.61,5.47,5.54,451970
2016-08-01,5.54,5.54,5.36,5.47,187410
2016-08-02,5.36,5.47,5.29,5.47,328800
2016-08-03,5.36,5.4,5.32,5.36,154900
2016-08-04,5.4,5.4,5.22,5.22,165880
2016-08-05,5.22,5.25,5.18,5.22,246630
2016-08-08,5.22,5.54,5.22,5.54,251350
2016-08-09,5.54,5.54,5.4,5.43,159490
2016-08-10,5.43,5.43,5.32,5.32,58430
2016-08-11,5.32,5.43,5.32,5.4,58610
2016-08-12,5.43,5.43,5.29,5.32,116570
2016-08-15,5.32,5.4,5.32,5.4,224070
2016-08-16,5.36,5.43,5.36,5.4,167900
2016-08-17,5.43,5.43,5.32,5.32,61790
2016-08-18,5.32,5.4,5.22,5.25,325650
2016-08-19,5.29,5.29,5.22,5.29,68220
2016-08-22,5.32,5.36,5.25,5.25,110080
2016-08-23,5.25,5.25,5.18,5.25,65320
2016-08-24,5.22,5.25,5.18,5.18,79010
2016-08-25,5.22,5.22,5.18,5.22,40440
2016-08-26,5.25,5.25,5.18,5.22,22000
2016-08-29,5.18,5.25,5.18,5.18,85930
2016-08-30,5.22,5.25,5.18,5.18,52820
2016-08-31,5.18,5.47,5.18,5.43,482060
2016-09-01,5.43,5.43,5.32,5.32,16680
2016-09-05,5.32,5.36,5.29,5.36,78120
2016-09-06,5.36,5.4,5.32,5.36,39780
2016-09-07,5.32,5.36,5.29,5.32,49400
2016-09-08,5.36,5.4,5.32,5.4,209650
2016-09-09,5.36,5.4,5.32,5.36,178550
2016-09-12,5.36,5.36,5.29,5.29,17270
2016-09-13,5.29,5.36,5.29,5.29,47150
2016-09-14,5.32,5.4,5.32,5.4,114050
2016-09-15,5.29,5.34,5.04,5.04,203950
2016-09-16,5.07,5.32,5.07,5.25,17760
2016-09-19,5.18,5.32,5.18,5.32,27940
2016-09-20,5.32,5.32,5.18,5.18,37760
2016-09-21,5.16,5.29,5.14,5.25,75270
2016-09-22,5.25,5.32,5.22,5.29,65150
2016-09-23,5.29,5.29,5.2,5.25,86860
2016-09-26,5.25,5.25,5.11,5.18,70510
2016-09-27,5.2,5.22,5.14,5.18,74520
2016-09-28,5.2,5.2,5.14,5.14,77700
2016-09-29,5.11,5.2,5.11,5.14,121810
2016-09-30,5.18,5.18,5.13,5.18,369700
2016-10-03,5.22,5.25,5.18,5.18,209140
2016-10-04,5.18,5.18,5.11,5.11,190570
2016-10-05,5.11,5.14,5.11,5.11,382390
2016-10-06,5.14,5.29,5.14,5.22,258470
2016-10-07,5.25,5.31,5.16,5.18,231250
2016-10-10,5.18,5.2,5.16,5.16,216420
2016-10-11,5.22,5.25,5.16,5.16,292550
2016-10-12,5.2,5.22,5.14,5.18,48200
2016-10-13,5.18,5.25,5.18,5.23,135940
2016-10-14,5.25,5.31,5.25,5.27,136830
2016-10-17,5.25,5.32,5.23,5.32,116420
2016-10-18,5.29,5.31,5.27,5.29,61380
2016-10-19,5.31,5.31,5.23,5.29,203440
2016-10-20,5.25,5.29,5.23,5.25,77500
2016-10-21,5.29,5.29,5.23,5.23,46960
2016-10-24,5.22,5.29,5.22,5.27,162620
2016-10-25,5.27,5.43,5.27,5.36,565990
2016-10-26,5.36,5.41,5.36,5.4,143990
2016-10-27,5.4,5.4,5.38,5.4,213080
2016-10-28,5.4,5.61,5.4,5.54,620340
2016-10-31,5.43,5.5,5.4,5.4,279980
2016-11-01,5.4,5.47,5.34,5.34,49630
2016-11-02,5.34,5.34,5.29,5.29,145750
2016-11-03,5.29,5.29,5.25,5.27,105710
2016-11-04,5.25,5.41,5.25,5.41,45680
2016-11-07,5.41,5.47,5.32,5.41,67640
2016-11-08,5.43,5.43,5.38,5.38,160310
2016-11-09,5.38,5.38,5.18,5.36,430830
2016-11-10,5.32,5.4,5.29,5.29,125710
2016-11-11,5.38,5.41,5.27,5.38,139480
