date,open,high,low,close,volume
2015-09-28,4.15,4.15,4.07,4.07,281110
2015-09-29,4.03,4.07,3.99,4.03,587050
2015-09-30,4.07,4.11,3.99,4.11,1012010
2015-10-01,4.11,4.15,4.07,4.07,303790
2015-10-02,4.07,4.11,4.03,4.07,297830
2015-10-05,4.07,4.19,4.07,4.19,863130
2015-10-06,4.31,4.46,4.31,4.46,2391020
2015-10-07,4.58,4.66,4.5,4.5,1952900
2015-10-08,4.46,4.66,4.46,4.58,1263410
2015-10-09,4.66,4.78,4.58,4.62,1659670
2015-10-12,4.66,4.7,4.58,4.66,677000
2015-10-13,4.58,4.62,4.54,4.54,860840
2015-10-14,4.5,4.62,4.46,4.62,661920
2015-10-15,4.58,4.62,4.54,4.54,823230
2015-10-16,4.62,4.62,4.54,4.54,709490
2015-10-19,4.58,4.62,4.54,4.54,284980
2015-10-20,4.5,4.54,4.39,4.43,1241640
2015-10-21,4.46,4.46,4.39,4.39,1018710
2015-10-22,4.39,4.54,4.35,4.54,1001640
2015-10-23,4.54,4.58,4.46,4.54,786280
2015-10-26,4.54,4.58,4.5,4.5,475260
2015-10-27,4.46,4.5,4.43,4.5,543170
2015-10-28,4.46,4.5,4.46,4.46,401510
2015-10-29,4.58,4.58,4.5,4.5,1038690
2015-10-30,4.5,4.54,4.43,4.46,513760
2015-11-02,4.5,4.58,4.43,4.43,923950
2015-11-03,4.43,4.5,4.43,4.46,525800
2015-11-04,4.54,4.58,4.5,4.5,519420
2015-11-05,4.46,4.5,4.46,4.46,282030
2015-11-06,4.5,4.5,4.39,4.39,575170
2015-11-09,4.39,4.43,4.31,4.35,583730
2015-11-10,4.43,4.43,4.31,4.35,289600
2015-11-11,4.35,4.39,4.31,4.31,321280
2015-11-12,4.31,4.35,4.23,4.31,578410
2015-11-13,4.31,4.31,4.27,4.31,153140
2015-11-16,4.31,4.31,4.23,4.23,224880
2015-11-17,4.31,4.35,4.27,4.27,605100
2015-11-18,4.31,4.31,4.23,4.23,440210
2015-11-19,4.27,4.27,4.19,4.19,283640
2015-11-20,4.23,4.27,4.15,4.23,1296920
2015-11-23,4.27,4.31,4.23,4.23,873660
2015-11-24,4.27,4.31,4.19,4.23,474340
2015-11-25,4.27,4.27,4.19,4.23,659070
2015-11-26,4.27,4.35,4.23,4.23,854700
2015-11-27,4.27,4.31,4.19,4.19,404420
2015-11-30,4.19,4.19,4.07,4.07,684900
2015-12-01,4.07,4.11,4.03,4.03,450220
2015-12-02,4.03,4.11,4.03,4.03,438750
2015-12-03,4.03,4.07,3.99,3.99,398290
2015-12-04,3.99,4.07,3.95,3.99,473440
2015-12-07,3.99,4.03,3.91,3.95,516090
2015-12-08,3.91,4.03,3.87,3.99,355440
2015-12-09,4.03,4.03,3.87,3.87,711950
2015-12-10,3.87,3.91,3.83,3.83,337830
2015-12-11,3.83,3.91,3.79,3.83,405000
2015-12-14,3.79,3.83,3.67,3.67,570860
2015-12-15,3.71,3.83,3.71,3.79,677970
2015-12-16,3.83,3.83,3.75,3.75,480360
2015-12-17,3.75,3.79,3.75,3.79,377190
2015-12-18,3.79,3.79,3.56,3.56,3395490
2015-12-21,3.56,3.75,3.56,3.75,2058020
2015-12-22,3.75,3.87,3.71,3.79,878690
2015-12-23,3.75,3.79,3.71,3.71,1085840
2015-12-24,3.75,3.79,3.67,3.75,509730
2015-12-25,3.75,3.95,3.71,3.95,2206000
2015-12-28,4.03,4.03,3.91,3.91,1011950
2015-12-29,3.91,4.15,3.87,4.15,2533950
2015-12-30,4.19,4.27,4.11,4.15,1031370
2015-12-31,4.19,4.23,4.03,4.03,855170
2016-01-04,4.03,4.11,3.91,3.99,970490
2016-01-05,3.99,4.03,3.95,3.99,696520
2016-01-06,3.99,4.15,3.95,4.11,982820
2016-01-07,3.99,4.03,3.91,3.95,1177290
2016-01-08,3.95,3.95,3.87,3.91,523200
2016-01-11,3.83,3.91,3.83,3.83,459820
2016-01-12,3.79,3.91,3.79,3.91,666770
2016-01-13,3.91,4.03,3.87,3.87,739140
2016-01-14,3.87,3.87,3.79,3.83,492110
2016-01-15,3.83,3.87,3.67,3.71,757240
2016-01-18,3.56,3.56,3.48,3.48,1784240
2016-01-19,3.56,3.6,3.48,3.6,811030
2016-01-20,3.56,3.6,3.44,3.44,1059580
2016-01-21,3.44,3.48,3.36,3.36,727970
2016-01-22,3.48,3.56,3.36,3.56,1981730
2016-01-25,3.67,3.79,3.67,3.79,948690
2016-01-26,3.71,3.83,3.63,3.67,1019640
2016-01-27,3.75,3.91,3.71,3.83,1668210
2016-01-28,3.91,3.99,3.83,3.83,1727250
2016-01-29,3.95,4.07,3.91,4.03,1954940
2016-02-01,4.03,4.07,3.91,3.95,869790
2016-02-02,3.83,3.91,3.79,3.83,784560
2016-02-03,3.71,3.83,3.63,3.75,1524570
2016-02-04,3.87,3.87,3.79,3.79,469560
2016-02-05,3.79,3.87,3.79,3.87,248600
2016-02-15,3.79,3.83,3.75,3.79,463330
2016-02-16,3.87,3.91,3.79,3.87,633400
2016-02-17,3.87,3.87,3.79,3.79,841690
2016-02-18,3.87,3.95,3.83,3.91,1277270
2016-02-19,3.87,3.95,3.87,3.87,629630
2016-02-22,3.87,4.11,3.87,4.07,2773370
2016-02-23,4.11,4.11,3.91,3.95,1631720
2016-02-24,3.91,3.99,3.87,3.99,1071840
2016-02-25,3.99,4.15,3.91,3.99,1577220
2016-02-26,4.03,4.03,3.95,3.99,338490
2016-02-29,3.99,4.03,3.95,3.99,562020
2016-03-01,3.99,4.07,3.95,4.03,998870
2016-03-02,4.03,4.11,3.99,4.07,1227260
2016-03-03,4.07,4.11,4.03,4.03,739850
2016-03-04,4.03,4.07,3.99,4.03,884030
2016-03-07,4.11,4.27,4.07,4.11,2490550
2016-03-08,4.19,4.23,4.07,4.11,1405690
2016-03-09,4.03,4.11,4.03,4.03,487470
2016-03-10,4.11,4.15,4.07,4.07,1596780
2016-03-11,4.11,4.19,4.07,4.11,1934050
2016-03-14,4.19,4.39,4.11,4.31,3526530
2016-03-15,4.27,4.31,4.15,4.19,1077470
2016-03-16,4.19,4.27,4.19,4.23,1359130
2016-03-17,4.31,4.39,4.31,4.31,1673410
2016-03-18,4.35,4.35,4.23,4.27,819600
2016-03-21,4.23,4.27,4.15,4.15,943630
2016-03-22,4.19,4.19,4.07,4.15,1040520
2016-03-23,4.15,4.23,4.15,4.19,735400
2016-03-24,4.19,4.23,4.11,4.11,864960
2016-03-25,4.11,4.15,4.07,4.15,949800
2016-03-28,4.19,4.27,4.11,4.23,1303930
2016-03-29,4.23,4.23,4.11,4.11,1301130
2016-03-30,4.11,4.19,4.07,4.15,1427030
2016-03-31,4.15,4.15,4.07,4.07,1932110
2016-04-01,4.07,4.11,4.03,4.03,820940
2016-04-04,3.99,4.07,3.95,3.99,1114770
2016-04-05,3.95,4.07,3.95,4.07,660540
2016-04-06,4.07,4.15,4.03,4.11,711000
2016-04-07,4.19,4.19,4.07,4.11,901270
2016-04-08,4.11,4.11,4.03,4.07,807540
2016-04-11,4.11,4.19,4.07,4.15,1431620
2016-04-12,4.15,4.35,4.11,4.23,3735170
2016-04-13,4.31,4.35,4.23,4.23,1702020
2016-04-14,4.19,4.27,4.19,4.23,743490
2016-04-15,4.23,4.27,4.19,4.19,885300
2016-04-19,4.15,4.19,4.07,4.11,951010
2016-04-20,4.15,4.23,4.11,4.15,1335440
2016-04-21,4.19,4.27,4.15,4.19,1534560
2016-04-22,4.23,4.27,4.19,4.27,1087740
2016-04-25,4.27,4.31,4.19,4.23,841650
2016-04-26,4.23,4.39,4.19,4.39,2667620
2016-04-27,4.43,4.5,4.31,4.39,2054220
2016-04-28,4.43,4.46,4.35,4.35,973440
2016-04-29,4.35,4.58,4.35,4.5,2855790
2016-05-04,4.46,4.54,4.43,4.5,1619190
2016-05-05,4.54,4.58,4.46,4.5,1045330
2016-05-06,4.5,4.5,4.39,4.39,1092970
2016-05-09,4.43,4.46,4.35,4.43,1031170
2016-05-10,4.35,4.58,4.35,4.54,1992800
2016-05-11,4.54,4.62,4.5,4.62,1483370
2016-05-12,4.62,4.66,4.54,4.58,558130
2016-05-13,4.58,4.62,4.5,4.5,1483010
2016-05-16,4.54,4.62,4.5,4.58,1391800
2016-05-17,4.62,4.82,4.58,4.82,3487530
2016-05-18,4.82,4.86,4.66,4.78,1956290
2016-05-19,4.7,4.82,4.7,4.7,1196460
2016-05-20,4.7,4.78,4.66,4.7,778180
2016-05-23,4.7,4.74,4.62,4.66,690770
2016-05-24,4.66,4.9,4.66,4.86,1293870
2016-05-25,4.86,4.94,4.78,4.9,1009770
2016-05-26,4.86,4.9,4.78,4.82,820520
2016-05-27,4.82,4.86,4.78,4.82,481440
2016-05-30,4.78,4.94,4.78,4.9,1222310
2016-05-31,4.94,5.14,4.9,5.14,2683180
2016-06-01,5.14,5.25,5.06,5.1,992010
2016-06-02,5.1,5.22,5.06,5.22,1102700
2016-06-03,5.18,5.22,5.1,5.1,836760
2016-06-06,5.06,5.14,5.02,5.1,598030
2016-06-07,5.14,5.25,5.1,5.14,1427630
2016-06-08,5.25,5.29,5.14,5.22,1535470
2016-06-09,5.22,5.25,5.18,5.18,792150
2016-06-10,5.18,5.22,5.14,5.18,1124480
2016-06-13,5.14,5.18,5.1,5.14,1600930
2016-06-14,5.06,5.14,5.06,5.1,1000460
2016-06-15,5.06,5.18,5.02,5.14,1042750
2016-06-16,4.98,5.18,4.98,5.1,1017910
2016-06-17,5.1,5.14,4.9,4.9,3034300
2016-06-20,5.06,5.22,4.98,5.22,1025750
2016-06-21,5.14,5.22,5.14,5.14,385610
2016-06-22,5.1,5.22,5.06,5.14,624260
2016-06-23,5.1,5.18,5.1,5.14,958900
2016-06-24,5.14,5.18,4.78,5.1,1634090
2016-06-27,5.06,5.14,4.94,5.1,719970
2016-06-28,5.02,5.14,5.02,5.1,732280
2016-06-29,5.1,5.45,5.1,5.45,2509280
2016-06-30,5.57,5.73,5.45,5.45,1168690
2016-07-01,5.45,5.65,5.45,5.61,1723080
2016-07-04,5.61,5.65,5.53,5.53,1280700
2016-07-05,5.49,5.61,5.45,5.45,1916770
2016-07-06,5.45,5.73,5.33,5.61,1200890
2016-07-07,5.77,5.93,5.77,5.89,1983830
2016-07-08,5.89,5.89,5.73,5.81,1486110
2016-07-11,5.77,5.81,5.53,5.53,973150
2016-07-12,5.49,5.73,5.49,5.73,885180
2016-07-13,5.77,5.89,5.65,5.69,735400
2016-07-14,5.69,5.73,5.57,5.61,582490
2016-07-15,5.65,5.65,5.49,5.61,1061890
2016-07-18,5.65,5.73,5.61,5.73,844550
2016-07-19,5.77,5.77,5.65,5.77,1463760
2016-07-20,5.73,5.73,5.61,5.69,682560
2016-07-21,5.65,5.77,5.61,5.73,678970
2016-07-22,5.73,5.73,5.49,5.69,1278630
2016-07-25,5.65,5.77,5.57,5.77,710550
2016-07-26,5.69,6.01,5.69,6.01,1428410
2016-07-27,5.97,6.08,5.97,6.01,901560
2016-07-28,6.01,6.16,5.93,6.12,840040
2016-07-29,6.12,6.12,6.05,6.05,625950
2016-08-01,6.12,6.12,5.85,6.08,721100
2016-08-02,6.01,6.05,5.69,5.73,1671030
2016-08-03,5.69,5.93,5.61,5.93,1113380
2016-08-04,5.97,6.05,5.85,5.93,731280
2016-08-05,5.77,5.93,5.77,5.89,700150
2016-08-08,5.93,5.97,5.85,5.93,589230
2016-08-09,5.93,6.05,5.93,6.01,901720
2016-08-10,6.01,6.28,5.97,6.12,1856720
2016-08-11,6.12,6.24,6.12,6.2,433070
2016-08-12,6.24,6.28,6.2,6.28,774390
2016-08-15,6.28,6.4,6.28,6.36,605440
2016-08-16,6.4,6.56,6.4,6.52,1580680
2016-08-17,6.6,6.72,6.48,6.64,1228820
2016-08-18,6.72,6.72,6.48,6.48,1077310
2016-08-19,6.52,6.52,6.4,6.52,758370
2016-08-22,6.52,6.52,6.4,6.44,475980
2016-08-23,6.4,6.48,6.36,6.48,522630
2016-08-24,6.44,6.48,6.4,6.4,683760
2016-08-25,6.49,6.81,6.49,6.81,843120
2016-08-26,6.86,6.9,6.72,6.77,396510
2016-08-29,6.72,6.77,6.58,6.58,535040
2016-08-30,6.49,6.68,6.49,6.63,554540
2016-08-31,6.63,6.77,6.63,6.68,462820
2016-09-01,6.68,6.77,6.58,6.68,435370
2016-09-05,6.72,6.72,6.54,6.54,610140
2016-09-06,6.58,6.63,6.49,6.54,247690
2016-09-07,6.63,6.63,6.54,6.63,686940
2016-09-08,6.68,6.77,6.58,6.77,627640
2016-09-09,6.77,6.77,6.63,6.63,316500
2016-09-12,6.22,6.4,6.17,6.17,864150
2016-09-13,6.17,6.26,5.85,6.17,829960
2016-09-14,5.99,6.22,5.99,6.22,329700
2016-09-15,6.13,6.26,6.08,6.08,1289730
2016-09-16,6.03,6.17,6.01,6.13,10449660
2016-09-19,6.31,6.54,6.26,6.54,780660
2016-09-20,6.7,6.79,6.54,6.7,1254340
2016-09-21,6.54,6.72,6.49,6.72,2809250
2016-09-22,6.77,6.77,6.61,6.61,974080
2016-09-23,6.58,6.65,6.52,6.58,700400
2016-09-26,6.54,6.58,6.33,6.4,1576630
2016-09-27,6.4,6.54,6.38,6.52,1403720
2016-09-28,6.52,6.58,6.47,6.56,769530
2016-09-29,6.77,6.81,6.63,6.7,2337060
2016-09-30,6.7,6.7,6.56,6.61,1381350
2016-10-03,6.61,6.61,6.54,6.54,754890
2016-10-04,6.52,6.54,6.38,6.4,1270340
2016-10-05,6.47,6.54,6.33,6.38,786900
2016-10-06,6.38,6.54,6.36,6.42,609130
2016-10-07,6.52,6.56,6.42,6.54,567520
2016-10-10,6.54,6.54,6.42,6.45,261220
2016-10-11,6.49,6.49,6.22,6.38,929010
2016-10-12,6.36,6.38,6.26,6.36,580830
2016-10-13,6.4,6.47,6.22,6.47,626950
2016-10-14,6.42,6.47,6.36,6.42,551800
2016-10-17,6.42,6.42,6.31,6.31,339850
2016-10-18,6.29,6.36,6.26,6.31,459820
2016-10-19,6.31,6.45,6.31,6.45,484770
2016-10-20,6.45,6.45,6.33,6.4,336920
2016-10-21,6.4,6.4,6.31,6.36,173870
2016-10-24,6.4,6.4,6.24,6.31,271070
2016-10-25,6.31,6.31,6.19,6.26,345360
2016-10-26,6.19,6.29,6.08,6.17,299780
2016-10-27,6.17,6.19,5.94,6.08,755910
2016-10-28,6.13,6.17,6.08,6.13,196270
2016-10-31,6.13,6.13,5.9,5.99,283320
2016-11-01,5.9,5.9,5.58,5.83,631190
2016-11-02,5.71,5.85,5.62,5.62,393690
2016-11-03,5.58,5.58,5.37,5.58,1196520
2016-11-04,5.6,5.71,5.55,5.6,503890
2016-11-07,5.67,5.71,5.55,5.71,368780
2016-11-08,5.71,5.71,5.62,5.62,485460
2016-11-09,5.62,5.62,5.37,5.62,903690
2016-11-10,5.76,5.87,5.67,5.71,763330
2016-11-11,5.76,5.83,5.69,5.81,236250
2016-11-14,5.74,5.74,5.62,5.62,315470
2016-11-15,5.62,5.69,5.62,5.67,305100
2016-11-16,5.69,5.74,5.65,5.69,436470
2016-11-17,5.69,5.71,5.65,5.65,185790
2016-11-18,5.65,5.67,5.53,5.55,326100
2016-11-21,5.62,5.65,5.55,5.62,322950
2016-11-22,5.67,5.81,5.65,5.81,567230
2016-11-23,5.78,5.83,5.69,5.69,274330
2016-11-24,5.67,5.71,5.62,5.62,312930
2016-11-25,5.62,5.62,5.49,5.62,645070
2016-11-28,5.53,5.62,5.49,5.62,376280
2016-11-29,5.65,5.67,5.44,5.49,534290
2016-11-30,5.49,5.53,5.35,5.51,427790
2016-12-01,5.69,5.85,5.67,5.67,1056850
2016-12-02,5.71,5.71,5.62,5.62,344670
2016-12-05,5.58,5.67,5.53,5.53,277900
2016-12-06,5.49,5.51,5.39,5.49,596380
2016-12-07,5.39,5.49,5.39,5.49,389680
2016-12-08,5.49,5.49,5.37,5.46,609120
2016-12-09,5.49,5.49,5.33,5.44,306900
2016-12-12,5.49,5.51,5.35,5.37,236330
2016-12-13,5.37,5.42,5.26,5.26,376930
2016-12-14,5.3,5.3,5.21,5.26,428740
2016-12-15,5.26,5.26,5.12,5.14,490930
2016-12-16,5.17,5.42,5.14,5.42,401950
2016-12-19,5.44,5.62,5.42,5.49,266070
2016-12-20,5.42,5.49,5.37,5.46,388960
2016-12-21,5.49,5.49,5.37,5.49,296970
2016-12-22,5.49,5.49,5.37,5.44,226230
2016-12-23,5.42,5.44,5.37,5.44,199990
2016-12-26,5.44,5.44,5.3,5.42,364210
2016-12-27,5.35,5.42,5.33,5.39,160130
2016-12-28,5.39,5.39,5.33,5.39,189770
2016-12-29,5.35,5.42,5.33,5.39,141130
2016-12-30,5.39,5.39,5.3,5.3,136720
2017-01-03,5.35,5.53,5.3,5.53,404180
2017-01-04,5.39,5.6,5.39,5.49,276790
2017-01-05,5.55,5.55,5.44,5.44,133330
2017-01-06,5.49,5.53,5.42,5.42,255850
2017-01-09,5.39,5.49,5.39,5.44,194080
2017-01-10,5.44,5.49,5.37,5.37,250490
2017-01-11,5.37,5.46,5.33,5.39,300330
2017-01-12,5.44,5.49,5.39,5.49,208740
2017-01-13,5.44,5.53,5.42,5.49,321070
2017-01-16,5.51,5.53,5.44,5.51,379140
2017-01-17,5.46,5.53,5.46,5.53,259800
2017-01-18,5.49,5.53,5.44,5.51,205860
2017-01-19,5.51,5.51,5.42,5.42,169140
2017-01-20,5.46,5.49,5.42,5.44,123540
2017-01-23,5.44,5.49,5.42,5.42,175740
2017-01-24,5.39,5.55,5.39,5.53,215180
2017-01-25,5.53,5.55,5.46,5.53,149460
2017-02-02,5.53,5.71,5.53,5.67,451030
2017-02-03,5.71,5.71,5.58,5.71,427910
2017-02-06,5.71,5.76,5.67,5.69,755880
2017-02-07,5.69,5.71,5.65,5.71,541450
2017-02-08,5.71,5.85,5.71,5.76,661840
2017-02-09,5.81,5.94,5.76,5.94,764890
2017-02-10,5.94,5.97,5.9,5.9,487130
2017-02-13,5.94,6.13,5.9,6.13,1130150
2017-02-14,6.08,6.1,5.94,6.06,812680
2017-02-15,6.06,6.15,5.99,6.15,674620
2017-02-16,6.17,6.19,6.01,6.03,684830
2017-02-17,6.06,6.1,5.99,6.1,426760
2017-02-20,6.06,6.15,6.03,6.13,554150
2017-02-21,6.19,6.19,6.08,6.08,668250
2017-02-22,6.13,6.17,6.06,6.13,800020
2017-02-23,6.08,6.08,5.94,6.03,801770
2017-02-24,5.97,6.03,5.9,5.9,386700
2017-02-27,5.87,5.9,5.71,5.81,624680
2017-02-28,5.81,5.81,5.62,5.62,587810
2017-03-01,5.71,5.71,5.62,5.62,511860
2017-03-02,5.71,5.74,5.62,5.74,545370
2017-03-03,5.69,5.99,5.69,5.92,647220
2017-03-06,5.9,5.94,5.83,5.85,503780
2017-03-07,5.9,5.99,5.85,5.92,862290
2017-03-08,5.9,6.03,5.87,5.94,490160
2017-03-09,5.92,5.94,5.87,5.92,302890
2017-03-10,5.87,5.9,5.74,5.81,743820
2017-03-13,5.71,5.85,5.71,5.85,458060
2017-03-14,5.85,5.92,5.78,5.87,271390
2017-03-15,5.83,5.92,5.83,5.92,277160
2017-03-16,5.92,6.06,5.92,6.06,1367930
2017-03-17,6.08,6.1,5.94,5.94,4782370
2017-03-20,6.08,6.13,5.94,5.97,942710
2017-03-21,5.99,5.99,5.87,5.9,875690
2017-03-22,5.87,5.87,5.78,5.85,1132230
2017-03-23,5.85,5.85,5.78,5.81,570580
2017-03-24,5.81,5.85,5.71,5.76,875270
2017-03-27,5.74,5.81,5.74,5.78,700110
2017-03-28,5.76,5.81,5.71,5.71,375910
2017-03-29,5.71,5.76,5.67,5.76,568000
