date,open,high,low,close,volume
2019-06-13,5.86,5.86,5.86,5.86,100
2019-06-14,6.74,6.74,6.74,6.74,100
2019-06-17,7.74,7.74,7.74,7.74,100
2019-06-18,8.89,8.89,8.89,8.89,100
2019-06-19,10.2,10.2,10.2,10.2,200
2019-06-20,11.72,11.72,11.72,11.72,110
2019-06-21,13.47,13.47,13.47,13.47,25377
2019-06-24,15.48,15.48,15.48,15.48,5200
2019-06-25,17.79,17.79,17.58,17.79,78444
2019-06-26,20.26,20.26,17.09,17.58,26330
2019-06-27,17.58,17.7,17.45,17.53,247500
2019-06-28,16.72,16.72,16.26,16.26,330300
2019-07-01,16.11,16.11,15.13,15.62,23436
2019-07-02,16.6,17.58,16.35,16.84,61599
2019-07-03,17.01,17.58,16.99,17.33,98859
2019-07-04,17.33,19.04,17.33,18.89,110219
2019-07-05,19.02,20.85,19.02,20.36,44964
2019-07-08,20.26,20.63,19.53,20.09,65908
2019-07-09,19.82,21.33,19.82,21.31,95410
2019-07-10,20.87,23.38,20.75,23.14,303850
2019-07-11,22.46,24.14,19.21,21.97,218461
2019-07-12,21.72,22.68,21.6,21.92,77760
2019-07-15,21.97,22.21,21.48,21.97,33795
2019-07-16,21.29,21.72,21.29,21.48,66600
2019-07-17,21.6,21.6,20.09,20.5,104502
2019-07-18,20.87,22.21,20.02,21.94,62700
2019-07-19,22.09,23.43,22.09,22.46,104370
2019-07-22,22.46,22.77,22.24,22.58,54055
2019-07-23,22.58,23.38,22.53,22.82,119577
2019-07-24,22.95,22.95,22.46,22.46,32103
2019-07-25,22.24,22.46,21.97,22.21,56420
2019-07-26,21.99,22.09,21.53,21.72,119352
2019-07-29,21.72,21.85,21.43,21.72,33341
2019-07-30,21.6,22.55,21.6,22.46,34455
2019-07-31,22.95,25.65,22.95,25.65,259373
2019-08-01,26.85,28.73,26.24,28.73,184092
2019-08-02,29.29,32.44,29.29,30.76,131781
2019-08-05,30.76,32.47,28.8,32.07,91230
2019-08-06,31.73,32.2,30.51,31.49,120906
2019-08-07,31.61,32.22,29.78,30.1,96931
2019-08-08,26.14,30.76,26.14,28.8,154297
2019-08-09,28.1,30.51,26.97,28.8,168497
2019-08-12,29.29,30.51,29.29,30.44,36742
2019-08-13,30.76,30.76,29.05,29.78,34480
2019-08-14,29.54,30.02,29.05,29.29,44930
2019-08-15,30.51,32.22,28.07,32.22,135269
2019-08-16,32.22,33.81,32.22,32.22,67206
2019-08-19,32.25,34.17,32.25,33.44,53336
2019-08-20,33.44,34.17,33.44,33.93,53152
2019-08-21,33.93,34.17,33.1,33.2,77451
2019-08-22,33.42,33.76,33.2,33.64,46212
2019-08-23,33.42,34.17,33.22,33.3,32506
2019-08-26,33.69,33.69,33.42,33.54,25030
2019-08-27,33.32,33.47,33.08,33.2,38961
2019-08-28,33.44,33.44,32.47,32.59,240279
2019-08-29,32.47,32.71,31.24,31.98,67861
2019-08-30,31.73,31.73,28.8,30.02,158595
2019-09-03,30.32,30.32,28.07,28.56,60317
2019-09-04,27.34,29.05,26.14,28.27,101685
2019-09-05,28.07,29.76,28.07,28.56,40802
2019-09-06,28.44,28.93,28.41,28.56,15499
2019-09-09,28.56,28.63,24.41,27.07,122207
2019-09-10,26.36,26.36,23.92,24.9,100336
2019-09-11,24.41,26.61,21.97,26.61,2531628
2019-09-12,26.61,27.22,26.48,26.75,32180
2019-09-13,26.85,28.07,26.07,27.34,44690
2019-09-16,27.34,27.34,26.51,26.8,21846
2019-09-17,26.39,26.83,26.29,26.61,24799
2019-09-18,26.61,26.85,26.36,26.47,19132
2019-09-19,26.36,26.36,24.41,24.9,67130
2019-09-20,25.02,25.02,24.41,24.8,28136
2019-09-23,24.9,25.24,23.68,23.97,24921
2019-09-24,23.95,23.97,22.46,22.85,78470
2019-09-25,22.8,22.9,22.21,22.82,42909
2019-09-26,22.7,23.92,19.26,23.73,186785
2019-09-27,23.73,23.87,22.92,23.19,35560
2019-09-30,22.99,23.19,22.51,22.53,27600
2019-10-01,22.85,23.43,19.53,23.14,1541200
2019-10-02,22.85,24.41,22.09,24.0,215751
2019-10-03,23.43,24.34,23.19,24.17,57704
2019-10-04,24.51,24.51,23.87,23.92,21668
2019-10-07,24.36,24.41,23.38,23.43,27860
2019-10-08,23.7,23.7,23.31,23.31,110200
2019-10-09,23.31,24.41,23.19,23.73,290950
2019-10-10,23.8,25.07,23.8,24.53,58071
2019-10-11,24.53,24.53,24.17,24.29,20732
2019-10-14,24.41,24.41,23.68,23.36,19817
2019-10-15,23.19,23.43,22.7,23.19,45030
2019-10-16,23.19,23.43,22.7,22.95,30350
2019-10-17,22.46,23.8,22.46,23.31,34675
2019-10-18,23.43,24.39,23.43,23.92,39525
2019-10-21,24.39,25.14,23.92,24.46,94930
2019-10-22,24.9,24.9,24.34,24.63,26695
2019-10-23,23.92,25.46,23.92,25.17,72184
2019-10-24,25.39,26.73,25.39,26.46,65286
2019-10-25,26.61,27.34,26.61,26.8,44521
2019-10-28,26.85,27.1,26.14,26.61,52348
2019-10-29,26.27,26.48,26.02,26.48,24750
2019-10-30,26.36,27.17,23.68,23.68,193549
2019-10-31,25.63,27.22,24.65,26.09,141456
2019-11-01,26.07,26.12,25.0,25.44,23396
2019-11-04,25.44,25.87,24.7,25.26,54370
2019-11-05,25.39,25.39,24.65,25.14,55730
2019-11-06,25.14,25.87,25.14,25.51,35850
2019-11-07,25.39,25.39,25.04,25.26,47107
2019-11-08,25.26,25.26,25.02,25.09,22280
2019-11-11,25.61,25.63,24.9,24.92,39293
2019-11-12,25.02,25.14,24.9,25.12,25887
2019-11-13,24.9,25.12,24.87,25.12,27094
2019-11-14,24.95,24.97,24.65,24.78,22200
2019-11-15,24.65,24.9,24.65,24.65,12670
2019-11-18,24.58,24.9,24.58,24.82,20200
2019-11-19,24.65,25.26,20.99,25.14,17592
2019-11-20,25.07,25.87,25.07,25.63,33619
2019-11-21,25.63,25.75,25.39,25.51,9100
2019-11-22,25.51,25.53,21.72,25.17,38320
2019-11-25,24.92,24.92,23.68,24.46,17660
2019-11-26,25.14,25.14,24.56,24.8,9760
2019-11-27,25.22,25.22,24.65,24.85,3610
2019-11-28,24.68,24.87,24.48,24.87,14823
2019-11-29,24.65,24.78,24.17,24.34,24400
2019-12-02,24.41,24.78,20.75,24.17,37392
2019-12-03,23.68,23.92,23.48,23.56,23763
2019-12-04,23.8,23.9,23.43,23.7,14567
2019-12-05,23.68,24.04,23.68,23.92,8561
2019-12-06,24.17,24.17,23.68,23.92,18600
2019-12-09,23.68,23.92,20.21,23.8,8605
2019-12-10,23.8,23.87,23.75,23.78,16863
2019-12-11,23.87,24.41,23.87,24.39,10400
2019-12-12,24.09,24.87,24.09,24.87,11730
2019-12-13,24.9,24.9,24.51,24.51,6490
2019-12-16,25.63,25.63,21.02,24.29,20300
2019-12-17,24.24,24.24,24.24,23.82,34415
2019-12-18,23.7,23.92,23.68,23.75,21560
2019-12-19,24.41,24.41,20.24,23.78,5130
2019-12-20,23.7,23.7,23.56,23.68,7900
2019-12-23,23.68,23.68,23.31,23.34,11540
2019-12-24,23.19,23.29,22.82,23.19,29667
2019-12-25,23.17,23.68,23.17,23.36,7130
2019-12-26,23.24,23.36,23.24,23.34,4460
2019-12-27,23.34,23.68,23.34,23.51,12155
2019-12-30,23.43,23.48,23.43,23.31,5661
2019-12-31,23.43,23.62,23.3,23.55,4902
2020-01-02,23.48,23.48,23.18,23.43,23500
2020-01-03,23.18,23.38,23.13,23.3,27618
2020-01-06,23.2,23.2,22.24,22.27,39631
2020-01-07,22.64,22.66,22.56,22.32,9163
2020-01-08,22.24,22.44,21.48,21.68,52420
2020-01-09,21.95,21.95,21.21,21.48,21800
2020-01-10,21.58,21.95,21.45,21.85,16726
2020-01-13,24.17,24.17,21.68,21.7,2438
2020-01-14,21.7,22.19,21.68,22.07,1497
2020-01-15,21.7,21.7,21.11,21.45,7930
2020-01-16,21.45,21.7,21.45,21.63,2470
2020-01-17,21.63,21.63,21.38,21.63,1860
2020-01-20,21.45,21.45,20.96,21.21,10656
2020-01-21,22.32,22.32,21.01,21.31,2407
2020-01-22,21.03,21.11,20.79,21.13,8965
2020-01-30,20.3,20.96,20.25,20.71,3910
2020-01-31,20.96,20.96,18.62,18.99,101976
2020-02-03,18.99,18.99,17.02,18.49,84376
2020-02-04,18.25,18.25,17.51,17.51,11596
2020-02-05,18.0,18.37,17.83,18.25,33376
2020-02-06,18.25,19.33,18.25,19.33,15520
2020-02-07,18.64,18.74,18.62,18.62,4850
2020-02-10,17.76,18.49,17.76,18.49,520
2020-02-11,17.76,18.25,17.76,18.25,5220
2020-02-12,18.25,19.23,18.0,19.23,23617
2020-02-13,19.04,19.97,18.0,19.73,15151
2020-02-14,19.73,19.83,19.73,19.83,4073
2020-02-17,19.73,19.85,16.77,19.48,9720
2020-02-18,19.53,19.53,19.53,19.6,2610
2020-02-19,19.58,22.19,19.58,20.89,42245
2020-02-20,20.89,20.96,20.34,20.57,25110
2020-02-21,20.47,20.47,20.22,20.32,9800
2020-02-24,19.73,19.73,18.74,18.79,22700
2020-02-25,18.96,19.48,18.96,19.48,13307
2020-02-26,19.14,19.14,18.62,18.86,33220
2020-02-27,18.86,19.11,18.86,19.11,13144
2020-02-28,18.52,18.86,18.25,18.86,9250
2020-03-02,18.49,18.84,18.49,18.74,21810
2020-03-03,18.74,19.21,18.74,18.99,15800
2020-03-04,18.94,19.11,18.82,19.11,9649
2020-03-05,19.04,19.36,19.04,19.19,10000
2020-03-06,19.16,19.16,18.74,18.99,9500
2020-03-09,17.39,17.51,16.52,16.55,88278
2020-03-10,16.52,17.71,16.52,17.63,21395
2020-03-11,18.0,18.0,16.55,17.51,35880
2020-03-12,16.03,16.74,15.91,16.25,34640
2020-03-13,14.89,16.28,14.43,16.15,67070
2020-03-16,15.66,16.28,15.61,15.73,29710
2020-03-17,16.0,16.77,16.0,16.65,17282
2020-03-18,17.02,17.26,16.77,16.84,22714
2020-03-19,16.28,16.89,16.28,16.89,23000
2020-03-20,16.77,16.87,16.57,16.87,13700
2020-03-23,16.65,16.65,15.07,15.36,93430
2020-03-24,15.24,18.0,15.24,16.03,32910
2020-03-25,16.28,16.57,16.28,16.52,18645
2020-03-26,16.45,16.52,16.15,16.45,38600
2020-03-27,16.32,16.52,16.25,16.37,17420
2020-03-30,15.54,16.03,15.41,15.78,16400
2020-03-31,16.03,16.28,15.66,15.78,17700
2020-04-01,15.91,16.03,15.91,16.03,5500
2020-04-03,15.78,16.4,15.66,16.28,10300
2020-04-06,16.52,17.26,16.52,17.26,15220
2020-04-07,17.14,17.14,16.77,16.77,11500
2020-04-08,16.77,17.76,16.52,17.26,30200
2020-04-09,17.51,19.11,17.51,19.09,47790
2020-04-10,19.26,19.36,18.77,18.77,17700
2020-04-13,18.99,18.99,18.0,18.22,29225
2020-04-14,18.0,18.0,17.51,17.98,18920
2020-04-15,18.0,18.74,18.0,18.74,6900
2020-04-16,18.12,18.49,18.12,18.49,13150
2020-04-17,18.4,21.13,18.4,18.4,55040
2020-04-20,18.62,19.73,18.62,19.73,45550
2020-04-21,19.48,19.48,18.0,18.74,26270
2020-04-22,18.49,18.64,18.0,18.64,9710
2020-04-23,18.99,18.99,18.0,18.49,10720
2020-04-24,18.52,18.59,17.51,18.49,9710
2020-04-27,18.62,20.91,18.4,20.69,76405
2020-04-28,20.96,21.08,19.73,19.85,61440
2020-04-29,20.22,20.34,19.23,19.48,15100
2020-05-04,18.03,19.65,18.0,18.49,57480
2020-05-05,18.37,18.99,18.27,18.99,34710
2020-05-06,18.74,19.73,18.74,19.73,18000
2020-05-07,19.36,19.75,19.26,19.63,20422
2020-05-08,16.77,19.73,16.77,19.6,24870
2020-05-11,18.54,19.43,18.54,18.99,7320
2020-05-12,18.89,21.9,18.86,19.11,16728
2020-05-13,19.14,19.48,18.99,19.26,15382
2020-05-14,18.99,19.28,18.99,19.11,14708
2020-05-15,19.23,19.23,18.74,18.74,20610
2020-05-18,18.79,19.23,16.0,19.16,14900
2020-05-19,19.23,20.22,18.99,19.93,52400
2020-05-20,19.85,20.84,19.85,20.37,77410
2020-05-21,20.22,20.47,20.22,20.42,52328
2020-05-22,19.97,20.47,19.97,20.34,45420
2020-05-25,20.42,22.56,20.2,22.56,155230
2020-05-26,22.56,22.69,21.7,22.07,42227
2020-05-27,22.19,22.32,21.23,21.48,54890
2020-05-28,21.58,21.9,21.21,21.82,42460
2020-05-29,21.9,22.83,21.9,22.61,57254
2020-06-01,22.69,23.9,22.69,23.67,102917
2020-06-02,23.55,23.9,19.85,23.43,90998
2020-06-03,23.38,24.49,23.08,24.39,75744
2020-06-04,23.92,24.91,23.92,24.41,58781
2020-06-05,24.41,25.15,24.41,24.91,63310
2020-06-08,25.15,25.35,23.87,24.61,76743
2020-06-09,24.91,25.03,23.94,24.66,54680
2020-06-10,24.91,25.13,23.67,24.54,35000
2020-06-11,24.56,24.91,22.44,22.44,89282
2020-06-12,23.3,23.3,21.7,21.7,113300
2020-06-15,22.42,22.76,21.45,22.17,45301
2020-06-16,21.7,22.69,20.22,20.84,154170
2020-06-17,20.84,20.84,20.15,20.15,60931
2020-06-18,20.0,20.71,19.6,20.47,67705
2020-06-19,20.47,22.19,19.85,20.86,51106
2020-06-22,21.03,21.03,20.66,20.71,21103
2020-06-23,20.71,20.96,20.57,20.57,29605
2020-06-24,20.47,20.71,20.37,20.47,27130
2020-06-25,20.22,20.96,20.17,20.79,31808
2020-06-26,20.94,22.14,20.47,21.21,64289
2020-06-29,21.48,21.48,20.0,20.44,37610
2020-06-30,20.81,20.81,17.48,20.47,12011
2020-07-01,20.22,21.21,20.22,20.71,10900
2020-07-02,21.16,21.16,20.62,20.64,5271
2020-07-03,20.71,22.86,20.59,20.59,41718
2020-07-06,20.2,21.4,20.2,20.84,11200
2020-07-07,20.86,21.08,20.84,20.84,22139
2020-07-08,20.99,20.99,20.71,20.94,31470
2020-07-09,20.94,21.45,20.84,21.21,23950
2020-07-10,21.31,21.45,20.96,21.21,4661
2020-07-13,21.21,21.43,20.99,21.18,1250
2020-07-14,21.13,21.21,20.84,21.11,4160
2020-07-15,21.03,21.03,20.96,20.99,12967
2020-07-16,20.99,21.13,20.47,21.06,19110
2020-07-17,20.96,20.96,20.66,20.86,22600
2020-07-20,20.84,21.38,20.84,21.11,44442
2020-07-21,21.06,21.06,20.71,21.03,18712
2020-07-22,20.89,20.89,20.71,20.84,9200
2020-07-23,20.75,21.03,20.65,20.73,13700
2020-07-24,20.68,20.93,19.68,20.18,95065
2020-07-27,19.43,19.68,18.49,18.51,57774
2020-07-28,19.08,19.56,18.69,19.53,13020
2020-07-29,19.43,19.43,18.56,18.79,18200
2020-07-30,18.69,20.41,15.95,19.93,33851
2020-07-31,20.68,21.43,20.08,20.63,54660
2020-08-03,20.18,20.95,20.18,20.95,15060
2020-08-04,21.18,21.2,20.8,21.05,32431
2020-08-05,21.05,21.92,20.93,21.8,64377
2020-08-06,21.43,22.55,21.43,22.0,48728
2020-08-07,21.92,22.37,21.68,21.92,15721
2020-08-10,21.92,22.27,21.45,22.02,75013
2020-08-11,22.12,22.95,21.73,22.55,98787
2020-08-12,22.92,23.05,22.42,22.67,33445
2020-08-13,22.75,22.9,21.68,21.92,90710
2020-08-14,22.02,22.1,21.43,21.83,63476
2020-08-17,21.78,22.4,21.68,22.25,38580
2020-08-18,22.17,22.42,22.15,22.42,38048
2020-08-19,22.42,23.3,22.35,23.17,150747
2020-08-20,23.17,23.57,22.9,23.05,64360
2020-08-21,23.15,23.2,22.75,23.0,42800
2020-08-24,22.85,23.07,22.62,22.9,85678
2020-08-25,22.8,23.27,22.75,22.87,55835
2020-08-26,22.92,23.0,22.67,22.92,52355
2020-08-27,23.0,23.89,22.7,23.67,50213
2020-08-28,23.54,23.69,22.92,22.92,33290
2020-08-31,23.35,23.35,22.05,22.65,55039
