date,open,high,low,close,volume
2021-03-24,9.97,9.97,9.97,9.97,6007500
2021-03-25,10.66,10.66,10.66,10.66,1464100
2021-03-26,11.41,11.41,11.41,11.41,1078500
2021-03-29,12.2,12.2,11.88,12.2,3992200
2021-03-30,13.04,13.04,12.99,13.04,1896300
2021-03-31,13.93,13.93,13.46,13.93,4138700
2021-04-01,13.91,13.95,13.41,13.95,3793500
2021-04-02,13.71,13.98,13.71,13.98,2990700
2021-04-05,13.88,13.93,13.56,13.91,1564100
2021-04-06,13.86,13.86,13.51,13.86,1881700
2021-04-07,13.86,13.86,13.61,13.86,1208100
2021-04-08,13.76,13.76,13.61,13.66,911300
2021-04-09,13.36,13.71,13.36,13.71,955900
2021-04-12,13.51,13.71,13.36,13.71,846900
2021-04-13,13.41,13.61,13.41,13.51,433600
2021-04-14,13.36,13.48,13.26,13.26,579800
2021-04-15,13.06,13.36,12.62,13.36,1409400
2021-04-16,13.36,13.51,13.11,13.51,574400
2021-04-19,13.53,13.61,13.41,13.61,886900
2021-04-20,13.66,13.66,13.56,13.61,1465400
2021-04-22,13.51,13.61,13.26,13.61,729000
2021-04-23,13.61,13.61,12.92,12.92,853900
2021-04-26,13.36,13.46,13.04,13.26,578000
2021-04-27,12.42,13.31,12.42,13.31,705300
2021-04-28,13.26,13.34,12.87,13.26,846500
2021-04-29,12.92,13.34,12.92,13.29,1199900
2021-05-04,12.89,13.11,12.89,13.06,1055500
2021-05-05,13.06,13.11,12.92,13.09,647500
2021-05-06,13.09,14.0,13.01,13.53,1078900
2021-05-07,13.61,13.71,13.36,13.61,1122000
2021-05-10,13.61,13.86,13.36,13.86,1638300
2021-05-11,14.0,14.0,13.71,13.86,942400
2021-05-12,13.86,13.86,13.71,13.86,1429600
2021-05-13,13.86,14.1,13.41,14.0,2069300
2021-05-14,14.1,14.97,13.61,14.97,3100400
2021-05-17,14.99,15.84,14.99,15.56,3145000
2021-05-18,15.88,15.88,15.54,15.59,3096400
2021-05-19,15.59,15.81,14.6,15.71,3510600
2021-05-20,15.81,15.81,14.65,15.71,4030600
2021-05-21,15.71,15.84,15.02,15.84,4272700
2021-05-24,15.84,16.13,15.09,16.13,2716700
2021-05-25,16.31,17.25,15.09,17.25,3725900
2021-05-26,17.27,18.41,16.58,18.41,2720400
2021-05-27,18.46,18.48,17.34,18.33,2077400
2021-05-28,18.31,19.3,17.57,19.3,2006200
2021-05-31,19.3,20.19,18.8,20.19,1832500
2021-06-01,20.21,20.73,19.3,20.24,1733600
2021-06-02,20.14,20.54,19.25,20.54,1816900
2021-06-03,20.59,21.28,19.32,21.28,2794400
2021-06-04,21.48,22.52,19.84,22.52,4445100
2021-06-07,22.52,22.52,20.98,21.53,1594600
2021-06-08,20.54,21.28,20.09,21.28,2450000
2021-06-09,20.04,21.38,19.87,19.89,2641700
2021-06-10,20.14,21.08,18.56,20.44,3337900
2021-06-11,20.44,21.23,19.55,21.23,2589300
2021-06-14,21.23,21.28,20.29,21.28,2782100
2021-06-15,21.23,21.25,19.84,20.44,2466800
2021-06-16,20.44,20.44,19.1,19.7,1489700
2021-06-17,19.6,19.7,18.51,19.65,1823600
2021-06-18,18.8,20.02,18.31,19.97,2734900
2021-06-21,19.97,19.97,19.3,19.79,2216300
2021-06-22,19.79,19.84,19.25,19.82,2389900
2021-06-23,19.77,19.77,19.32,19.65,2069900
2021-06-24,19.65,19.72,19.3,19.67,2276400
2021-06-25,19.7,19.84,19.3,19.84,2106000
2021-06-28,19.35,20.29,19.05,20.19,2093400
2021-06-29,20.19,20.29,20.14,20.26,2099600
2021-06-30,20.26,20.46,19.55,20.36,2195300
2021-07-01,20.36,20.39,19.45,20.21,2349400
2021-07-02,20.24,20.98,19.77,20.98,3294900
2021-07-05,20.98,20.98,20.29,20.88,2506700
2021-07-06,20.88,20.96,19.94,20.64,2955100
2021-07-07,20.36,20.78,19.79,20.73,3388500
2021-07-08,20.68,20.68,20.04,20.54,2656800
2021-07-09,20.44,20.59,19.79,20.09,2824800
2021-07-12,19.94,19.94,18.71,18.8,1625200
2021-07-13,18.56,19.1,17.96,19.1,1732300
2021-07-14,19.05,19.05,18.36,18.9,1798000
2021-07-15,18.8,19.99,18.56,19.94,1725100
2021-07-16,19.94,20.29,19.27,19.52,1963600
2021-07-19,19.25,19.25,18.31,18.31,1590100
