date,open,high,low,close,volume
2016-03-14,18.99,18.99,18.43,18.43,3860
2016-03-15,18.43,18.43,18.0,18.14,2460
2016-03-16,18.0,18.28,18.0,18.14,1990
2016-03-17,18.14,18.99,18.14,18.71,5920
2016-03-18,18.57,19.56,18.57,19.56,910
2016-03-21,19.56,19.56,19.28,19.28,100
2016-03-22,18.57,19.14,18.57,19.14,30
2016-03-23,18.57,19.14,18.43,19.14,2560
2016-03-25,18.99,18.99,18.99,18.99,10
2016-03-28,19.42,19.42,18.43,18.57,3790
2016-03-29,19.28,19.28,18.43,18.43,30
2016-03-30,18.85,18.85,18.85,18.85,330
2016-03-31,19.14,19.14,18.99,19.14,410
2016-04-01,18.71,18.71,18.71,18.71,320
2016-04-04,19.14,19.14,18.99,19.14,30
2016-04-05,19.14,19.14,19.14,19.14,50
2016-04-06,19.42,19.42,18.71,19.14,8420
2016-04-07,19.14,19.14,18.71,19.14,50
2016-04-08,18.99,19.28,18.99,19.28,1370
2016-04-11,19.56,19.56,18.85,19.14,2040
2016-04-12,18.71,19.28,18.28,18.99,6300
2016-04-13,18.28,19.28,18.28,18.85,1080
2016-04-14,18.85,18.85,18.71,18.71,120
2016-04-15,18.71,18.71,18.28,18.28,1060
2016-04-19,19.14,19.14,18.28,18.43,1310
2016-04-20,18.43,18.85,18.43,18.85,61010
2016-04-21,18.57,19.14,18.57,18.85,2950
2016-04-22,18.85,18.85,18.85,18.85,40
2016-04-25,18.71,18.71,18.43,18.71,1400
2016-04-26,18.43,18.99,18.43,18.99,2260
2016-04-27,18.71,18.85,18.57,18.57,1680
2016-04-28,18.57,18.71,18.57,18.57,1230
2016-04-29,18.71,19.56,18.71,19.56,22030
2016-05-04,20.27,20.84,20.27,20.84,13270
2016-05-05,21.26,22.25,21.26,22.25,6030
2016-05-06,22.96,22.96,21.26,22.25,8210
2016-05-09,21.97,21.97,21.26,21.97,2210
2016-05-10,21.83,21.97,21.54,21.97,3730
2016-05-11,21.4,21.97,21.4,21.97,230
2016-05-12,21.26,21.97,21.26,21.83,530
2016-05-13,21.54,21.83,21.54,21.54,730
2016-05-16,21.54,21.54,21.12,21.54,230
2016-05-17,21.26,21.26,20.7,21.26,3090
2016-05-18,20.84,21.26,20.84,21.12,2760
2016-05-20,21.12,21.12,21.12,21.12,50
2016-05-23,21.83,21.83,21.26,21.26,1740
2016-05-24,21.54,21.69,21.54,21.69,610
2016-05-25,22.11,22.11,21.69,22.11,210
2016-05-26,22.11,22.25,22.11,22.11,920
2016-05-27,22.11,22.4,22.11,22.4,1920
2016-05-30,23.81,23.81,22.4,23.39,790
2016-05-31,24.52,24.52,22.68,24.38,1000
2016-06-01,22.82,24.1,22.68,24.1,1480
2016-06-02,22.54,24.66,22.54,24.66,1840
2016-06-03,25.51,26.08,22.96,24.66,8330
2016-06-06,25.94,25.94,25.37,25.37,100
2016-06-07,23.96,24.95,23.96,24.66,1170
2016-06-08,24.66,24.66,24.66,24.66,2450
2016-06-09,24.24,24.66,24.24,24.66,60
2016-06-10,24.38,24.66,24.38,24.66,1050
2016-06-13,25.94,26.08,24.66,26.08,140
2016-06-14,24.66,24.66,24.38,24.66,600
2016-06-16,24.66,25.51,23.96,24.95,2840
2016-06-17,25.51,25.51,24.95,25.51,2210
2016-06-20,25.51,25.51,25.51,25.51,380
2016-06-21,25.94,25.94,25.51,25.51,1900
2016-06-22,25.51,25.8,25.51,25.8,90
2016-06-23,25.8,26.37,25.8,25.94,1180
2016-06-24,26.37,26.37,24.65,26.09,480
2016-06-27,25.23,26.09,24.37,26.09,2740
