date,open,high,low,close,volume
2015-09-28,6.01,5.69,5.5,5.5,853910
2015-09-29,5.81,5.5,5.35,5.45,1559000
2015-09-30,5.86,5.64,5.45,5.5,879706
2015-10-01,5.86,5.55,5.5,5.55,347822
2015-10-02,5.76,5.55,5.4,5.45,337100
2015-10-05,5.76,5.64,5.45,5.55,628945
2015-10-06,5.96,5.74,5.6,5.69,2088217
2015-10-07,6.01,5.74,5.55,5.55,835537
2015-10-08,5.91,5.79,5.55,5.74,1622111
2015-10-09,6.11,5.84,5.64,5.64,811555
2015-10-12,5.96,5.74,5.6,5.64,1045508
2015-10-13,5.96,5.69,5.6,5.64,309112
2015-10-14,5.96,5.69,5.6,5.64,680011
2015-10-15,5.96,5.69,5.6,5.69,962859
2015-10-16,6.06,5.74,5.64,5.64,936836
2015-10-19,5.96,5.64,5.55,5.55,564094
2015-10-20,5.96,5.69,5.5,5.5,621458
2015-10-21,5.76,5.55,5.45,5.5,678922
2015-10-22,5.81,5.6,5.45,5.55,428830
2015-10-23,5.91,5.69,5.6,5.64,674162
2015-10-26,6.01,5.69,5.55,5.55,499424
2015-10-27,5.86,5.55,5.45,5.5,544600
2015-10-28,5.81,5.6,5.5,5.55,464517
2015-10-29,5.81,5.6,5.5,5.6,522930
2015-10-30,5.91,5.6,5.55,5.55,257130
2015-11-02,5.86,5.69,5.55,5.55,621790
2015-11-03,5.81,5.99,5.5,5.99,4041937
2015-11-04,6.37,6.37,6.03,6.08,4470371
2015-11-05,6.42,6.18,6.03,6.13,1043642
2015-11-06,6.42,6.13,5.94,5.94,1906220
2015-11-09,6.32,6.33,5.89,6.18,2982183
2015-11-10,6.53,6.23,6.03,6.03,1623680
2015-11-11,6.37,6.08,5.89,5.94,930533
2015-11-12,6.22,6.08,5.84,6.08,1527937
2015-11-13,6.42,6.13,5.99,5.99,1354205
2015-11-16,6.32,6.08,5.84,5.99,1559280
2015-11-17,6.37,6.08,5.89,5.94,1343600
2015-11-18,6.27,5.99,5.89,5.99,830329
2015-11-19,6.32,5.99,5.89,5.89,538305
2015-11-20,6.06,5.99,5.74,5.89,949705
2015-11-23,6.22,6.13,5.89,6.03,1371637
2015-11-24,6.47,6.28,6.03,6.08,1710997
2015-11-25,6.42,6.18,5.99,6.13,802120
2015-11-26,6.47,6.13,5.94,5.94,983347
2015-11-27,6.27,5.94,5.69,5.69,1760615
2015-11-30,6.01,5.74,5.55,5.6,934534
2015-12-01,5.91,5.69,5.6,5.6,633300
2015-12-02,5.5,5.69,5.21,5.6,438527
2015-12-03,5.91,5.64,5.5,5.6,541821
2015-12-04,5.86,5.6,5.5,5.6,354700
2015-12-07,5.91,5.6,5.5,5.55,637431
2015-12-08,5.81,5.6,5.4,5.55,1228155
2015-12-09,5.86,5.55,5.4,5.4,894200
2015-12-10,5.7,5.45,5.35,5.35,551251
2015-12-11,5.7,5.45,5.35,5.45,442332
2015-12-14,5.34,5.5,5.01,5.5,449100
2015-12-15,5.81,5.5,5.45,5.5,258900
2015-12-16,5.81,5.55,5.5,5.5,366300
2015-12-17,6.32,5.99,5.45,5.45,341216
2015-12-18,5.76,5.5,5.45,5.45,1562600
2015-12-21,5.76,5.5,5.4,5.45,349791
2015-12-22,5.76,5.5,5.4,5.45,236822
2015-12-23,5.76,5.45,5.4,5.4,304800
2015-12-24,5.5,5.45,5.21,5.45,101165
2015-12-25,5.76,5.45,5.35,5.4,292400
2015-12-28,5.7,5.4,5.3,5.3,309300
2015-12-29,5.65,5.45,5.3,5.45,334091
2015-12-30,5.81,5.55,5.45,5.5,415851
2015-12-31,5.81,5.5,5.45,5.5,127460
2016-01-04,5.81,5.55,5.4,5.4,378512
2016-01-05,5.65,5.45,5.3,5.3,410205
2016-01-06,5.65,5.35,5.35,5.35,169800
2016-01-07,5.6,5.35,5.21,5.26,449815
2016-01-08,5.5,5.26,5.06,5.06,599300
2016-01-11,5.34,5.11,4.96,4.96,304900
2016-01-12,5.19,5.16,4.91,5.11,485410
2016-01-13,5.4,5.16,5.06,5.06,155960
2016-01-14,5.34,5.06,4.91,4.96,631400
2016-01-15,5.29,5.06,4.87,4.91,514200
2016-01-18,5.14,4.87,4.48,4.57,1135600
2016-01-19,4.83,4.72,4.57,4.72,376729
2016-01-20,4.93,4.87,4.62,4.67,295400
2016-01-21,4.47,4.67,4.23,4.48,684510
2016-01-22,4.27,4.72,4.04,4.72,1075511
2016-01-25,4.98,5.11,4.72,5.06,739939
2016-01-26,5.29,5.06,4.87,4.91,574290
2016-01-27,5.24,5.06,4.96,4.96,309522
2016-01-28,5.24,5.11,4.96,5.06,538270
2016-01-29,5.24,5.11,4.96,5.01,246600
2016-02-01,5.45,5.16,4.96,5.01,311300
2016-02-02,5.24,4.96,4.87,4.87,235992
2016-02-03,5.09,5.01,4.77,5.01,231600
2016-02-04,5.29,5.01,4.91,4.91,361900
2016-02-05,5.19,4.96,4.87,4.91,165100
2016-02-15,5.7,5.4,4.82,4.91,133112
2016-02-16,5.19,5.06,4.91,5.01,362900
2016-02-17,5.29,5.01,4.91,4.91,385000
2016-02-18,5.29,5.01,4.91,4.96,159816
2016-02-19,5.29,5.26,4.96,5.16,1499500
2016-02-22,5.5,5.21,5.11,5.16,869989
2016-02-23,5.4,5.21,5.11,5.16,422100
2016-02-24,5.4,5.16,5.06,5.11,777750
2016-02-25,5.4,5.11,5.01,5.01,539335
2016-02-26,5.34,5.06,5.01,5.01,203110
2016-02-29,5.29,5.01,4.91,4.96,378300
2016-03-01,5.29,5.01,4.91,4.91,378601
2016-03-02,5.14,5.01,4.87,5.01,385540
2016-03-03,5.29,5.01,4.96,4.96,442500
2016-03-04,5.24,5.01,4.91,4.96,476361
2016-03-07,5.24,5.01,4.96,4.96,544010
2016-03-08,5.24,5.11,4.96,5.01,1017230
2016-03-09,5.4,5.21,5.06,5.11,933660
2016-03-10,5.45,5.16,5.06,5.06,332810
2016-03-11,5.06,5.11,5.06,5.06,396444
2016-03-14,5.06,5.11,5.01,5.06,415822
2016-03-15,5.06,5.16,5.01,5.06,768900
2016-03-16,5.06,5.11,5.01,5.11,680883
2016-03-17,5.11,5.21,5.06,5.06,743151
2016-03-18,5.11,5.3,5.06,5.21,1483700
2016-03-21,5.26,5.26,5.11,5.11,544150
2016-03-22,5.11,5.16,5.06,5.11,690310
2016-03-23,5.11,5.16,5.06,5.16,732780
2016-03-24,5.11,5.11,5.11,5.11,836855
2016-03-25,5.06,5.11,5.01,5.01,660450
2016-03-28,5.01,5.11,5.01,5.11,946200
2016-03-29,5.11,5.11,4.96,5.01,956936
2016-03-30,5.01,5.01,4.96,5.01,575700
2016-03-31,5.01,5.01,4.87,4.96,828200
2016-04-01,4.96,4.96,4.82,4.82,726560
2016-04-04,4.87,4.87,4.82,4.87,480480
2016-04-05,4.82,4.91,4.82,4.87,275300
2016-04-06,4.87,4.96,4.87,4.91,199725
2016-04-07,4.96,4.96,4.82,4.82,385400
2016-04-08,4.87,5.26,4.87,5.26,3500428
2016-04-11,5.6,5.6,5.3,5.35,2551822
2016-04-12,5.35,5.5,5.26,5.4,1573178
2016-04-13,5.4,5.4,5.26,5.3,1261237
2016-04-14,5.26,5.4,5.26,5.3,1378800
2016-04-15,5.3,5.4,5.21,5.21,1073396
2016-04-19,5.21,5.21,5.06,5.06,871941
2016-04-20,5.01,5.11,5.01,5.06,908875
2016-04-21,5.06,5.16,5.06,5.11,577155
2016-04-22,5.11,5.3,5.06,5.16,1113750
2016-04-25,5.21,5.3,5.16,5.21,689346
2016-04-26,5.16,5.21,5.16,5.21,678256
2016-04-27,5.16,5.21,5.11,5.11,613300
2016-04-28,5.11,5.11,5.06,5.11,372885
2016-04-29,5.11,5.16,5.06,5.06,550119
2016-05-04,5.11,5.16,5.01,5.01,853517
2016-05-05,5.01,5.11,4.96,5.01,495849
2016-05-06,5.01,5.06,4.96,5.01,368112
2016-05-09,5.01,5.06,4.91,4.91,433323
2016-05-10,4.96,4.96,4.87,4.91,830857
2016-05-11,4.92,5.01,4.91,4.96,394023
2016-05-12,5.06,5.16,5.01,5.11,1448090
2016-05-13,5.11,5.16,4.96,5.01,562600
2016-05-16,5.01,5.11,5.01,5.06,712810
2016-05-17,4.57,5.11,4.57,5.06,591651
2016-05-18,5.11,5.3,5.11,5.21,2483420
2016-05-19,5.21,5.26,5.16,5.16,604655
2016-05-20,4.67,5.26,4.67,5.16,433027
2016-05-23,5.21,5.45,5.16,5.35,2271167
2016-05-24,5.3,5.4,5.16,5.4,1773489
2016-05-25,5.35,5.45,5.3,5.35,925105
2016-05-26,5.35,5.35,5.16,5.16,750766
2016-05-27,5.16,5.26,5.16,5.16,781729
2016-05-30,5.3,5.5,5.3,5.5,2237453
2016-05-31,5.5,5.64,5.5,5.64,3055825
2016-06-01,5.64,5.74,5.6,5.69,1416269
2016-06-02,5.74,5.74,5.6,5.64,1250886
2016-06-03,5.64,6.08,5.64,5.94,5970678
2016-06-06,5.94,6.33,5.84,5.94,2699483
2016-06-07,5.94,6.23,5.84,6.23,2399254
2016-06-08,6.33,6.47,6.23,6.28,4719638
2016-06-09,6.33,6.47,6.28,6.37,2818323
2016-06-10,6.38,6.52,6.23,6.37,2756210
2016-06-13,6.33,6.62,6.28,6.52,2811826
2016-06-14,6.67,6.67,6.42,6.47,1052510
2016-06-15,6.47,6.52,6.37,6.42,1190780
2016-06-16,6.53,6.68,6.37,6.37,2242090
2016-06-17,6.37,6.37,6.06,6.06,2767951
2016-06-20,6.11,6.22,5.96,6.06,892982
2016-06-21,6.11,6.27,6.11,6.11,1369681
2016-06-22,6.11,6.68,6.11,6.68,2967928
2016-06-23,6.78,7.14,6.78,7.04,3041499
2016-06-24,7.04,7.09,6.37,6.73,5494821
2016-06-27,6.78,6.83,6.47,6.78,1829517
2016-06-28,6.78,7.09,6.68,6.99,2440968
2016-06-29,7.04,7.66,6.94,7.55,5621337
2016-06-30,7.61,7.81,7.3,7.3,3238350
2016-07-01,7.35,7.81,7.3,7.45,3991966
2016-07-04,7.71,8.17,7.61,8.17,5322495
2016-07-05,8.32,8.48,8.02,8.17,4696461
2016-07-06,8.07,8.94,8.02,8.94,4697941
2016-07-07,8.99,9.81,8.94,9.3,5344512
2016-07-08,9.35,9.92,9.15,9.51,3789047
2016-07-11,9.66,9.87,8.58,8.58,5855347
2016-07-12,8.53,9.04,8.22,9.04,6723241
2016-07-13,9.2,9.66,9.1,9.1,3809525
2016-07-14,9.25,9.25,8.27,8.27,3852795
2016-07-15,8.27,8.63,8.02,8.38,4185323
2016-07-18,8.48,8.89,8.48,8.89,2488699
2016-07-19,8.99,9.1,8.17,8.48,5407565
2016-07-20,8.38,8.38,7.71,7.71,5207322
2016-07-21,7.66,7.96,7.45,7.55,3316873
2016-07-22,7.55,8.17,7.04,8.17,4778538
2016-07-25,8.32,8.32,7.71,7.71,1640592
2016-07-26,7.61,7.66,7.4,7.55,1593245
2016-07-27,7.55,7.86,7.45,7.61,2775830
2016-07-28,7.66,7.81,7.5,7.5,1705488
2016-07-29,7.5,7.91,7.45,7.66,2889924
2016-08-01,7.71,7.81,7.55,7.71,1445444
2016-08-02,7.66,7.66,7.25,7.3,2200921
2016-08-03,7.3,7.4,7.09,7.14,1822091
2016-08-04,7.14,7.3,6.68,6.78,2698765
2016-08-05,6.78,6.94,6.47,6.83,3391687
2016-08-08,6.83,6.99,6.78,6.94,1242200
2016-08-09,6.94,7.14,6.94,6.99,1378309
2016-08-10,6.99,7.35,6.89,7.35,3357595
2016-08-11,7.45,7.76,7.3,7.66,4060127
2016-08-12,7.71,8.02,7.55,7.71,4029868
2016-08-15,7.86,8.17,7.71,8.17,3787313
2016-08-16,8.22,8.32,7.96,8.12,3434440
2016-08-17,8.12,8.12,7.86,7.91,2631306
2016-08-18,7.91,8.07,7.81,7.86,2402514
2016-08-19,7.86,7.96,7.5,7.5,2200008
2016-08-22,7.5,7.66,7.19,7.19,1644710
2016-08-23,7.19,7.61,7.19,7.55,1672291
2016-08-24,7.76,7.76,7.61,7.61,1098394
2016-08-25,7.66,7.66,7.45,7.55,1112622
2016-08-26,7.5,8.02,7.5,7.86,3167108
2016-08-29,8.02,8.12,7.76,7.76,2966850
2016-08-30,7.76,8.02,7.71,7.91,1159021
2016-08-31,8.02,8.43,8.02,8.38,4185536
