date,open,high,low,close,volume
2018-05-17,64.42,64.42,64.42,64.42,18000
2018-05-22,68.91,68.91,68.91,68.91,20
2018-05-23,66.75,66.75,64.13,64.3,4839580
2018-05-24,64.6,66.93,64.19,66.75,1937240
2018-05-25,66.93,69.9,66.75,68.5,1749720
2018-05-28,64.71,68.79,64.71,68.21,2944740
2018-05-29,68.21,68.33,65.94,67.63,884320
2018-05-30,67.63,68.21,65.88,68.21,2448260
2018-05-31,68.21,68.5,67.1,67.1,1178690
2018-06-01,67.1,68.5,66.75,67.92,814870
2018-06-04,67.63,68.74,67.34,68.74,1762630
2018-06-05,68.74,69.38,68.21,68.79,1229890
2018-06-06,68.5,70.48,68.21,69.96,712230
2018-06-07,71.13,71.13,65.06,69.96,1167210
2018-06-08,69.96,70.48,68.5,69.96,462940
2018-06-11,70.43,70.43,69.38,69.96,425790
2018-06-12,69.96,69.96,68.21,68.79,816310
2018-06-13,68.79,69.03,68.56,68.79,289590
2018-06-14,68.79,69.09,67.8,68.21,624230
2018-06-15,68.62,68.62,67.92,67.92,213150
2018-06-18,67.92,68.79,67.63,67.92,626280
2018-06-19,67.92,67.92,66.87,67.04,770730
2018-06-20,62.44,67.63,62.44,67.04,613980
2018-06-21,67.04,67.1,66.46,67.04,117280
2018-06-22,67.04,67.04,66.46,66.58,83230
2018-06-25,66.58,67.57,66.58,67.34,214260
2018-06-26,67.34,67.34,66.52,67.04,112440
2018-06-27,65.59,66.52,64.13,64.13,305740
2018-06-28,64.13,65.88,62.96,64.13,185920
2018-06-29,65.88,65.88,63.26,65.53,321730
2018-07-02,65.59,65.59,64.13,64.89,456190
2018-07-03,64.89,64.89,60.4,60.4,165430
2018-07-04,59.52,64.6,59.52,64.6,1358170
2018-07-05,64.6,67.04,64.6,66.46,1208630
2018-07-06,65.0,66.4,65.0,65.59,497040
2018-07-09,65.59,66.11,65.59,65.76,134390
2018-07-10,65.7,65.76,63.26,64.71,298180
2018-07-11,64.13,64.71,62.96,63.96,86370
2018-07-12,63.96,64.6,62.96,64.13,113470
2018-07-13,62.56,64.71,62.56,63.72,57420
2018-07-16,64.42,64.42,61.8,61.8,93750
2018-07-17,63.55,64.71,61.8,61.8,410540
2018-07-18,64.13,64.13,62.38,62.61,115930
2018-07-19,62.96,62.96,62.09,62.09,359780
2018-07-20,62.38,62.96,61.86,62.32,361710
2018-07-23,60.05,63.84,60.05,62.85,140470
2018-07-24,60.05,62.79,60.05,62.09,52950
2018-07-25,62.38,62.38,61.45,62.09,123900
