date,open,high,low,close,volume
2017-08-17,7.86,7.86,6.65,7.86,58299310
2017-08-18,7.65,7.75,7.49,7.49,1092840
2017-08-21,7.21,7.41,7.15,7.22,798670
2017-08-22,7.01,7.25,7.01,7.25,2295930
2017-08-23,7.25,7.41,7.2,7.29,520790
2017-08-24,7.32,7.32,7.21,7.3,678690
2017-08-25,7.23,7.31,7.21,7.31,615370
2017-08-28,7.25,7.31,7.23,7.31,761670
2017-08-29,7.27,7.31,7.24,7.31,990000
2017-08-30,7.31,7.31,7.25,7.31,830100
2017-08-31,7.27,7.31,7.27,7.31,1196380
2017-09-01,7.27,7.31,7.27,7.31,978060
2017-09-05,7.26,7.33,7.26,7.33,1274130
2017-09-06,7.33,7.69,7.31,7.68,1269010
2017-09-07,7.69,7.92,7.69,7.76,900290
2017-09-08,7.75,7.75,7.68,7.69,339640
2017-09-11,7.65,7.67,7.43,7.45,655570
2017-09-12,7.45,7.55,7.33,7.52,330150
2017-09-13,7.52,7.57,7.47,7.55,312470
2017-09-14,7.55,7.57,7.51,7.54,268880
2017-09-15,7.54,7.57,7.52,7.53,352480
2017-09-18,7.53,7.55,7.5,7.51,323580
2017-09-19,7.51,7.51,7.43,7.44,820020
2017-09-20,7.44,7.51,7.42,7.43,789670
2017-09-21,7.43,7.44,7.4,7.43,535570
2017-09-22,7.43,7.43,7.35,7.39,1288830
2017-09-25,7.39,7.42,7.38,7.38,504360
2017-09-26,7.43,7.43,7.37,7.37,718370
2017-09-27,7.39,7.54,7.37,7.5,1473820
2017-09-28,7.51,7.61,7.49,7.5,1238590
2017-09-29,7.5,7.6,7.5,7.55,752340
2017-10-02,7.55,7.57,7.45,7.5,634350
2017-10-03,7.49,7.51,7.4,7.43,659660
2017-10-04,7.43,7.45,7.4,7.43,457470
2017-10-05,7.47,7.48,7.42,7.42,219990
2017-10-06,7.46,7.49,7.41,7.49,409110
2017-10-09,7.57,7.57,7.5,7.54,936770
2017-10-10,7.54,7.69,7.52,7.65,869010
2017-10-11,7.69,7.96,7.68,7.96,3495690
2017-10-12,7.97,8.22,7.92,8.07,2362040
2017-10-13,8.04,8.27,8.04,8.1,1322500
2017-10-16,8.1,8.3,8.1,8.2,2217910
2017-10-17,8.2,8.36,8.2,8.3,1689100
2017-10-18,8.46,8.48,8.32,8.32,2362080
2017-10-19,8.3,8.4,8.22,8.28,1057180
2017-10-20,8.28,8.38,8.28,8.32,1480860
2017-10-23,8.32,8.44,8.2,8.22,1498490
2017-10-24,8.25,8.25,8.15,8.2,826280
2017-10-25,8.2,8.29,8.12,8.26,1275530
2017-10-26,8.26,8.32,8.16,8.2,757830
2017-10-27,8.18,8.26,8.17,8.23,738890
2017-10-30,8.23,8.42,8.23,8.28,1960480
2017-10-31,8.28,8.32,8.18,8.19,1027260
2017-11-01,8.18,8.24,8.09,8.12,994020
2017-11-02,8.1,8.18,7.57,7.59,2450520
2017-11-03,7.63,8.1,7.61,8.1,1257280
2017-11-06,8.1,8.1,7.96,8.04,490420
2017-11-07,8.02,8.02,7.94,7.96,579800
2017-11-08,7.96,8.12,7.89,8.1,826220
2017-11-09,8.12,8.12,7.96,8.0,537590
2017-11-10,7.99,8.0,7.96,7.97,503430
2017-11-13,7.98,7.98,7.77,7.79,734400
2017-11-14,7.79,7.94,7.79,7.87,777620
2017-11-15,7.91,7.95,7.81,7.92,775820
2017-11-16,7.92,8.14,7.87,7.96,916660
2017-11-17,8.02,8.06,7.95,7.96,561660
2017-11-20,7.98,7.98,7.87,7.88,629260
2017-11-21,7.86,7.93,7.8,7.85,1003180
2017-11-22,7.86,8.1,7.84,7.98,1542070
2017-11-23,8.1,8.24,7.88,8.06,1865520
2017-11-24,8.11,8.18,8.0,8.06,939760
2017-11-27,8.06,8.06,8.01,8.02,865430
2017-11-28,8.02,8.13,8.0,8.02,1532570
2017-11-29,8.02,8.15,8.02,8.08,1922690
2017-11-30,8.14,8.31,8.12,8.29,4526350
2017-12-01,8.38,8.38,8.28,8.29,3263090
2017-12-04,8.3,8.52,8.3,8.36,2860030
2017-12-05,8.4,8.45,8.2,8.27,3035500
2017-12-06,8.28,8.28,8.08,8.16,1964010
2017-12-07,8.16,8.18,7.98,7.98,1743680
2017-12-08,7.98,8.06,7.94,7.96,1251580
2017-12-11,7.86,7.95,7.76,7.76,1320400
2017-12-12,7.81,7.96,7.25,7.79,2982180
2017-12-13,7.79,7.8,7.63,7.63,1148350
2017-12-14,7.65,7.77,7.65,7.73,714430
2017-12-15,7.73,7.82,7.69,7.69,738630
2017-12-18,7.75,7.92,7.73,7.86,1219150
2017-12-19,7.95,7.95,7.75,7.9,1250790
2017-12-20,7.9,8.16,7.9,8.13,1292990
2017-12-21,8.14,8.24,8.13,8.15,1587340
