date,open,high,low,close,volume
2018-11-23,21.44,21.44,21.44,21.44,300
2018-11-26,24.64,24.64,24.64,24.64,27094
2018-11-27,26.13,28.33,25.9,28.33,537111
2018-11-28,27.93,28.27,27.05,27.84,222479
2018-11-29,27.03,27.7,27.03,27.61,73164
2018-11-30,27.34,28.38,27.25,28.15,231733
2018-12-03,28.15,29.71,27.86,29.68,319690
2018-12-04,29.5,29.5,28.49,28.56,68512
2018-12-05,28.49,28.56,28.15,28.27,52206
2018-12-06,28.38,28.4,28.15,28.22,37708
2018-12-07,28.6,28.87,28.15,28.72,80191
2018-12-10,29.28,29.28,28.49,28.6,20121
2018-12-11,29.05,29.05,28.42,28.56,30281
2018-12-12,28.49,29.05,28.47,28.83,83476
2018-12-13,28.83,28.94,28.56,28.83,76827
2018-12-14,28.6,28.63,28.38,28.6,44141
2018-12-17,28.38,28.38,28.15,28.36,78264
2018-12-18,28.15,28.36,27.93,28.15,103463
2018-12-19,28.15,28.15,27.59,27.7,48025
2018-12-20,27.79,28.83,27.79,28.6,120522
2018-12-21,28.6,28.99,28.42,28.99,228817
2018-12-24,28.78,28.83,28.27,28.69,57530
2018-12-25,28.24,28.58,28.15,28.58,40364
2018-12-26,28.38,28.51,28.2,28.22,25390
2018-12-27,28.31,28.96,28.31,28.83,157114
2018-12-28,28.94,29.35,28.72,29.35,195413
2019-01-02,29.12,29.84,24.78,29.62,194456
2019-01-03,29.5,29.5,29.28,29.28,69816
2019-01-04,29.08,29.39,29.05,29.28,44320
2019-01-07,29.28,29.66,29.28,29.66,60058
2019-01-08,29.5,29.55,29.28,29.32,34685
2019-01-09,29.28,29.5,29.05,29.5,47870
2019-01-10,29.37,31.08,29.35,30.56,197524
2019-01-11,31.31,31.64,30.74,31.64,137356
2019-01-14,31.76,32.64,31.53,32.54,139579
2019-01-15,32.32,32.32,27.48,31.98,241318
2019-01-16,31.98,34.01,31.98,33.99,85160
2019-01-17,33.33,35.59,33.33,34.91,178928
2019-01-18,33.78,35.59,33.78,34.91,137173
2019-01-21,34.89,34.89,33.45,34.19,101385
2019-01-22,34.89,34.89,34.24,34.55,152546
2019-01-23,34.89,34.89,34.24,34.57,34923
2019-01-24,34.44,35.14,34.44,34.91,91611
2019-01-25,34.91,34.96,34.46,34.91,55181
2019-01-28,34.91,34.96,34.46,34.8,42313
2019-01-29,34.46,34.84,34.24,34.84,16496
2019-01-30,34.91,34.91,34.66,34.89,31047
2019-01-31,34.91,37.55,34.91,37.16,120731
2019-02-01,36.49,37.84,36.49,37.82,9500
2019-02-11,37.84,39.42,37.82,39.39,20326
2019-02-12,38.29,39.24,36.94,37.84,143011
2019-02-13,37.16,38.31,36.71,38.06,23972
2019-02-14,37.95,38.47,37.95,38.47,16980
2019-02-15,38.4,38.74,38.06,38.09,35126
2019-02-18,38.47,38.49,37.39,38.18,44880
2019-02-19,37.88,38.51,37.88,38.33,50057
2019-02-20,38.29,38.74,38.29,38.29,46403
2019-02-21,38.29,39.64,38.29,38.96,83754
2019-02-22,39.42,39.46,38.74,38.94,15930
2019-02-25,39.08,39.08,37.84,38.18,31650
2019-02-26,38.13,39.19,38.09,39.19,40656
2019-02-27,39.42,39.42,38.74,38.74,9291
2019-02-28,38.96,38.96,38.29,38.96,15510
2019-03-01,38.94,39.19,38.85,39.19,29002
2019-03-04,39.19,39.64,39.19,39.42,65976
2019-03-05,39.42,39.75,39.42,39.68,38570
2019-03-06,39.64,41.06,33.67,40.99,58599
2019-03-07,41.1,42.68,41.1,42.12,145657
2019-03-08,42.12,42.34,41.78,42.12,43238
2019-03-11,42.79,43.36,41.67,43.0,55621
2019-03-12,42.79,44.62,42.66,44.37,123967
2019-03-13,44.6,45.27,43.99,44.57,121619
2019-03-14,44.37,44.48,43.47,43.99,70569
2019-03-15,43.92,44.14,43.69,43.92,63620
2019-03-18,43.9,44.03,43.47,43.92,33838
2019-03-19,43.92,44.37,43.47,43.92,41149
2019-03-20,43.99,44.14,43.6,43.99,17492
2019-03-21,43.99,44.32,43.92,44.26,22498
2019-03-22,44.37,44.37,43.92,44.26,15315
2019-03-25,43.92,45.07,43.67,44.37,67500
2019-03-26,44.14,44.37,43.96,44.06,9300
2019-03-27,44.82,44.82,43.92,44.03,31006
2019-03-28,43.96,44.37,43.96,44.26,14233
2019-03-29,44.1,44.82,44.1,44.6,75258
2019-04-01,44.93,44.93,43.92,44.26,34830
2019-04-02,44.32,44.37,37.7,42.79,146850
2019-04-03,42.75,43.02,39.66,40.14,172572
2019-04-04,39.86,42.12,39.8,41.89,120069
2019-04-05,41.26,41.64,40.09,40.77,53718
2019-04-08,40.77,40.77,39.84,40.54,49425
2019-04-09,40.32,40.43,39.89,39.98,61813
2019-04-10,40.09,41.37,39.86,40.77,53956
2019-04-11,41.22,41.33,40.99,41.22,22643
2019-04-12,41.28,42.5,41.28,42.34,118658
2019-04-16,42.34,42.79,42.34,42.48,94858
2019-04-17,42.57,43.02,42.55,42.79,121725
2019-04-18,42.82,42.84,42.79,42.79,41326
2019-04-19,41.67,42.79,41.67,42.34,29120
2019-04-22,42.57,42.79,42.34,42.34,34330
2019-04-23,42.41,42.5,42.12,42.5,18523
2019-04-24,42.34,42.52,42.34,42.46,42075
2019-04-25,42.12,43.22,42.12,43.22,27490
2019-04-26,42.79,44.03,42.34,43.69,18389
2019-05-02,43.69,43.69,43.4,43.4,54010
2019-05-03,43.02,43.24,42.82,43.22,3179
2019-05-06,42.57,42.82,42.34,42.82,30280
2019-05-07,42.75,43.02,42.68,42.79,29920
2019-05-08,42.57,42.57,42.0,42.34,6700
2019-05-09,42.32,42.57,42.32,42.34,8920
2019-05-10,42.39,42.39,41.94,42.12,31578
2019-05-13,40.99,42.7,40.99,42.66,17380
2019-05-14,42.75,42.75,42.03,42.55,26190
2019-05-15,42.39,42.41,42.12,42.39,7158
2019-05-16,42.68,43.9,42.39,42.77,41336
2019-05-17,42.79,42.79,40.32,42.12,36325
2019-05-20,41.67,42.34,41.62,42.34,8716
2019-05-21,42.16,42.5,41.69,42.25,50433
2019-05-22,41.82,41.96,41.82,41.82,20640
2019-05-23,42.1,42.1,41.24,41.44,18382
2019-05-24,42.12,42.12,41.22,41.67,31220
2019-05-27,42.55,42.55,41.33,41.33,27372
2019-05-28,41.67,42.12,41.49,41.94,20780
2019-05-29,41.67,41.89,41.56,41.89,44832
2019-05-30,41.67,41.96,41.67,41.96,50027
2019-05-31,42.55,42.55,42.25,42.28,24982
2019-06-03,42.23,42.79,42.23,42.68,114788
2019-06-04,43.0,44.12,42.64,42.64,94500
2019-06-05,43.13,43.16,42.68,43.0,21850
2019-06-06,42.9,46.5,42.9,46.05,185316
2019-06-07,46.5,47.81,45.56,47.81,79602
2019-06-10,51.34,51.34,47.2,47.2,47864
2019-06-11,47.56,48.1,46.05,47.94,102820
2019-06-12,47.97,48.29,47.81,48.13,130885
2019-06-13,48.13,48.77,48.13,48.52,153901
2019-06-14,48.13,48.42,47.17,47.17,53763
2019-06-17,47.65,47.65,46.53,47.27,79041
2019-06-18,47.17,47.49,46.91,47.33,142021
2019-06-19,48.39,48.39,47.17,47.43,25157
2019-06-20,47.33,47.33,46.69,46.85,56445
2019-06-21,47.17,47.17,46.21,46.46,33319
2019-06-24,46.59,46.59,45.73,45.89,43533
2019-06-25,46.14,46.37,44.92,44.92,59523
2019-06-26,44.92,45.15,44.28,44.92,77550
2019-06-27,44.92,45.85,44.92,45.56,89553
2019-06-28,45.73,45.73,45.08,45.08,20200
2019-07-01,45.4,45.4,43.83,44.12,58158
2019-07-02,43.96,44.28,42.93,43.19,107029
2019-07-03,43.38,43.96,43.19,43.51,75730
2019-07-04,43.58,44.92,43.48,44.57,88474
2019-07-05,44.6,44.6,44.22,44.28,26234
2019-07-08,44.12,44.28,43.35,43.48,31008
2019-07-09,44.28,44.44,43.42,44.15,52832
2019-07-10,44.6,45.24,44.12,45.24,93131
2019-07-11,45.24,45.56,44.92,44.96,57575
2019-07-12,44.96,45.08,44.44,44.96,62675
2019-07-15,44.6,44.89,43.96,44.89,42882
2019-07-16,44.6,46.37,44.6,45.56,110658
2019-07-17,45.56,46.14,45.56,46.14,77616
2019-07-18,45.89,45.89,45.34,45.53,25104
2019-07-19,45.73,45.85,44.96,45.66,64114
2019-07-22,45.66,47.49,44.92,47.17,188688
2019-07-23,47.17,47.27,46.88,47.14,31740
2019-07-24,47.07,47.07,46.43,46.43,28576
2019-07-25,46.43,47.17,46.27,46.53,38344
2019-07-26,46.56,46.56,45.6,46.05,34337
2019-07-29,45.92,46.21,44.6,44.99,135191
2019-07-30,45.12,45.73,44.96,45.15,36181
2019-07-31,45.24,45.5,44.6,45.02,35338
2019-08-01,45.05,45.4,44.92,45.05,37018
2019-08-02,45.24,46.69,44.92,46.34,154138
2019-08-05,46.37,47.94,46.37,47.65,264454
2019-08-06,47.46,48.1,46.56,46.91,139366
2019-08-07,46.78,47.43,46.3,46.37,79962
2019-08-08,46.69,46.85,44.8,45.05,246540
2019-08-09,45.05,45.4,44.76,45.02,90172
2019-08-12,45.02,45.34,44.38,44.41,88603
2019-08-13,44.38,44.38,43.29,43.48,212637
2019-08-14,43.54,44.92,43.48,44.83,87326
2019-08-15,44.83,45.37,43.64,45.37,47890
2019-08-16,44.89,45.24,44.64,44.92,71230
2019-08-19,44.67,45.02,44.28,45.02,45507
2019-08-20,44.8,45.21,44.44,45.21,20518
2019-08-21,44.7,45.18,44.6,44.92,55384
2019-08-22,44.76,44.76,43.96,44.22,76567
2019-08-23,44.28,44.6,44.22,44.47,35839
2019-08-26,43.96,44.28,43.9,44.28,89652
2019-08-27,44.09,44.09,43.67,43.8,130864
2019-08-28,43.8,44.25,43.48,43.8,67446
2019-08-29,44.64,44.64,43.54,43.96,50990
2019-08-30,43.7,43.8,43.64,43.8,22507
2019-09-03,43.8,43.93,43.7,43.8,58926
2019-09-04,43.77,43.77,43.16,43.29,50771
2019-09-05,43.48,43.48,40.43,41.07,183536
2019-09-06,41.07,42.36,40.43,41.39,88739
2019-09-09,41.68,41.81,41.23,41.68,54204
2019-09-10,41.55,42.36,41.49,42.36,31683
2019-09-11,42.04,42.68,42.04,42.68,26438
2019-09-12,42.68,43.0,42.32,43.0,34762
2019-09-13,43.32,43.32,42.2,42.36,8654
2019-09-16,41.72,42.68,41.72,42.68,28101
2019-09-17,42.36,42.64,42.2,42.39,37253
2019-09-18,42.39,42.68,42.2,42.41,15473
2019-09-19,41.72,42.42,41.72,41.97,48979
2019-09-20,42.1,42.2,41.72,41.88,92122
