date,equity
2016-07-14,100000000.0
2016-11-09,99833820.0
2016-11-16,99770430.0
2017-09-19,102243452.0
2017-10-24,102286226.0
2017-12-15,102262262.0
2018-02-06,102028427.0
2018-03-29,101947763.0
2018-04-23,101673203.0
2019-11-20,101597969.0
2020-02-24,101185134.0
2021-03-17,104370828.0
2021-08-25,103987457.0
2022-02-18,103946017.0
2023-02-14,103913520.0
2023-05-30,103897661.0
2023-09-05,104094775.0
2024-04-08,104352685.0
2024-05-20,104489590.0
2024-06-28,104345253.0
2024-08-05,104190209.0
2024-10-03,104120432.0
2024-10-24,103979894.0
2024-12-02,104021398.0
2025-03-13,103966636.0
2025-04-03,103658634.0
2025-07-17,103617011.0
2025-10-23,103978123.0
2026-02-03,103945776.0
2026-02-06,103845397.0
