date,equity
2016-09-14,100000000.0
2016-10-04,100871844.0
2016-10-19,101413713.0
2016-11-17,100936806.0
2017-08-28,99855493.0
2017-11-22,100679098.0
2017-12-08,100554807.0
2019-03-25,99975371.0
2019-08-02,99874545.0
2020-06-15,99956046.0
2021-03-08,101238811.0
2021-11-19,100992723.0
2022-04-29,100981196.0
2022-08-12,101216375.0
2022-09-05,101198555.0
2023-05-30,102896652.0
2023-06-01,102807430.0
2023-06-05,102720984.0
2023-06-07,102697283.0
2023-06-13,102766466.0
2023-06-15,102824313.0
2023-06-20,102864537.0
2023-06-22,102781597.0
2023-06-26,102954185.0
2023-06-28,102912520.0
2023-06-30,103040586.0
2023-07-04,102982361.0
2023-07-06,102993552.0
2023-07-10,102969588.0
2023-07-12,102945624.0
2023-07-17,102921660.0
2023-07-19,103174488.0
2023-07-21,103076451.0
2023-07-25,103091531.0
2023-07-27,102738787.0
2023-07-31,102714823.0
2023-08-02,102649715.0
2023-08-04,102554439.0
2023-12-29,102387784.0
2024-01-08,102455709.0
2024-01-10,102405425.0
2024-01-12,102369852.0
2024-01-16,102379667.0
2024-01-18,102331616.0
2024-01-22,102631359.0
2024-01-24,102287746.0
2024-01-26,102286578.0
2024-01-30,102266286.0
2024-02-15,102167325.0
2024-02-19,102071980.0
2024-02-29,102170895.0
2024-03-05,102216659.0
2024-03-07,102279887.0
2024-03-11,102241600.0
2024-03-13,102220919.0
2024-03-15,102179865.0
2024-03-19,102195191.0
2024-03-21,102196620.0
2024-04-22,102202256.0
2024-05-23,102265656.0
2024-10-14,102641915.0
2025-04-08,102000099.0
2025-05-27,101856545.0
2026-02-11,102549730.0
