date,equity
2016-10-12,100000000.0
2016-12-02,99740937.0
2017-03-01,100001593.0
2017-11-15,100775011.0
2018-03-16,99517386.0
2018-07-19,99546797.0
2018-08-21,99497179.0
2018-09-18,99460985.0
2018-10-12,99199825.0
2019-01-14,99091435.0
2019-04-19,99097434.0
2020-11-20,98981599.0
2021-01-06,99219418.0
2021-01-18,99238828.0
2021-01-20,99196891.0
2021-01-22,99167841.0
2021-01-26,99079604.0
2021-01-28,98777234.0
2021-02-01,98479108.0
2021-09-01,98770675.0
2021-11-05,98871353.0
2022-08-10,98225840.0
2022-08-29,98150845.0
2023-06-12,98250394.0
2024-03-01,99632102.0
2024-06-04,99602850.0
2024-06-06,99578886.0
2024-06-10,99653127.0
2024-06-12,99618165.0
2024-06-14,99550898.0
2024-06-18,99698293.0
2024-06-20,99674087.0
2024-06-25,99594054.0
2024-06-28,99427705.0
2024-10-29,99334992.0
2024-11-07,99387013.0
2024-11-12,99431844.0
2024-11-14,98974096.0
2024-11-19,98889798.0
2025-01-02,98959235.0
2025-01-20,98891814.0
2025-01-22,98851663.0
2025-01-24,98819842.0
2025-02-04,99073489.0
2025-02-06,99149089.0
2025-02-10,99110658.0
2025-02-12,99119945.0
2025-02-17,98944363.0
2025-02-19,98973412.0
2025-02-21,99198562.0
2025-02-25,99191687.0
2025-02-28,99099457.0
2025-03-12,98966807.0
2025-03-14,98853623.0
2025-03-28,98728743.0
2025-04-01,98728176.0
2025-06-25,98702337.0
2025-07-16,98745272.0
2025-10-10,98795113.0
2025-10-14,98678155.0
2025-10-30,98650316.0
2025-11-07,98350591.0
2025-11-11,98379022.0
2025-11-13,98327956.0
