date,equity
2018-08-20,100000000.0
2018-10-16,99338137.0
2019-04-02,98931217.0
2019-12-18,102396666.0
2020-10-26,103181138.0
2021-08-09,107165382.0
2021-08-11,107081925.0
2021-08-16,107072379.0
2021-08-19,107168925.0
2021-08-23,107054649.0
2021-08-25,107172925.0
2021-08-27,107198670.0
2021-10-11,107165321.0
2021-10-25,107003292.0
2021-10-27,106993552.0
2021-10-29,107019218.0
2021-11-02,107012862.0
2021-11-08,106926632.0
2021-11-10,106835659.0
2021-11-12,106713114.0
2022-03-17,106706972.0
2022-04-06,106675760.0
2022-04-08,106586524.0
2022-04-13,106745288.0
2022-04-15,106772613.0
2022-04-19,106850611.0
2022-04-21,106679861.0
2022-04-27,106820934.0
2022-08-22,106802798.0
2022-08-31,106850701.0
2023-02-01,106762746.0
2023-02-15,106738782.0
2023-02-17,106666904.0
2023-02-27,106545002.0
2023-04-19,106483717.0
2023-04-25,106632255.0
2023-05-05,106665011.0
2023-05-09,106652879.0
2023-05-15,106628915.0
2023-05-22,106742664.0
2023-06-01,106820133.0
2023-06-05,106742192.0
2023-06-07,106709635.0
2023-06-09,106696634.0
2023-06-13,106800888.0
2023-06-15,106820948.0
2023-06-19,106720039.0
2023-06-21,106679189.0
2023-06-23,106773974.0
2023-06-30,106744588.0
2023-07-04,106816540.0
2023-07-11,106740395.0
2023-07-13,106679423.0
2023-07-17,106592251.0
2023-07-19,106499388.0
2023-07-21,106470258.0
2023-07-25,106381053.0
2023-07-27,106329707.0
2023-07-31,106338730.0
2023-08-14,106276897.0
2023-08-16,106307697.0
2023-08-31,106293456.0
2023-09-08,106368977.0
2023-09-18,106340118.0
2023-09-20,106399214.0
2023-09-26,106396370.0
2023-09-28,106403743.0
2023-11-28,106450430.0
2023-11-30,106483198.0
2023-12-04,106467673.0
2023-12-06,106355137.0
2023-12-08,106331173.0
2023-12-12,106421298.0
2023-12-14,106316926.0
2023-12-18,106247811.0
2023-12-20,106223847.0
2024-01-09,106165895.0
2024-01-11,106207829.0
2024-01-15,106127026.0
2024-01-17,106072218.0
2024-02-15,106015035.0
2024-02-20,105971000.0
2024-02-22,106084079.0
2024-02-26,106218260.0
2024-02-28,106206110.0
2024-03-04,106148047.0
2024-03-06,106124083.0
2024-11-22,106665680.0
2025-02-28,106302727.0
2025-06-18,106247231.0
2026-01-27,106311383.0
2026-01-29,106258594.0
2026-02-04,106234630.0
2026-02-09,106229759.0
2026-03-03,106053643.0
2026-03-23,105974926.0
