date,equity
2016-07-14,100000000.0
2016-12-21,99956093.0
2017-03-15,99808846.0
2017-05-22,99502968.0
2018-02-05,99391003.0
2019-06-12,98644745.0
2019-09-17,98635893.0
2020-06-16,99132309.0
2020-07-03,98851044.0
2021-03-25,102796229.0
2021-12-14,107972335.0
2022-01-25,106842017.0
2022-03-28,107637477.0
2022-12-13,106208787.0
2023-07-26,106551400.0
2023-08-18,106044548.0
2024-05-15,106938702.0
2024-06-10,106951759.0
2025-02-28,106725184.0
2025-06-27,107005669.0
2025-08-04,107054207.0
2025-08-22,106458143.0
2026-02-09,107017753.0
2026-03-27,107063105.0
