date,equity
2016-09-14,100000000.0
2017-08-08,104090806.0
2018-05-08,107122945.0
2018-10-04,107089941.0
2019-02-22,107188658.0
2019-03-27,106968627.0
2020-06-11,106594710.0
2020-06-23,106671632.0
2020-08-06,106295370.0
2020-09-09,106443332.0
2020-10-08,108004858.0
2021-07-02,111184785.0
2021-08-27,111126166.0
2022-05-27,116136930.0
2023-05-30,116104199.0
2024-03-01,117334368.0
2024-04-19,116770368.0
2025-04-01,116565403.0
2025-08-12,116807709.0
2025-08-27,116448447.0
2025-09-25,116783446.0
2025-11-17,116489956.0
