date,equity
2016-07-14,100000000.0
2016-12-09,99868413.0
2017-03-01,100556858.0
2017-11-16,101744048.0
2018-01-29,103210293.0
2018-10-22,103336072.0
2019-03-22,103073495.0
2019-10-14,102809527.0
2020-06-19,103016620.0
2020-07-23,101827419.0
2020-11-06,102303843.0
2021-08-06,105210977.0
2021-11-10,107468148.0
2021-11-25,108010627.0
2022-08-19,107778584.0
2022-09-08,107169343.0
2023-06-12,105445554.0
2023-07-25,105650630.0
2023-08-17,106185402.0
2024-05-15,105969108.0
2025-06-16,106956306.0
2026-03-09,106192645.0
