date,equity
2016-09-22,100000000.0
2017-02-24,100136635.0
2017-04-05,100032187.0
2017-04-25,99996289.0
2017-08-21,100548480.0
2017-09-21,100711527.0
2017-12-11,100385296.0
2018-01-10,100939507.0
2018-10-11,100638364.0
2019-07-19,101129908.0
2019-10-24,102003468.0
2019-11-15,101911135.0
2020-06-11,101616621.0
2021-03-16,103248887.0
2021-08-17,103917067.0
2021-11-03,103965413.0
2022-04-26,103976353.0
2022-05-09,103552233.0
2023-04-11,103609618.0
2023-09-05,104965215.0
2023-09-29,104890318.0
2024-10-31,106858928.0
2024-11-19,106698856.0
2025-01-14,106557874.0
