date,equity
2016-09-14,100000000.0
2016-11-11,99823836.0
2016-11-29,99634095.0
2018-04-16,104228393.0
2018-04-26,103949107.0
2018-09-25,104230514.0
2018-10-18,104128032.0
2019-06-03,103701443.0
2019-11-19,103916628.0
2020-10-26,103733644.0
2021-01-27,103381514.0
2021-12-03,102840568.0
2022-03-14,102222320.0
2022-03-17,102081637.0
2022-09-08,102050459.0
2023-08-03,102210169.0
2023-10-05,102112053.0
2024-04-15,101819694.0
2024-09-13,101678660.0
2025-08-22,101614082.0
2025-09-11,101596551.0
2025-12-11,101485480.0
2026-04-10,100788958.0
