date,equity
2016-11-23,100000000.0
2017-10-27,102441292.0
2018-03-13,104065067.0
2018-04-19,103553986.0
2019-03-21,103276733.0
2019-12-20,102814847.0
2020-07-27,102016963.0
2020-12-18,103763413.0
2021-01-28,103467310.0
2021-06-10,103440498.0
2021-08-27,103508027.0
2021-10-01,103165104.0
2021-12-03,102874975.0
2022-09-07,102329347.0
2023-06-05,102255201.0
2023-08-29,102729716.0
2023-09-22,102384914.0
2024-04-12,103163600.0
2024-10-18,103114000.0
2024-10-22,103003162.0
2025-03-10,103062566.0
2025-03-27,102881841.0
2025-08-25,102445991.0
2025-09-22,101932622.0
