date,equity
2016-07-14,100000000.0
2017-04-12,101547112.0
2017-05-24,101433664.0
2017-06-23,101908414.0
2017-07-20,101731294.0
2017-08-21,101893469.0
2017-08-29,102014881.0
2017-09-14,101973826.0
2018-04-12,102608903.0
2019-03-20,102636715.0
2020-06-15,102594630.0
2020-12-25,104666288.0
2021-01-27,104265817.0
2021-07-15,104620237.0
2021-11-11,104400355.0
2022-03-14,104052693.0
2023-09-19,104459443.0
2024-03-12,104475951.0
2024-04-15,104277243.0
2024-05-17,104830855.0
2024-07-03,104738235.0
2025-09-03,105162841.0
2025-10-03,105033717.0
2026-02-11,105054748.0
