date,equity
2016-10-31,100000000.0
2017-10-31,99965009.0
2018-02-07,99624995.0
2018-08-29,99255843.0
2019-06-05,97721672.0
2020-06-12,100034215.0
2021-03-03,103185397.0
2021-11-18,103940028.0
2021-11-26,103981286.0
2021-11-30,103713059.0
2021-12-02,103598208.0
2021-12-06,103581095.0
2022-04-13,103461795.0
2022-06-16,103501446.0
2022-07-04,103403837.0
2022-07-07,103406622.0
2022-07-11,103376195.0
2022-07-21,103390805.0
2022-07-29,103453273.0
2022-08-09,103429309.0
2022-08-11,103388056.0
2022-08-15,103364092.0
2022-08-17,103316664.0
2022-08-19,103298298.0
2022-08-23,103274334.0
2022-08-25,103250370.0
2022-12-28,103386063.0
2022-12-30,103362099.0
2023-01-04,103338135.0
2023-01-06,103296198.0
2023-01-10,103147775.0
2023-01-12,103123811.0
2023-01-16,103035610.0
2023-04-20,103037301.0
2023-04-24,103013337.0
2023-04-27,102989373.0
2023-05-09,102965409.0
2023-05-11,102953775.0
2023-05-22,102916853.0
2023-08-07,102929995.0
2023-08-14,102856207.0
2023-08-16,102845490.0
2023-08-18,102802893.0
2023-09-06,102778929.0
2023-09-08,102761425.0
2023-09-12,102725974.0
2023-09-14,102695561.0
2023-09-18,102653623.0
2023-09-20,102629659.0
2023-09-22,102592737.0
2023-09-26,102568773.0
2024-01-26,102557493.0
2024-02-23,102553177.0
2024-03-06,102529213.0
2024-05-21,102498921.0
2024-05-23,102510383.0
2024-05-27,102468446.0
2024-05-29,102444482.0
2024-05-31,102402826.0
2024-06-05,102415452.0
2024-06-07,102397148.0
2024-06-11,102355491.0
2024-06-13,102136589.0
2024-06-17,102053687.0
2024-06-19,101950110.0
2024-12-20,101919259.0
2024-12-24,101848536.0
2025-01-23,101824572.0
2025-02-13,101820822.0
2025-02-20,101803152.0
2025-02-24,101785482.0
2025-07-07,101725840.0
2026-01-27,101640711.0
