date,equity
2016-07-14,100000000.0
2017-05-09,101515070.0
2017-05-19,101390929.0
2017-06-13,101318649.0
2017-07-20,101339703.0
2017-07-28,101344475.0
2017-08-24,101320511.0
2018-02-13,101963807.0
2018-04-17,102134970.0
2018-10-23,101813592.0
2019-05-10,101534035.0
2019-10-07,101771473.0
2020-03-09,101428726.0
2021-07-28,104228482.0
2021-08-23,103834031.0
2021-08-26,103784229.0
2021-11-22,103344558.0
2021-12-06,103015719.0
2022-01-17,102674659.0
2023-08-18,102356004.0
2024-11-13,102849571.0
2025-01-09,102843766.0
2025-03-11,102724713.0
2025-09-17,102348596.0
2025-11-10,102355986.0
