date,equity
2016-07-14,100000000.0
2016-10-25,99717051.0
2017-02-14,99602796.0
2017-04-18,99575849.0
2018-01-11,103632339.0
2018-01-25,103810824.0
2018-01-29,103664359.0
2018-01-31,103697235.0
2018-02-02,103572172.0
2018-02-06,103609140.0
2018-02-08,103681114.0
2018-02-28,103560893.0
2018-04-04,103431234.0
2018-04-06,103308965.0
2018-04-10,103210587.0
2018-04-12,103349135.0
2018-04-16,103395182.0
2018-08-21,103389261.0
2018-08-30,103627813.0
2018-09-07,103612145.0
2018-09-13,103579689.0
2018-10-09,103475810.0
2019-02-28,103407559.0
2019-03-14,103365921.0
2019-05-09,103337479.0
2019-05-28,103250131.0
2021-01-15,105705724.0
2021-01-19,105505563.0
2021-01-21,105508317.0
2021-01-28,105206278.0
2021-02-01,105019283.0
2021-02-18,105129409.0
2021-04-20,105045585.0
2021-04-29,104981879.0
2021-05-27,104719205.0
2021-06-01,104480416.0
2021-07-05,104376083.0
2021-07-07,104608041.0
2021-08-30,104479017.0
2022-05-13,103905818.0
2022-09-22,103789907.0
2022-12-07,103576322.0
2023-01-11,103577402.0
2023-02-02,103616180.0
2023-07-03,103602807.0
2023-07-20,103514775.0
2023-07-28,103580667.0
2023-08-04,103565953.0
2023-08-14,103433602.0
2024-02-26,103391665.0
2024-03-12,103457628.0
2024-03-14,103335221.0
2024-03-20,103306112.0
2024-06-07,103219562.0
2024-06-11,103128456.0
2024-06-13,103145438.0
2024-06-17,103029581.0
2024-06-19,102974262.0
2024-10-17,102988644.0
2024-10-24,102919543.0
2024-10-28,102931686.0
2024-10-30,102912827.0
2025-03-20,102883050.0
2025-07-14,102796622.0
2025-07-25,102762179.0
2025-07-30,102797456.0
2025-08-04,102850387.0
2025-08-12,102904121.0
2025-08-14,102829164.0
2025-08-18,102865092.0
2025-08-20,102789595.0
2025-08-22,102609751.0
2025-08-26,102708062.0
2025-08-28,102727696.0
2025-09-03,102703732.0
2025-09-05,102595244.0
2025-09-09,102571280.0
2025-09-11,102596477.0
2025-10-20,102296485.0
2025-10-24,102328534.0
2026-02-05,102008529.0
