date,equity
2016-07-14,100000000.0
2017-04-11,101199823.0
2018-02-01,103132317.0
2018-07-10,102603829.0
2018-08-20,102827803.0
2019-07-05,102960591.0
2019-07-22,103820164.0
2020-04-10,102435633.0
2020-06-19,102341242.0
2020-09-30,102725487.0
2020-10-16,102868958.0
2021-07-09,105443747.0
2022-03-31,106385168.0
2022-04-12,106468634.0
2022-04-14,106573998.0
2022-04-18,106550034.0
2022-04-20,106526070.0
2022-04-22,106510083.0
2022-04-26,106593402.0
2022-04-28,106509896.0
2022-05-11,106511310.0
2022-06-23,106641045.0
2022-09-19,106534300.0
2022-09-22,106516208.0
2023-07-11,106906071.0
2023-07-27,107306879.0
2023-08-11,107195505.0
2024-05-08,107783249.0
2024-05-13,107669945.0
2024-05-15,107692048.0
2024-05-17,107648370.0
2024-05-21,107664623.0
2024-05-23,107706070.0
2024-05-27,107606425.0
2024-05-29,107517583.0
2024-05-31,107544188.0
2024-06-04,107508136.0
2024-06-06,107477606.0
2024-06-10,107511333.0
2024-06-12,107557952.0
2024-06-14,107472275.0
2024-06-18,107460788.0
2024-06-20,107441363.0
2024-06-26,107456142.0
2024-07-08,107608665.0
2024-07-10,107400583.0
2024-07-12,107376619.0
2024-07-16,107340091.0
2024-07-18,107410271.0
2024-07-22,107367835.0
2024-07-25,107317556.0
2024-08-16,107480528.0
2025-03-18,107443533.0
2025-03-25,107432968.0
2025-12-26,110070058.0
2026-02-06,109966629.0
2026-02-26,109968356.0
