date,equity
2016-09-14,100000000.0
2016-10-05,99976036.0
2016-12-08,99976036.0
2017-03-28,100235210.0
2017-04-13,100946954.0
2017-04-28,100285730.0
2018-01-12,101492170.0
2018-02-06,100831469.0
2018-10-30,100990328.0
2019-03-27,100801427.0
2019-05-23,101078418.0
2019-06-10,100944663.0
2020-03-03,100752966.0
2020-05-25,100651608.0
2020-06-23,100643840.0
2020-07-09,100798766.0
2021-05-07,105138807.0
2021-05-17,104895245.0
2022-02-16,107261844.0
2023-03-06,106937044.0
2023-05-05,107404561.0
2024-01-18,108040735.0
2024-02-28,107969185.0
2024-04-05,108226591.0
2025-02-26,107291474.0
2026-01-07,108163548.0
