date,equity
2016-07-14,100000000.0
2017-05-25,103205022.0
2017-06-20,103186796.0
2017-09-18,103368799.0
2017-12-26,103993868.0
2018-02-05,103692175.0
2019-03-21,103285040.0
2019-04-22,103123765.0
2019-05-31,103224105.0
2019-07-05,103483993.0
2019-08-19,103521886.0
2019-10-23,103497922.0
2020-03-10,103473958.0
2020-03-12,103449994.0
2020-06-11,103304666.0
2020-11-26,105209183.0
2021-03-17,107229222.0
2021-06-25,110059129.0
2021-11-10,109867706.0
2023-06-29,109672531.0
2023-08-03,110708189.0
2026-01-09,109927077.0
