date,equity
2016-12-07,100000000.0
2017-01-19,100414259.0
2017-02-14,100964587.0
2017-03-01,100586955.0
2017-11-23,101920069.0
2018-08-29,101686063.0
2018-10-09,101760562.0
2019-03-07,101771488.0
2019-12-04,102095423.0
2020-06-11,101891202.0
2020-08-06,102121212.0
2020-09-07,102326399.0
2021-05-31,104633780.0
2022-02-18,105692605.0
2022-03-24,106426575.0
2022-12-14,107158208.0
2023-06-23,107198384.0
2023-07-13,107310957.0
2023-07-28,107408142.0
2024-04-19,106904424.0
2025-01-21,107478218.0
2025-02-03,107472403.0
2025-02-26,107410969.0
2025-03-04,107414573.0
2025-03-06,107423082.0
2025-03-10,107491192.0
2025-03-12,107375005.0
2025-03-14,107278839.0
2025-03-18,107283144.0
2025-03-20,107338861.0
2025-04-02,107247938.0
2025-06-26,107253564.0
2025-06-30,107277098.0
2025-07-02,107182401.0
2025-07-04,107140293.0
2025-07-08,107176571.0
2025-07-29,106997750.0
2025-07-31,106944325.0
2025-08-04,106999433.0
2025-08-20,106975469.0
2026-03-26,106996436.0
2026-04-01,106908527.0
2026-04-06,106884563.0
