date,equity
2017-09-25,100000000.0
2017-10-20,99757568.0
2017-11-15,99597124.0
2017-12-05,99697567.0
2017-12-20,98939046.0
2017-12-25,99130609.0
2018-10-09,99106645.0
2018-11-28,99214492.0
2018-11-30,99190528.0
2018-12-04,99065562.0
2018-12-07,99046763.0
2018-12-11,99102972.0
2018-12-13,99034880.0
2018-12-17,99010915.0
2018-12-19,98980582.0
2018-12-21,98956618.0
2018-12-25,98932654.0
2019-01-07,98921806.0
2019-03-18,98761267.0
2019-05-30,98786323.0
2019-09-04,98710189.0
2020-05-15,98686225.0
2020-05-20,98673726.0
2020-06-02,98768324.0
2020-06-15,98605571.0
2020-07-24,98439036.0
2020-09-16,98415072.0
2020-09-18,98403791.0
2020-09-22,98359070.0
2020-09-24,98272289.0
2020-09-28,98269415.0
2020-09-30,98208985.0
2020-10-16,98153340.0
2020-10-21,98131612.0
2020-12-07,98206297.0
2020-12-09,97978496.0
2020-12-11,98168845.0
2020-12-16,98146945.0
2020-12-18,98199758.0
2020-12-22,98165523.0
2021-01-21,98127315.0
2021-07-01,98070213.0
2021-09-30,98035852.0
2021-10-15,98081301.0
2021-11-04,98039035.0
2021-11-15,97968865.0
2021-11-18,97891114.0
2022-02-24,97864780.0
2022-04-05,97834229.0
2022-04-14,97893186.0
2022-04-28,97775423.0
2022-05-05,97894742.0
2022-08-04,97768405.0
2022-08-09,97726816.0
2022-08-11,97702852.0
2022-08-15,97765978.0
2022-08-17,97752620.0
2022-08-19,97759569.0
2022-08-23,97494108.0
2022-08-25,97470830.0
2022-08-29,97446866.0
2022-08-31,97422902.0
2022-09-06,97411665.0
2022-09-08,97466186.0
2022-09-12,97466914.0
2022-09-14,97297323.0
2022-09-16,97273359.0
2022-09-20,97296742.0
2022-11-21,97348436.0
2023-03-20,97262356.0
2023-03-22,97270980.0
2023-09-21,97222353.0
2024-06-12,97625817.0
2024-10-17,97637278.0
2025-07-08,97639177.0
2025-08-12,97635948.0
2025-12-10,98040544.0
2025-12-26,97824248.0
2026-02-23,97624949.0
