date,equity
2017-01-13,100000000.0
2017-03-09,99976036.0
2017-04-28,101852411.0
2018-01-12,103635274.0
2018-10-12,102532167.0
2019-03-14,102773672.0
2019-04-01,102595962.0
2019-10-23,102571998.0
2019-11-18,102419581.0
2020-10-07,108344090.0
2020-10-22,108440145.0
2021-07-15,111690257.0
2021-12-29,111321542.0
2022-09-20,109947945.0
2023-01-04,109831946.0
2023-12-22,110159339.0
2024-02-02,110097405.0
2024-10-29,109807350.0
2025-03-03,109783386.0
2025-03-18,110409647.0
2025-04-18,111023657.0
2026-01-08,112893851.0
