date,equity
2020-03-27,100000000.0
2021-06-24,104588174.0
2022-08-03,103893828.0
2022-08-24,104050358.0
2022-09-26,102425553.0
2023-10-30,103363187.0
2024-09-27,105492428.0
2024-11-12,105444204.0
2024-11-20,105447072.0
2024-12-03,105496067.0
2024-12-05,105486268.0
2024-12-09,105444331.0
2024-12-11,105439725.0
2024-12-13,105363380.0
2024-12-17,105329977.0
2024-12-19,105230026.0
2024-12-23,105122751.0
2024-12-25,105141084.0
2024-12-27,105028040.0
2024-12-31,104994035.0
2025-01-03,104931071.0
2025-02-26,104749534.0
2025-02-28,104747395.0
2025-03-04,104714760.0
2025-03-06,104748468.0
2025-03-10,104823179.0
2025-03-12,104777235.0
2025-03-14,104805989.0
2025-03-18,104702870.0
2025-03-20,104806732.0
2025-03-24,104769197.0
2025-04-01,104735959.0
2025-04-03,104208421.0
2025-04-18,104347926.0
2025-07-31,104451914.0
2025-08-18,104427950.0
2025-08-20,104311541.0
2025-09-10,104239974.0
2026-01-29,104327787.0
2026-02-06,104007107.0
2026-02-10,103674813.0
2026-04-06,103751406.0
