date,equity
2016-09-14,100000000.0
2017-02-03,100109627.0
2017-02-21,99997445.0
2017-07-10,99911598.0
2017-11-03,100179473.0
2018-07-31,101655697.0
2019-02-25,101857950.0
2019-03-13,102047282.0
2019-12-02,102961401.0
2020-02-27,102717710.0
2020-06-19,102533263.0
2021-03-16,103138682.0
2022-01-11,103255977.0
2022-10-18,102063782.0
2023-01-03,101927378.0
2023-01-18,102249641.0
2023-02-09,102207704.0
2023-02-13,102141043.0
2023-10-31,102546431.0
2023-11-22,102527314.0
2024-01-25,102498743.0
2024-02-05,102461499.0
2024-03-06,102427253.0
2024-03-08,102373871.0
2024-03-15,102307619.0
2024-03-20,102313473.0
2024-03-22,102339899.0
2024-08-27,102293776.0
2024-10-14,102265880.0
2024-10-17,102272718.0
2024-10-24,102246838.0
2024-10-28,102232019.0
2024-11-04,102165727.0
2024-11-07,102138091.0
2024-11-11,102105673.0
2024-11-13,102107808.0
2024-11-15,102070809.0
2024-11-20,102060170.0
2025-03-19,101955261.0
2025-03-21,101883299.0
2025-03-25,101809720.0
2025-03-27,101767484.0
2025-03-31,101694657.0
2025-04-02,101689336.0
2025-04-14,101632529.0
2025-07-16,101636287.0
2025-07-18,101592993.0
2025-08-04,101628949.0
2025-08-21,101681330.0
2025-09-04,101770421.0
2025-09-09,101721907.0
2025-09-11,101691852.0
2025-09-15,101667888.0
2025-09-17,101595049.0
2025-09-19,101514638.0
2025-10-15,101452810.0
2026-01-26,101486893.0
2026-01-28,101406526.0
2026-01-30,101422497.0
2026-02-03,101415241.0
2026-02-05,101256292.0
2026-02-09,101226211.0
