date,equity
2016-10-05,100000000.0
2017-05-03,99777507.0
2017-07-18,99545645.0
2017-12-20,100155714.0
2018-01-17,99950144.0
2018-02-05,99410151.0
2019-07-29,99239277.0
2019-11-22,99142607.0
2020-07-27,98850024.0
2020-08-31,99403125.0
2020-10-05,99294256.0
2020-12-01,99202545.0
2020-12-10,99139845.0
2021-01-14,99332127.0
2021-02-23,100775229.0
2021-03-08,100634717.0
2021-03-11,100634580.0
2021-05-07,100546717.0
2021-09-13,100249903.0
2021-09-21,100144701.0
2021-11-26,99919546.0
2022-09-27,99124821.0
2023-08-18,98772048.0
2024-04-15,98501070.0
2025-04-03,98054272.0
2025-10-03,97351833.0
2026-03-04,97104204.0
