date,equity
2017-12-08,100000000.0
2018-09-10,101379553.0
2019-06-11,100762054.0
2019-08-05,100698873.0
2020-03-16,99753623.0
2020-06-11,99712194.0
2020-07-13,99651698.0
2021-01-05,99554367.0
2021-09-29,99684920.0
2022-11-07,98411796.0
2023-02-23,97409311.0
2023-08-17,97345921.0
2023-10-26,97121150.0
2024-08-05,96774813.0
2024-10-24,96709252.0
2025-07-15,96561730.0
2025-08-12,96830612.0
2025-09-05,96646091.0
2025-10-23,96706098.0
2025-10-27,96578159.0
2025-10-29,96715600.0
2025-10-31,96518504.0
2025-11-04,96544451.0
2025-11-07,96456651.0
2025-11-11,96396589.0
2025-11-13,96377148.0
2025-12-09,96201923.0
2025-12-11,96003770.0
2025-12-15,96001330.0
2026-01-09,95971363.0
