date,equity
2016-09-14,100000000.0
2017-04-07,99954069.0
2017-04-13,99904685.0
2017-04-17,99889132.0
2017-04-19,99892878.0
2017-04-21,99863039.0
2017-04-25,99821931.0
2017-04-27,99869551.0
2017-05-03,99853639.0
2017-05-09,99777622.0
2017-05-11,99740799.0
2017-05-15,99691776.0
2017-05-17,99764834.0
2017-05-29,99684106.0
2017-05-31,99660142.0
2017-06-02,99610068.0
2017-06-08,99575693.0
2017-06-12,99488599.0
2017-06-14,99495662.0
2017-06-16,99450850.0
2017-06-20,99390815.0
2017-06-22,99343259.0
2017-06-26,99329774.0
2017-06-28,99355290.0
2017-06-30,99403280.0
2017-07-05,99382012.0
2017-07-07,99193803.0
2017-07-11,99204330.0
2017-07-13,99203256.0
2017-07-20,99153370.0
2017-11-08,99217059.0
2017-11-10,99469704.0
2017-11-14,99348827.0
2017-11-16,99359968.0
2017-11-20,99506435.0
2017-11-22,99395828.0
2017-11-24,99374123.0
2017-11-29,99350159.0
2017-12-01,99524446.0
2017-12-05,99421871.0
2017-12-07,99214100.0
2017-12-11,99279432.0
2017-12-13,99261482.0
2017-12-15,99158126.0
2017-12-19,99095442.0
2017-12-21,99119376.0
2017-12-25,98977991.0
2017-12-28,98977667.0
2018-01-09,98923013.0
2018-01-15,98870544.0
2018-01-17,98708869.0
2018-01-19,98684905.0
2018-01-25,98574494.0
2018-01-31,98531015.0
2018-02-02,98626700.0
2018-04-03,98483241.0
2019-02-26,98314678.0
2019-02-28,97961837.0
2019-03-04,97994203.0
2019-03-06,97942213.0
2019-03-08,97841476.0
2019-03-12,97858200.0
2019-04-09,97782119.0
2019-10-10,97758155.0
2019-10-23,97728252.0
2019-10-31,97643683.0
2019-11-04,97586535.0
2020-05-26,97562571.0
2020-05-28,97531823.0
2020-06-01,97545740.0
2020-06-08,97642328.0
2020-06-12,97478540.0
2020-06-16,97632807.0
2020-06-29,97521887.0
2020-08-13,97525125.0
2020-09-10,97533993.0
2020-09-15,97529149.0
2020-09-17,97504394.0
2020-09-21,97596697.0
2020-09-23,97560353.0
2020-09-25,97548487.0
2020-09-29,97671580.0
2020-10-01,97662126.0
2020-10-05,97612314.0
2020-10-07,97625763.0
2020-10-09,97593916.0
2020-10-13,97573890.0
2020-10-15,97553850.0
2020-10-19,97541166.0
2020-10-21,97524642.0
2020-10-23,97624098.0
2020-10-30,97641028.0
2020-11-03,97620491.0
2020-11-06,97596527.0
2020-11-10,97525117.0
2020-11-12,97482534.0
2020-11-16,97447780.0
2020-11-27,97420461.0
2021-01-15,97424646.0
2021-01-19,97037707.0
2021-01-21,97061627.0
2021-01-25,97018938.0
2021-09-29,97008594.0
2022-07-27,96995342.0
2022-09-12,96939623.0
2022-11-15,96814979.0
2022-12-01,96771803.0
2023-07-18,96753735.0
2023-07-20,96729771.0
2023-07-28,96795270.0
2023-08-01,96668704.0
2023-08-03,96585000.0
2023-08-07,96664702.0
2023-09-06,96636157.0
2023-09-08,96637578.0
2023-09-13,96554215.0
2023-09-15,96534872.0
2023-09-19,96510908.0
2023-09-21,96471714.0
2023-09-25,96452484.0
2023-09-27,96455039.0
2024-03-05,96486082.0
2024-03-07,96473531.0
2024-07-15,96443466.0
2024-08-05,96302587.0
2024-08-07,96365595.0
2024-08-14,96352594.0
2024-08-20,96307930.0
2024-08-27,96289477.0
2024-09-11,96249311.0
2024-09-13,96129677.0
2024-09-17,96188854.0
2024-09-19,96164890.0
2025-07-14,96174360.0
2025-07-16,96150396.0
2025-07-24,96256060.0
2025-07-30,96180676.0
2025-09-19,96056506.0
2025-10-20,95775200.0
2025-12-10,95789463.0
2025-12-12,95681326.0
2025-12-16,95798660.0
2026-01-21,95462410.0
2026-01-23,95056810.0
2026-01-27,94823517.0
2026-01-29,94999537.0
2026-02-02,95088379.0
2026-02-04,95086661.0
2026-02-06,95044723.0
2026-02-10,94882639.0
2026-02-12,94852912.0
