date,equity
2016-07-14,100000000.0
2016-09-01,100461441.0
2016-09-30,100293836.0
2016-10-24,100124604.0
2017-07-06,100074005.0
2017-07-11,100013799.0
2018-09-10,99894892.0
2018-10-23,99291419.0
2020-02-18,99086124.0
2021-02-08,104171057.0
2021-08-10,105093519.0
2021-08-18,104797586.0
2021-12-06,104548902.0
2022-01-07,104529625.0
2022-07-06,103857571.0
2023-08-18,103545717.0
2024-01-15,102838599.0
2024-03-06,102726742.0
2024-03-08,102629874.0
2024-07-17,102272206.0
2025-04-03,101946137.0
2026-03-31,103591289.0
