ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
ACB,2016-10-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-11-21,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.75,2.66,68.3,41.0,71.0,54.2,32.6,-0.0034,0.93,-6.05,0.99,23.04,-0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACB,2016-10-25,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-07-04,3.0,3.0,4.0,3.0,3.0,3.0,15.0,3.73,4.02,50.0,36.0,53.2,58.2,31.3,-0.0056,0.48,0.71,0.988,22.93,1.11,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACB,2016-11-09,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2016-11-30,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.51,2.28,65.3,41.0,68.0,45.6,23.9,-0.0155,1.87,-0.21,0.99,20.0,-2.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACB,2016-12-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-08-30,3.0,3.0,4.0,3.0,3.0,3.0,18.0,4.17,4.31,59.6,44.0,61.4,61.5,15.8,0.0081,4.62,9.36,0.919,30.65,3.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACB,2017-01-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-04-12,4.0,4.0,5.0,4.0,4.0,4.0,15.0,5.68,2.64,66.2,44.0,68.0,85.9,46.4,0.0656,1.67,5.76,0.983,43.11,13.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACB,2017-02-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-15,4.0,4.0,4.0,4.0,4.0,4.0,10.0,5.0,2.0,70.1,47.0,71.0,65.9,50.8,-0.0359,1.7,-1.21,0.99,30.51,0.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACB,2017-03-20,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-03-27,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.67,55.2,40.0,58.2,64.4,23.3,0.0039,2.78,0.74,0.99,25.84,2.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ACB,2017-06-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-31,5.0,5.0,5.0,4.0,4.0,5.0,15.0,4.71,3.18,65.9,43.0,68.0,67.7,28.3,0.0187,0.54,3.09,0.99,26.91,4.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACB,2017-06-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-07-25,5.0,5.0,5.0,4.0,4.0,5.0,10.0,3.82,2.62,69.8,46.0,71.0,53.3,31.8,-0.0207,0.27,-0.72,0.99,22.59,-0.34,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACB,2017-07-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-03-12,5.0,5.0,5.0,4.0,5.0,5.0,15.0,3.6,4.16,50.0,39.0,53.2,59.1,27.5,-0.0171,1.21,6.92,0.99,21.78,0.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACB,2017-07-12,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-08-09,5.0,5.0,5.0,4.0,4.0,5.0,10.0,3.45,2.9,62.4,38.0,66.0,49.7,24.6,-0.0173,0.66,0.22,0.99,19.79,-1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1
