ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
ANV,2017-05-09,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-01-16,1.0,1.0,2.0,1.0,1.0,1.0,18.0,6.0,3.0,64.4,60.0,61.4,63.7,35.4,0.0058,4.12,2.45,0.965,54.56,6.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANV,2017-12-04,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-26,4.0,4.0,4.0,4.0,4.0,4.0,15.0,5.15,2.91,65.0,40.0,68.0,76.9,29.4,0.0254,1.65,2.94,0.99,36.19,9.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANV,2017-12-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-10,4.0,4.0,4.0,3.0,3.0,4.0,10.0,5.0,2.0,69.8,46.0,71.0,52.9,29.9,-0.0167,0.7,1.55,0.99,30.95,-0.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2017-12-14,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-23,4.0,4.0,4.0,3.0,4.0,4.0,15.0,6.0,2.5,50.0,38.0,53.2,62.3,29.4,-0.0119,1.21,-1.0,0.99,33.76,3.09,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANV,2017-12-27,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-01-03,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.67,56.7,45.0,58.2,74.5,28.9,0.0137,2.42,5.64,0.99,32.06,7.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANV,2018-02-28,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-05-23,7.0,7.0,8.0,6.0,6.0,7.0,15.0,6.0,2.5,66.2,44.0,68.0,88.5,41.0,0.0678,1.65,7.2,0.99,51.18,18.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANV,2018-04-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-05-22,9.0,9.0,10.0,9.0,9.0,9.0,10.0,5.0,2.0,67.1,37.0,71.0,59.0,50.9,-0.1075,0.51,-7.48,0.99,43.88,-0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2018-10-10,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-06-19,9.0,9.0,10.0,8.0,9.0,9.0,15.0,5.99,2.5,51.1,43.0,53.2,66.6,33.0,0.0129,0.9,2.88,0.99,43.95,6.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANV,2018-10-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-08,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,69.8,46.0,71.0,53.7,31.5,-0.0255,1.58,-3.31,0.99,48.56,-0.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2018-11-13,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-02-05,11.0,11.0,13.0,10.0,11.0,11.0,15.0,6.0,2.5,63.5,35.0,68.0,81.2,29.8,0.1765,0.74,8.03,0.99,51.05,20.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0
