ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
BID,2016-10-19,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-06-28,9.0,9.0,10.0,9.0,9.0,9.0,18.0,3.98,4.52,58.1,39.0,61.4,68.8,21.4,0.0251,3.46,1.4,0.99,25.72,4.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BID,2017-02-17,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-17,9.0,9.0,10.0,9.0,9.0,9.0,10.0,4.45,2.25,66.8,36.0,71.0,55.1,32.4,-0.0333,0.66,0.61,0.99,28.84,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BID,2017-02-22,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-03-22,9.0,9.0,10.0,8.0,9.0,9.0,10.0,4.31,2.32,61.5,35.0,66.0,49.6,27.8,-0.0608,0.62,-3.63,0.99,27.33,-2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BID,2017-06-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-29,10.0,10.0,12.0,10.0,10.0,10.0,15.0,5.37,2.79,64.4,38.0,68.0,68.0,33.6,0.0271,1.45,-1.06,0.99,35.57,6.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BID,2017-06-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-02-20,10.0,10.0,12.0,10.0,10.0,10.0,15.0,5.26,2.85,50.0,38.0,53.2,65.5,34.1,0.008,0.71,0.39,0.99,33.36,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BID,2017-07-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-07,10.0,10.0,11.0,10.0,10.0,11.0,10.0,4.7,2.13,69.5,45.0,71.0,49.7,39.2,-0.0592,0.91,-5.29,0.99,26.96,-2.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BID,2017-08-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-10-31,12.0,12.0,14.0,11.0,12.0,12.0,15.0,4.73,3.17,64.7,39.0,68.0,71.2,36.7,0.1182,0.87,5.0,0.977,33.48,7.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BID,2017-08-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-09-08,11.0,11.0,12.0,11.0,11.0,11.0,10.0,5.0,2.0,68.3,41.0,71.0,50.4,31.3,-0.0459,0.61,-5.04,0.971,39.55,-1.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BID,2017-11-16,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-08,13.0,13.0,15.0,13.0,13.0,13.0,15.0,4.69,3.2,63.5,35.0,68.0,72.7,33.9,0.0853,1.04,4.33,0.99,28.82,7.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BID,2018-01-04,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-01-11,15.0,15.0,16.0,15.0,15.0,15.0,5.0,3.0,1.67,55.5,41.0,58.2,75.0,25.7,0.1691,2.76,9.91,0.99,34.91,9.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0
