ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
BSI,2016-08-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-09-21,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,2.0,68.6,42.0,71.0,54.2,25.1,-0.0327,0.2,1.01,0.96,37.7,-0.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2016-09-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-05-31,5.0,5.0,6.0,5.0,5.0,6.0,18.0,6.0,3.0,58.7,41.0,61.4,67.7,18.6,0.0088,4.9,1.7,0.95,39.36,6.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BSI,2017-06-28,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-03-07,7.0,7.0,8.0,6.0,7.0,7.0,18.0,5.01,3.59,58.7,41.0,61.4,69.3,17.7,-0.002,8.33,0.46,0.932,26.9,2.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BSI,2017-07-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-18,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,71.6,52.0,71.0,51.6,25.2,-0.0364,2.07,0.03,0.99,43.39,-0.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2018-09-28,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-06-07,8.0,8.0,9.0,7.0,7.0,8.0,18.0,4.46,4.03,57.2,36.0,61.4,80.0,18.6,0.0923,6.05,8.56,0.99,35.64,9.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BSI,2019-03-25,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-04-22,6.0,6.0,6.0,5.0,5.0,6.0,10.0,3.66,2.73,62.1,37.0,66.0,48.5,14.4,-0.0271,0.09,2.48,0.99,23.5,-1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BSI,2019-12-11,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-08-19,5.0,5.0,6.0,5.0,5.0,5.0,18.0,3.2,5.63,56.9,35.0,61.4,74.9,22.9,0.0277,4.87,-0.88,0.809,22.85,4.08,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BSI,2020-02-10,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-05-04,7.0,7.0,8.0,6.0,7.0,7.0,15.0,6.0,2.5,66.2,44.0,68.0,84.5,48.9,0.0958,2.91,-2.37,0.95,44.01,6.21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2020-02-19,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-10-28,7.0,7.0,8.0,6.0,7.0,7.0,15.0,6.0,2.5,52.3,47.0,53.2,67.7,50.8,-0.0413,0.37,3.64,0.99,46.4,2.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BSI,2020-02-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-03-23,6.0,6.0,7.0,6.0,6.0,6.0,10.0,5.0,2.0,71.0,50.0,71.0,53.2,49.8,-0.0581,0.22,-0.04,0.99,45.82,-3.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2020-10-01,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2021-06-10,7.0,7.0,8.0,6.0,6.0,7.0,18.0,4.08,4.41,68.4,60.0,61.4,84.7,31.8,0.0438,3.07,11.63,0.99,29.47,8.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
BSI,2020-10-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-11-24,7.0,7.0,7.0,6.0,7.0,7.0,10.0,5.0,2.0,69.5,45.0,71.0,52.3,45.4,-0.0379,0.52,-4.13,0.99,36.7,-1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2020-12-15,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-09,8.0,8.0,9.0,7.0,8.0,8.0,15.0,5.71,2.63,65.0,40.0,68.0,72.3,28.1,0.0921,2.97,-0.19,0.99,36.15,4.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2020-12-28,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-06,9.0,9.0,10.0,8.0,9.0,9.0,15.0,6.0,2.5,53.8,52.0,53.2,67.7,36.0,0.0374,2.44,-1.34,0.99,46.37,4.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BSI,2021-10-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-01-21,26.0,26.0,29.0,24.0,25.0,26.0,15.0,6.0,2.5,63.5,35.0,68.0,73.6,28.7,0.1517,0.98,3.14,0.99,45.57,11.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2023-05-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-01-19,22.0,22.0,26.0,21.0,22.0,23.0,15.0,6.0,2.5,50.8,42.0,53.2,65.7,43.9,-0.2223,0.7,1.16,0.99,47.78,3.17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BSI,2023-05-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-06-12,22.0,22.0,24.0,21.0,21.0,22.0,10.0,5.0,2.0,67.1,37.0,71.0,59.9,43.4,-0.2543,0.66,-6.03,0.99,47.23,0.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2023-06-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-08-29,25.0,25.0,29.0,24.0,25.0,26.0,15.0,6.0,2.5,65.6,42.0,68.0,67.1,38.9,0.1623,0.96,-0.57,0.99,50.79,10.21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2023-08-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-08-31,27.0,27.0,30.0,26.0,27.0,27.0,10.0,4.86,2.06,68.9,43.0,71.0,54.4,31.2,-0.0719,1.43,-7.12,0.99,26.51,-0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSI,2023-09-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-12-07,35.0,35.0,41.0,33.0,35.0,36.0,15.0,6.0,2.5,64.7,39.0,68.0,79.3,35.0,0.8282,1.01,5.67,0.99,51.4,20.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2024-01-17,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-09-25,42.0,42.0,49.0,40.0,41.0,42.0,18.0,5.51,3.26,60.2,46.0,61.4,69.4,11.3,0.1045,4.0,3.27,0.99,42.75,7.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BSI,2024-01-31,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2024-04-24,43.0,43.0,50.0,41.0,43.0,44.0,15.0,5.83,2.57,64.4,38.0,68.0,68.9,31.8,0.1642,1.51,-4.58,0.99,34.6,5.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BSI,2024-02-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-10-25,44.0,44.0,50.0,41.0,43.0,44.0,15.0,5.3,2.83,52.3,47.0,53.2,65.8,39.6,-0.1254,0.85,5.26,0.968,28.31,2.47,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BSI,2024-03-01,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2024-03-08,48.0,48.0,51.0,47.0,47.0,49.0,5.0,3.0,1.67,57.9,49.0,58.2,76.0,40.8,0.1311,2.78,5.71,0.975,39.22,8.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0
