ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
BWE,2018-08-14,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2018-09-11,13.06,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,66.0,18.1,0.0559,1.56,-1.65,0.982,6.28,TRUNG BÌNH,34.97,5.26,0,0,0,0,1,0,0,0,0
BWE,2018-09-26,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2019-06-05,13.84,0,0,0,0,-100.0,100.0,-1.0,66.4,61.4,71.9,15.4,0.0374,5.6,5.23,0.99,5.94,TRUNG BÌNH,33.12,5.51,0,0,0,0,0,1,1,0,0
BWE,2018-09-28,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-10-05,14.09,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,73.1,21.2,0.0949,1.74,5.9,0.99,5.9,TRUNG BÌNH,32.9,6.44,0,0,0,0,0,1,0,0,0
BWE,2018-10-03,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-10-17,14.33,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,70.5,27.7,0.104,2.31,1.81,0.99,6.3,TRUNG BÌNH,35.13,6.67,0,0,0,1,0,0,0,0,0
BWE,2018-10-18,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2019-06-27,13.88,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,56.5,20.6,-0.0317,0.19,3.07,0.99,5.88,TRUNG BÌNH,32.78,1.38,0,0,0,0,0,0,0,0,1
BWE,2018-11-06,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-07-16,14.72,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,69.5,14.3,0.0342,3.93,4.31,0.984,5.68,TRUNG BÌNH,31.67,6.24,0,0,0,0,0,0,1,0,0
BWE,2018-11-19,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-12-03,16.16,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,76.5,30.1,0.1724,1.71,7.15,0.99,6.16,TRUNG BÌNH,34.31,9.11,0,0,0,1,0,0,0,0,0
BWE,2018-11-21,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-12-05,16.41,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,78.3,33.9,0.1819,0.54,4.51,0.99,5.89,TRUNG BÌNH,32.81,9.43,0,0,0,1,0,0,0,0,0
BWE,2018-11-30,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-12-14,16.27,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,68.0,40.9,0.0013,0.68,-4.55,0.99,5.13,TRUNG BÌNH,28.56,4.92,0,0,0,1,0,0,0,0,0
BWE,2018-12-03,BUY,2,SAR_MACD,SAR × MACD Histogram,"['DMI_WAVE', 'SAR_MACD']",2,20,2018-12-31,16.62,0,0,0,0,-100.0,100.0,-1.0,75.6,70.6,71.9,41.7,0.0074,0.73,1.28,0.99,5.19,TRUNG BÌNH,28.93,6.79,0,0,0,1,1,0,0,0,0
