ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
CII,2016-09-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-10-19,20.0,20.0,22.0,20.0,20.0,20.0,10.0,3.66,2.73,68.6,42.0,71.0,56.7,46.1,-0.0437,0.88,0.3,0.99,24.53,0.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2017-02-16,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-10-26,24.0,24.0,28.0,23.0,23.0,24.0,18.0,3.52,5.12,61.1,49.0,61.4,68.6,25.9,0.0332,3.12,1.69,0.99,31.19,5.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CII,2017-03-08,BUY,2,UPTREND,Uptrend Chắc Chắn,"['UPTREND', 'STOCH_RSI']",2,60,2017-05-31,27.0,27.0,31.0,25.0,26.0,27.0,15.0,6.0,2.5,74.7,59.0,68.0,64.4,43.8,0.0533,1.38,4.14,0.99,55.07,8.49,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CII,2017-03-31,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-04-28,28.0,28.0,30.0,26.0,27.0,28.0,10.0,5.0,2.0,68.6,42.0,71.0,55.2,41.9,-0.1763,0.38,-0.28,0.99,44.18,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2017-06-01,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-06-29,28.0,28.0,31.0,27.0,28.0,29.0,10.0,5.0,2.0,68.6,42.0,71.0,51.4,25.3,-0.0581,1.38,-0.75,0.953,33.54,-0.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2019-04-01,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-12-09,18.0,18.0,21.0,17.0,18.0,18.0,15.0,4.72,3.18,50.2,40.0,53.2,55.4,39.9,0.0043,0.42,0.42,0.931,29.62,2.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CII,2019-04-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-05-02,18.0,18.0,20.0,17.0,18.0,18.0,10.0,4.37,2.29,72.5,55.0,71.0,53.3,41.3,-0.0095,0.15,2.82,0.957,27.37,0.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2020-02-24,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2020-03-16,17.0,17.0,18.0,16.0,17.0,17.0,8.0,4.0,2.0,66.5,45.0,68.0,37.4,25.8,-0.1092,1.93,-1.21,0.99,25.34,-3.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CII,2021-01-11,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-04-05,18.0,18.0,21.0,17.0,18.0,19.0,15.0,5.61,2.68,64.7,39.0,68.0,85.1,47.7,0.1652,1.31,4.67,0.99,40.92,14.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CII,2021-01-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-30,18.0,18.0,21.0,17.0,18.0,18.0,15.0,6.0,2.5,50.0,37.0,53.2,68.5,44.9,-0.0772,0.58,-3.49,0.99,35.19,5.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CII,2021-01-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-02-22,18.0,18.0,19.0,17.0,17.0,18.0,10.0,5.0,2.0,67.1,37.0,71.0,59.7,40.9,-0.1444,0.59,-4.45,0.99,33.9,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2022-08-31,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-05-10,18.0,18.0,21.0,17.0,18.0,19.0,15.0,6.0,2.5,50.2,40.0,53.2,56.9,36.0,-0.205,0.72,-2.45,0.99,46.85,0.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CII,2022-09-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2022-10-03,18.0,18.0,20.0,17.0,18.0,19.0,10.0,5.0,2.0,66.8,36.0,71.0,56.6,34.8,-0.2123,0.45,1.41,0.99,45.43,-0.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2023-04-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-12-21,12.0,12.0,14.0,11.0,12.0,12.0,15.0,6.0,2.5,53.2,50.0,53.2,60.1,38.8,-0.0042,2.04,-2.09,0.99,35.12,2.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CII,2023-04-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-05-12,12.0,12.0,13.0,11.0,11.0,12.0,10.0,5.0,2.0,69.5,45.0,71.0,52.6,39.2,-0.0289,1.07,-4.2,0.99,36.24,-0.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2023-05-22,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2024-01-29,12.0,12.0,15.0,12.0,12.0,13.0,18.0,5.36,3.36,70.8,68.0,61.4,69.9,28.6,0.072,4.14,3.05,0.99,37.41,7.73,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CII,2023-06-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-07-12,13.0,13.0,15.0,13.0,13.0,13.0,10.0,5.0,2.0,71.0,50.0,71.0,54.1,46.1,-0.0869,0.95,0.76,0.99,34.42,-0.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2023-07-07,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-08-04,14.0,14.0,15.0,13.0,14.0,14.0,10.0,5.0,2.0,71.0,50.0,71.0,53.0,35.1,-0.1059,0.82,-2.89,0.99,35.82,-0.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2023-07-21,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-13,16.0,16.0,18.0,15.0,15.0,16.0,15.0,5.55,2.7,65.9,43.0,68.0,69.8,33.2,0.0585,1.55,-1.6,0.99,34.14,6.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CII,2024-01-08,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-09-16,14.0,14.0,17.0,14.0,14.0,15.0,18.0,5.21,3.46,59.6,44.0,61.4,64.6,13.7,0.089,3.78,5.77,0.988,39.66,5.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CII,2024-02-15,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2024-02-22,15.0,15.0,16.0,15.0,15.0,15.0,5.0,3.0,1.67,56.1,43.0,58.2,65.8,24.6,0.0152,2.28,5.47,0.988,32.28,4.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CII,2024-10-14,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2025-06-23,13.0,13.0,16.0,13.0,13.0,13.0,18.0,3.68,4.9,58.1,39.0,61.4,66.4,15.6,0.0467,3.65,1.47,0.99,26.42,3.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CII,2024-10-24,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2024-11-21,13.0,13.0,14.0,12.0,12.0,13.0,10.0,4.29,2.33,62.1,37.0,66.0,46.3,15.3,-0.0184,0.59,2.49,0.99,25.5,-2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CII,2025-06-06,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2025-07-04,13.0,13.0,14.0,12.0,12.0,13.0,10.0,5.0,2.0,74.0,60.0,71.0,53.7,35.5,-0.0421,1.92,6.93,0.99,44.25,-1.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CII,2025-06-11,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2026-02-18,12.0,12.0,14.0,12.0,12.0,12.0,15.0,6.0,2.5,51.4,44.0,53.2,47.6,29.5,-0.1777,0.41,-0.23,0.99,41.83,-4.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CII,2025-07-18,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2025-07-25,14.0,14.0,15.0,14.0,14.0,14.0,5.0,3.0,1.67,55.5,41.0,58.2,71.6,25.3,0.0901,2.03,4.56,0.99,30.48,6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CII,2025-07-28,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2025-10-20,15.0,15.0,17.0,14.0,15.0,15.0,15.0,5.71,2.63,66.5,45.0,68.0,76.0,28.4,0.1346,2.12,8.13,0.99,40.51,11.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0
