ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
CMG,2017-03-29,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-06,4.92,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,52.2,29.4,0.0121,0.01,-1.23,0.99,3.64,THẤP,20.3,-0.6,0,0,0,0,0,0,0,1,0
CMG,2017-04-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-11,4.89,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,50.4,26.0,-0.0082,0.21,-0.45,0.99,5.47,TRUNG BÌNH,30.46,-1.24,0,0,0,0,0,0,0,1,0
CMG,2017-04-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-12,4.92,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,52.2,25.5,-0.0047,1.49,3.22,0.99,5.32,TRUNG BÌNH,29.63,-0.66,0,0,0,0,0,0,0,1,0
CMG,2017-06-01,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-02-08,5.09,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,62.1,27.6,0.0379,4.94,-3.0,0.946,6.37,TRUNG BÌNH,35.48,4.13,0,0,0,0,0,0,1,0,0
CMG,2017-06-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-02-28,5.58,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,72.8,18.1,0.0374,6.96,5.32,0.846,6.64,TRUNG BÌNH,36.98,6.32,0,0,0,0,0,0,1,0,0
CMG,2017-06-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-03-01,5.96,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,79.9,19.6,0.0678,11.84,-1.58,0.843,8.0,TRUNG BÌNH,44.57,6.35,0,0,0,0,0,0,1,0,0
CMG,2017-08-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-05-01,5.81,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,56.0,16.6,-0.0383,3.82,0.39,0.99,6.87,TRUNG BÌNH,38.3,0.98,0,0,0,0,0,0,1,0,0
CMG,2017-09-06,BUY,2,SAR_MACD,SAR × MACD Histogram,"['SAR_MACD', 'VOLUME_EXPLOSION']",2,20,2017-10-04,6.0,0,0,0,0,-100.0,100.0,-1.0,75.6,70.6,63.4,11.0,0.0222,3.11,5.08,0.99,6.02,TRUNG BÌNH,33.56,4.56,0,0,0,0,1,0,1,0,0
CMG,2017-10-17,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2018-06-26,6.3,0,0,0,0,-100.0,100.0,-1.0,66.4,61.4,67.7,12.2,0.0204,7.65,5.95,0.977,6.11,TRUNG BÌNH,34.02,4.67,0,0,0,0,0,1,1,0,0
CMG,2017-10-18,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-10-25,6.49,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,72.4,15.5,0.0471,2.72,9.83,0.973,6.28,TRUNG BÌNH,35.0,6.64,0,0,0,0,0,1,0,0,0
