ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
CTD,2017-01-19,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-09-28,111.0,111.0,131.0,107.0,109.0,112.0,18.0,3.1,5.81,58.7,41.0,61.4,59.2,9.7,0.032,3.33,-0.68,0.99,20.92,1.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTD,2017-02-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-05-12,125.0,125.0,144.0,120.0,122.0,126.0,15.0,3.44,4.35,63.5,35.0,68.0,76.3,31.9,0.692,1.04,3.41,0.99,22.58,7.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTD,2017-03-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-11-10,123.0,123.0,141.0,118.0,120.0,124.0,15.0,3.6,4.17,52.3,47.0,53.2,58.9,36.5,-0.5318,0.39,4.26,0.99,21.24,0.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTD,2017-03-07,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-04-04,119.0,119.0,131.0,115.0,117.0,121.0,10.0,3.84,2.61,72.8,56.0,71.0,49.2,32.0,-0.9379,2.52,-1.6,0.99,23.56,-1.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTD,2017-09-13,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-12-06,131.0,131.0,150.0,128.0,128.0,132.0,15.0,2.09,7.17,64.4,38.0,68.0,61.9,28.8,0.0468,1.86,-3.11,0.99,12.77,1.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTD,2017-10-16,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-06-25,131.0,131.0,154.0,127.0,128.0,132.0,18.0,2.44,7.38,59.6,44.0,61.4,59.6,21.6,0.1388,4.18,4.7,0.99,15.18,1.66,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTD,2017-11-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-06,148.0,148.0,170.0,142.0,145.0,149.0,15.0,4.24,3.54,65.0,40.0,68.0,70.6,29.9,0.8514,2.51,0.5,0.955,30.1,6.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTD,2017-11-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-12-18,141.0,141.0,155.0,134.0,138.0,142.0,10.0,4.58,2.18,70.4,48.0,71.0,53.5,29.9,-0.3005,0.68,-1.62,0.99,28.28,-0.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTD,2017-11-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-07-31,143.0,143.0,164.0,136.0,140.0,144.0,15.0,4.64,3.23,50.0,38.0,53.2,56.8,29.6,-0.446,0.75,-0.17,0.99,27.92,0.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTD,2018-09-19,BUY,2,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,"['STOCH_RSI', 'PULLBACK_BUY']",2,20,2018-10-17,104.0,104.0,114.0,100.0,102.0,105.0,10.0,3.78,2.65,74.4,48.0,71.0,55.8,32.0,-0.4777,0.65,0.85,0.99,25.28,0.15,0,0,0,0,0,0,0,0,1,1,0,0,0,0
