ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
CTG,2017-01-17,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-09-26,8.0,8.0,9.0,7.0,8.0,8.0,18.0,4.96,3.63,60.5,47.0,61.4,74.8,35.7,0.1034,3.34,-2.74,0.99,41.7,10.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTG,2017-02-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-10-23,8.0,8.0,9.0,8.0,8.0,8.0,15.0,5.36,2.8,51.7,45.0,53.2,67.2,54.9,-0.0178,1.01,6.47,0.99,32.58,2.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTG,2017-02-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-22,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,71.0,50.0,71.0,51.6,53.0,-0.0634,1.43,0.75,0.99,31.48,-2.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTG,2017-06-07,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-30,9.0,9.0,10.0,8.0,9.0,9.0,15.0,4.92,3.05,70.4,58.0,68.0,67.3,30.1,0.0265,3.07,2.76,0.99,31.66,4.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTG,2017-07-10,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-07-31,9.0,9.0,9.0,8.0,9.0,9.0,8.0,4.0,2.0,67.7,49.0,68.0,45.8,33.3,-0.0546,1.53,-0.17,0.99,24.15,-3.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTG,2017-11-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-09,9.0,9.0,11.0,9.0,9.0,10.0,15.0,3.85,3.89,64.4,38.0,68.0,64.6,30.3,0.0715,1.39,1.07,0.99,25.14,3.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTG,2017-12-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-24,10.0,10.0,12.0,9.0,10.0,10.0,15.0,6.0,2.5,54.1,53.0,53.2,49.5,38.7,-0.1632,0.58,3.18,0.99,44.25,-4.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTG,2018-03-21,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-06-13,17.0,17.0,19.0,16.0,16.0,17.0,15.0,6.0,2.5,67.1,47.0,68.0,69.4,39.3,0.0771,0.71,4.1,0.99,53.99,10.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTG,2018-03-30,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-04-27,16.0,16.0,17.0,15.0,16.0,16.0,10.0,5.0,2.0,67.4,38.0,71.0,56.7,33.1,-0.1735,0.61,1.27,0.99,45.8,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTG,2020-02-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-10-27,12.0,12.0,14.0,11.0,12.0,12.0,15.0,6.0,2.5,50.0,37.0,53.2,61.3,39.5,-0.0526,0.85,-3.75,0.99,40.87,2.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTG,2020-02-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-03-20,12.0,12.0,13.0,11.0,12.0,12.0,10.0,5.0,2.0,71.0,50.0,71.0,52.5,36.3,-0.1065,1.36,-2.82,0.99,40.46,-1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTG,2020-09-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-05-31,12.0,12.0,14.0,11.0,12.0,12.0,15.0,4.04,3.71,50.0,39.0,53.2,61.7,25.2,-0.0288,0.98,2.89,0.99,26.76,1.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTG,2020-09-28,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-12-21,12.0,12.0,14.0,12.0,12.0,13.0,15.0,4.05,3.7,66.5,45.0,68.0,72.0,29.1,0.0211,2.29,4.44,0.99,27.85,4.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTG,2020-10-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-11-26,13.0,13.0,15.0,13.0,13.0,13.0,10.0,5.0,2.0,69.5,45.0,71.0,50.0,41.3,-0.118,1.21,-11.29,0.99,38.96,-2.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTG,2020-12-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-02,16.0,16.0,18.0,15.0,15.0,16.0,15.0,3.91,3.84,64.4,38.0,68.0,68.6,33.5,0.0097,0.91,0.66,0.99,27.26,3.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0
