ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DBC,2016-07-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-08-11,8.0,8.0,9.0,7.0,8.0,8.0,10.0,5.0,2.0,69.8,46.0,71.0,52.7,32.2,-0.0381,0.9,-1.43,0.99,36.37,-1.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DBC,2016-09-19,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2017-05-29,8.0,8.0,9.0,7.0,8.0,8.0,18.0,4.49,4.01,69.0,62.0,61.4,63.9,22.7,0.0162,4.09,3.11,0.99,29.13,3.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DBC,2016-09-27,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2016-10-04,8.0,8.0,8.0,8.0,8.0,8.0,5.0,3.0,1.67,56.7,45.0,58.2,71.0,33.4,0.0372,2.19,3.54,0.99,28.18,5.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DBC,2016-09-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-12-22,8.0,8.0,9.0,8.0,8.0,8.0,15.0,3.94,3.81,64.7,39.0,68.0,72.5,37.6,0.0467,1.01,5.7,0.99,26.65,5.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DBC,2016-10-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-11-10,8.0,8.0,8.0,7.0,8.0,8.0,10.0,4.78,2.09,68.3,41.0,71.0,48.8,34.4,-0.0586,0.21,-3.02,0.99,24.65,-2.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DBC,2018-07-06,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2019-03-15,6.0,6.0,6.0,5.0,5.0,6.0,18.0,6.0,3.0,66.9,55.0,61.4,67.0,22.2,0.0466,3.48,0.56,0.99,46.7,8.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DBC,2018-09-14,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-05-24,7.0,7.0,8.0,6.0,6.0,7.0,15.0,5.42,2.77,51.1,43.0,53.2,63.5,34.1,-0.0151,0.97,5.02,0.99,35.49,2.24,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DBC,2018-09-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-12-10,7.0,7.0,8.0,6.0,7.0,7.0,15.0,5.4,2.78,65.9,43.0,68.0,66.4,34.9,-0.0131,1.69,-2.27,0.99,34.91,2.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DBC,2019-07-30,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-04-07,6.0,6.0,7.0,6.0,6.0,6.0,15.0,6.0,2.5,50.0,37.0,53.2,52.0,27.0,-0.0071,0.39,-5.24,0.99,52.25,0.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DBC,2019-09-24,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-06-02,6.0,6.0,7.0,6.0,6.0,6.0,18.0,4.16,4.32,58.7,41.0,61.4,59.8,15.6,0.0075,3.28,0.92,0.893,28.61,2.93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
