ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
DCM,2016-12-01,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2016-12-15,6.01,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,51.7,27.3,-0.0038,0.24,0.81,0.961,2.96,THẤP,16.47,-1.01,0,0,0,1,0,0,0,0,0
DCM,2016-12-09,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2016-12-23,6.07,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,57.0,35.0,-0.0029,0.71,-1.71,0.949,2.61,THẤP,14.53,-0.9,0,0,0,1,0,0,0,0,0
DCM,2016-12-14,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'VOLUME_EXPLOSION']",2,10,2016-12-28,6.13,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,62.6,36.1,0.0053,3.11,2.03,0.961,2.47,THẤP,13.79,0.11,0,0,0,1,0,0,1,0,0
DCM,2017-02-23,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-03-09,6.01,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,67.4,26.4,0.0387,1.59,1.69,0.99,5.79,TRUNG BÌNH,32.26,5.74,0,0,0,1,0,0,0,0,0
DCM,2017-02-27,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-03-13,6.26,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,72.8,29.6,0.0563,1.21,1.96,0.99,6.5,TRUNG BÌNH,36.23,9.06,0,0,0,1,0,0,0,0,0
DCM,2017-03-01,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-03-15,6.46,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,71.4,33.5,0.0697,1.86,6.78,0.99,7.85,TRUNG BÌNH,43.76,10.92,0,0,0,1,0,0,0,0,0
DCM,2017-04-28,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-05-12,7.32,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,80.9,32.0,0.1531,2.95,6.89,0.98,8.48,CAO,47.26,13.56,0,0,0,1,0,0,0,0,0
DCM,2017-05-03,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-05-17,7.71,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,84.2,34.5,0.19,2.85,9.54,0.988,9.03,CAO,50.29,16.52,0,0,0,1,0,0,0,1,0
DCM,2017-05-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-11,7.6,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,80.0,36.8,0.1951,3.3,4.82,0.99,8.81,CAO,49.07,11.7,0,0,0,0,0,0,0,1,0
DCM,2017-05-05,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-05-19,7.99,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,83.2,39.3,0.2113,1.98,10.6,0.99,9.26,CAO,51.59,15.52,0,0,0,1,0,0,0,1,0
DCM,2017-05-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-16,8.02,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,81.3,43.6,0.1921,1.14,5.97,0.99,8.78,CAO,48.94,13.24,0,0,0,0,0,0,0,1,0
DCM,2017-05-10,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-05-24,8.05,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,81.6,45.4,0.1739,1.22,7.9,0.99,8.52,CAO,47.47,12.55,0,0,0,1,0,0,0,1,0
DCM,2017-05-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-18,8.21,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,82.9,46.9,0.1603,0.89,1.25,0.99,8.38,CAO,46.67,13.91,0,0,0,0,0,0,0,1,0
DCM,2017-05-12,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-19,8.13,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,79.7,48.4,0.1345,1.33,5.32,0.99,8.15,CAO,45.41,11.36,0,0,0,0,0,0,0,1,0
