ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DGC,2016-10-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-06-21,11.0,11.0,13.0,11.0,11.0,11.0,15.0,6.0,2.5,51.4,44.0,53.2,53.6,32.9,-0.1512,0.4,-2.24,0.99,37.94,-1.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DGC,2016-10-17,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-11-14,11.0,11.0,12.0,11.0,11.0,11.0,10.0,5.0,2.0,68.6,42.0,71.0,53.7,27.2,-0.1322,0.74,1.57,0.99,37.25,-2.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGC,2017-08-07,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2017-12-11,7.0,7.0,8.0,7.0,7.0,7.0,15.0,3.34,4.49,69.9,43.0,72.0,52.8,24.6,0.0043,1.62,0.98,0.869,20.19,0.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DGC,2017-08-16,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-04-25,7.0,7.0,9.0,7.0,7.0,8.0,18.0,4.33,4.15,58.4,40.0,61.4,74.1,24.2,0.0445,6.7,2.41,0.902,38.6,6.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGC,2017-09-07,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-05-17,7.0,7.0,8.0,7.0,7.0,7.0,15.0,4.08,3.68,50.0,36.0,53.2,58.0,32.8,-0.0097,0.2,1.4,0.918,28.26,0.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DGC,2018-01-18,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2018-02-08,7.0,7.0,8.0,7.0,7.0,7.0,8.0,4.0,2.0,64.7,39.0,68.0,41.3,14.5,-0.0154,1.94,-2.55,0.99,25.77,-3.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DGC,2018-03-09,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-11-16,8.0,8.0,9.0,8.0,8.0,8.0,18.0,5.07,3.55,57.8,38.0,61.4,72.9,21.6,0.0805,6.43,3.83,0.986,40.94,7.92,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGC,2018-05-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-06-11,7.0,7.0,8.0,7.0,7.0,7.0,10.0,3.77,2.65,69.2,44.0,71.0,52.4,27.6,-0.0034,0.08,-1.68,0.99,19.92,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGC,2018-05-22,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2018-06-19,7.0,7.0,8.0,7.0,7.0,7.0,10.0,3.49,2.87,63.6,42.0,66.0,46.1,27.7,-0.0167,0.25,0.6,0.977,21.63,-2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DGC,2018-06-07,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2018-10-11,7.0,7.0,8.0,7.0,7.0,7.0,15.0,3.7,4.06,72.3,51.0,72.0,50.9,21.9,0.0098,2.62,3.7,0.99,24.6,0.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DGC,2018-08-10,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-11-02,9.0,9.0,10.0,8.0,8.0,9.0,15.0,5.1,2.94,68.6,52.0,68.0,68.5,42.3,0.0895,1.89,2.75,0.99,37.0,6.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DGC,2018-08-27,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-05-06,9.0,9.0,10.0,8.0,9.0,9.0,15.0,4.13,3.63,50.8,42.0,53.2,64.3,44.0,-0.0316,0.47,-2.38,0.981,30.01,2.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DGC,2018-10-09,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-01-01,11.0,11.0,13.0,11.0,11.0,11.0,15.0,3.74,4.01,69.2,54.0,68.0,86.7,52.8,0.0957,3.35,7.3,0.99,28.92,8.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DGC,2018-10-18,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-06-27,11.0,11.0,13.0,11.0,11.0,11.0,18.0,4.3,4.18,62.6,54.0,61.4,78.4,47.9,0.0301,3.33,6.45,0.99,28.35,5.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGC,2018-10-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-21,11.0,11.0,12.0,10.0,10.0,11.0,10.0,5.0,2.0,71.0,50.0,71.0,54.7,41.8,-0.0685,0.47,1.44,0.99,33.15,-1.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGC,2018-11-29,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-12-06,12.0,12.0,12.0,11.0,11.0,12.0,5.0,3.0,1.67,56.7,45.0,58.2,68.8,23.2,0.0946,2.37,6.17,0.99,36.66,6.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DGC,2019-07-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-03-30,8.0,8.0,10.0,8.0,8.0,9.0,18.0,4.31,4.18,58.4,40.0,61.4,61.1,25.5,0.0076,3.27,-3.47,0.99,32.26,3.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGC,2019-12-06,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-12-13,8.0,8.0,8.0,8.0,8.0,8.0,5.0,3.0,1.67,57.6,48.0,58.2,77.6,32.8,0.0501,8.29,6.06,0.876,42.96,7.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
