ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DGW,2016-10-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-06-27,3.0,3.0,3.0,3.0,3.0,3.0,15.0,6.0,2.5,50.2,40.0,53.2,61.8,45.8,-0.0043,1.27,-0.78,0.99,45.44,5.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DGW,2016-11-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-08-01,3.0,3.0,4.0,3.0,3.0,3.0,18.0,6.0,3.0,60.5,47.0,61.4,60.7,25.7,-0.0024,3.1,-0.66,0.99,55.68,5.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGW,2017-07-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-24,3.0,3.0,3.0,3.0,3.0,3.0,10.0,4.18,2.39,69.8,46.0,71.0,53.1,32.6,-0.0042,0.92,-0.85,0.953,23.76,0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGW,2017-08-09,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-08-16,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,1.67,56.1,43.0,58.2,73.0,29.5,0.013,2.98,6.58,0.904,25.42,5.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DGW,2017-08-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-09-20,3.0,3.0,3.0,3.0,3.0,3.0,10.0,4.5,2.22,68.9,43.0,71.0,51.5,34.8,-0.0087,1.07,-6.19,0.99,25.9,-1.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGW,2017-10-06,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-06-15,3.0,3.0,4.0,3.0,3.0,3.0,18.0,4.67,3.85,60.2,46.0,61.4,72.2,25.6,0.0158,3.06,3.82,0.99,34.1,7.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DGW,2017-10-10,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-01-02,4.0,4.0,4.0,3.0,4.0,4.0,15.0,5.31,2.82,65.0,40.0,68.0,78.8,29.8,0.0401,1.83,11.52,0.99,35.56,10.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DGW,2017-10-24,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-07-03,4.0,4.0,4.0,3.0,4.0,4.0,15.0,5.81,2.58,52.3,47.0,53.2,64.8,41.6,-0.0018,0.98,4.1,0.99,35.46,4.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DGW,2017-10-31,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-11-28,4.0,4.0,4.0,3.0,3.0,4.0,10.0,5.0,2.0,70.1,47.0,71.0,56.1,41.8,-0.0133,0.73,5.08,0.99,32.66,0.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGW,2017-12-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-08,4.0,4.0,4.0,4.0,4.0,4.0,10.0,5.0,2.0,69.8,46.0,71.0,48.8,31.1,-0.0184,0.69,-0.17,0.969,33.16,-1.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DGW,2018-01-19,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-01-26,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.67,54.3,37.0,58.2,71.0,22.2,0.0223,2.66,8.0,0.958,34.4,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
