ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DIG,2016-11-16,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2017-07-26,4.0,4.0,4.0,3.0,4.0,4.0,18.0,4.54,3.96,64.8,48.0,61.4,71.3,21.3,0.0186,6.8,7.11,0.973,35.38,6.29,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DIG,2017-02-13,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-03-13,3.0,3.0,4.0,3.0,3.0,3.0,10.0,4.26,2.35,62.1,37.0,66.0,44.3,10.7,-0.0128,1.14,4.22,0.99,21.73,-1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DIG,2017-03-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-11-20,4.0,4.0,5.0,4.0,4.0,4.0,15.0,4.63,3.24,50.8,42.0,53.2,66.0,44.5,0.0087,0.53,-1.21,0.99,29.5,3.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DIG,2017-03-21,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-06-13,4.0,4.0,5.0,4.0,4.0,4.0,15.0,4.7,3.19,64.7,39.0,68.0,76.4,45.8,0.0258,0.84,7.38,0.99,34.2,7.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIG,2017-05-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-21,6.0,6.0,6.0,5.0,5.0,6.0,15.0,6.0,2.5,67.1,47.0,68.0,68.3,46.1,-0.0208,1.31,4.52,0.99,52.29,7.87,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIG,2017-07-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-11,7.0,7.0,7.0,6.0,7.0,7.0,10.0,5.0,2.0,70.1,47.0,71.0,57.0,46.7,-0.0633,0.59,4.34,0.99,36.0,0.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DIG,2017-08-07,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2018-04-16,7.0,7.0,9.0,7.0,7.0,8.0,18.0,5.88,3.06,66.6,54.0,61.4,72.5,23.5,0.032,3.3,5.48,0.99,40.03,8.54,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DIG,2017-10-09,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-01-01,7.0,7.0,8.0,7.0,7.0,7.0,15.0,3.76,3.99,64.4,38.0,68.0,59.2,28.4,0.0027,0.71,-2.81,0.906,20.58,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIG,2017-12-12,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-03-06,10.0,10.0,11.0,9.0,10.0,10.0,15.0,6.0,2.5,67.1,47.0,68.0,69.6,41.8,0.0689,0.39,6.84,0.99,48.8,11.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIG,2017-12-20,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-29,10.0,10.0,11.0,9.0,10.0,10.0,15.0,6.0,2.5,50.8,42.0,53.2,63.9,40.2,-0.0449,0.16,-2.06,0.99,43.61,9.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
