ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DPM,2016-08-12,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2016-09-09,8.0,8.0,8.0,7.0,7.0,8.0,10.0,2.55,3.92,62.7,39.0,66.0,51.0,16.3,-0.0188,0.69,4.03,0.963,12.8,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPM,2016-09-06,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2016-10-04,7.0,7.0,8.0,7.0,7.0,8.0,10.0,2.1,4.75,62.7,39.0,66.0,50.0,15.8,0.0079,0.49,2.6,0.913,11.85,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPM,2017-03-13,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-04-10,7.0,7.0,7.0,7.0,7.0,7.0,10.0,3.47,2.89,61.8,36.0,66.0,46.2,22.7,-0.0213,0.73,-1.08,0.99,22.47,-1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPM,2017-06-20,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-07-18,7.0,7.0,7.0,6.0,6.0,7.0,10.0,2.62,3.82,62.4,38.0,66.0,50.0,24.5,0.0021,0.62,0.96,0.954,18.05,-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPM,2017-06-30,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2018-03-09,7.0,7.0,8.0,7.0,7.0,7.0,18.0,2.65,6.8,70.8,68.0,61.4,64.0,29.7,0.0184,3.14,2.06,0.89,17.2,2.45,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DPM,2017-07-28,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-08-25,7.0,7.0,7.0,7.0,7.0,7.0,10.0,2.72,3.68,62.1,37.0,66.0,48.4,16.7,-0.0201,0.4,7.28,0.954,15.59,-1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPM,2018-01-25,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-10-04,7.0,7.0,9.0,7.0,7.0,8.0,18.0,5.03,3.58,62.0,52.0,61.4,74.5,37.1,0.0512,3.5,2.58,0.99,34.82,8.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DPM,2018-02-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-03-05,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,71.6,52.0,71.0,51.5,37.0,-0.0091,0.75,-1.42,0.99,48.7,-1.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DPM,2018-07-25,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-04-03,6.0,6.0,7.0,6.0,6.0,6.0,18.0,4.61,3.9,58.1,39.0,61.4,62.6,17.1,0.0427,3.94,1.61,0.99,30.34,4.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DPM,2018-10-09,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-06,6.0,6.0,7.0,6.0,6.0,6.0,10.0,4.49,2.23,68.3,41.0,71.0,50.6,33.5,-0.012,0.27,-3.27,0.99,27.38,-1.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0
