ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
DXS,2022-09-06,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2023-05-16,16.0,16.0,19.0,15.0,16.0,16.0,18.0,6.0,3.0,57.2,36.0,61.4,80.4,21.4,0.2491,3.03,6.63,0.989,49.72,14.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DXS,2023-05-17,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-01-24,5.0,5.0,6.0,5.0,5.0,6.0,18.0,6.0,3.0,59.6,44.0,61.4,63.8,17.4,0.0429,4.81,3.04,0.99,47.67,6.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DXS,2023-06-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-02-22,7.0,7.0,8.0,7.0,7.0,7.0,15.0,6.0,2.5,50.0,37.0,53.2,70.7,39.7,0.0223,0.77,3.74,0.99,50.9,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DXS,2023-07-24,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-16,8.0,8.0,10.0,8.0,8.0,8.0,15.0,6.0,2.5,64.4,38.0,68.0,69.0,28.3,0.0453,0.94,0.13,0.99,50.3,10.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DXS,2024-05-29,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2025-02-05,8.0,8.0,10.0,8.0,8.0,8.0,18.0,6.0,3.0,57.2,36.0,61.4,72.8,20.8,0.089,4.8,6.0,0.99,44.56,7.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DXS,2024-06-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2025-02-20,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,50.0,38.0,53.2,59.3,29.5,-0.0199,0.46,1.32,0.99,35.27,1.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DXS,2024-12-10,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2025-08-19,8.0,8.0,9.0,7.0,8.0,8.0,15.0,6.0,2.5,51.7,45.0,53.2,69.7,61.5,-0.0064,1.95,-0.08,0.99,42.45,7.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DXS,2024-12-16,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2025-01-13,8.0,8.0,8.0,7.0,7.0,8.0,10.0,5.0,2.0,68.0,40.0,71.0,58.2,57.8,-0.0539,0.44,-2.93,0.99,39.38,0.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DXS,2025-06-24,BUY,2,UPTREND,Uptrend Chắc Chắn,"['UPTREND', 'STOCH_RSI']",2,60,2025-09-16,9.0,9.0,10.0,8.0,9.0,9.0,15.0,6.0,2.5,73.2,54.0,68.0,69.1,42.2,-0.011,1.21,0.85,0.99,48.89,6.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DXS,2025-07-01,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2025-07-29,9.0,9.0,10.0,8.0,8.0,9.0,10.0,5.0,2.0,66.5,35.0,71.0,55.8,43.0,-0.078,0.68,-9.28,0.99,47.08,-0.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DXS,2025-07-14,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2025-07-21,10.0,10.0,10.0,10.0,10.0,10.0,5.0,3.0,1.67,58.8,52.0,58.2,69.1,44.4,0.0059,2.19,0.16,0.99,49.96,8.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0
