ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
EIB,2017-03-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-11-28,8.0,8.0,9.0,7.0,8.0,8.0,18.0,4.9,3.67,57.2,36.0,61.4,73.9,14.4,0.0352,5.38,7.32,0.95,36.68,6.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2017-04-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-12-11,8.0,8.0,9.0,7.0,8.0,8.0,15.0,4.73,3.17,50.0,38.0,53.2,62.0,33.1,-0.0034,0.64,-1.95,0.921,33.9,2.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2017-04-12,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-05-10,8.0,8.0,8.0,7.0,7.0,8.0,10.0,5.0,2.0,68.3,41.0,71.0,52.9,29.9,-0.0324,0.5,-3.09,0.99,32.37,-0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2017-06-21,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-09-13,9.0,9.0,10.0,8.0,9.0,9.0,15.0,5.18,2.9,69.2,54.0,68.0,77.9,39.7,0.0768,3.32,4.28,0.954,35.73,7.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2017-07-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-10,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,68.6,42.0,71.0,56.2,40.2,-0.0242,0.3,-0.95,0.971,27.93,-0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2018-01-08,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-09-17,9.0,9.0,11.0,8.0,9.0,9.0,18.0,6.0,3.0,60.2,46.0,61.4,68.1,16.0,0.0535,3.89,3.1,0.99,49.32,8.34,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2018-01-26,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-04-20,10.0,10.0,12.0,10.0,10.0,10.0,15.0,5.93,2.53,63.5,35.0,68.0,72.2,28.5,0.0797,0.69,2.09,0.977,46.82,10.39,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2018-02-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-03-05,9.0,9.0,10.0,9.0,9.0,10.0,10.0,5.0,2.0,68.3,41.0,71.0,50.5,28.7,-0.0559,0.56,-9.31,0.99,50.34,-1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2019-01-31,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-10-10,11.0,11.0,13.0,10.0,11.0,11.0,18.0,4.45,4.05,61.1,49.0,61.4,78.7,43.9,0.094,4.49,-2.43,0.852,31.62,6.63,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2019-02-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-03-22,11.0,11.0,12.0,10.0,11.0,11.0,10.0,5.0,2.0,71.0,50.0,71.0,54.0,42.6,-0.0889,0.28,-0.69,0.99,36.68,-0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2019-02-25,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-11-04,12.0,12.0,13.0,11.0,11.0,12.0,15.0,5.9,2.54,52.3,47.0,53.2,64.2,41.4,-0.0718,0.58,4.37,0.99,42.43,4.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2019-06-28,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-09-20,12.0,12.0,14.0,12.0,12.0,12.0,15.0,4.54,3.3,65.6,42.0,68.0,58.1,40.4,0.0085,0.47,0.23,0.928,27.25,2.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2019-07-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-07-31,12.0,12.0,13.0,11.0,12.0,12.0,10.0,4.53,2.21,71.0,50.0,71.0,48.4,36.8,-0.0143,0.12,-1.84,0.91,26.28,-0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2020-01-10,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-09-18,12.0,12.0,14.0,11.0,11.0,12.0,18.0,5.43,3.32,59.9,45.0,61.4,62.1,26.3,0.0396,4.54,-1.45,0.99,28.98,3.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2020-02-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-03-02,12.0,12.0,13.0,11.0,11.0,12.0,10.0,5.0,2.0,70.1,47.0,71.0,52.6,25.8,-0.0086,0.78,2.91,0.99,25.92,0.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2020-06-19,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-26,12.0,12.0,14.0,11.0,12.0,12.0,15.0,4.96,3.02,50.0,37.0,53.2,70.3,40.6,-0.016,0.39,2.76,0.982,23.93,3.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2020-07-13,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2020-08-03,11.0,11.0,12.0,11.0,11.0,11.0,8.0,4.0,2.0,66.5,45.0,68.0,42.9,26.2,-0.0688,2.39,-4.93,0.99,17.35,-1.96,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EIB,2020-07-29,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-04-07,11.0,11.0,14.0,11.0,11.0,12.0,18.0,6.0,3.0,62.9,55.0,61.4,55.0,26.9,-0.0354,3.42,-0.43,0.99,34.22,3.47,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2020-10-06,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-10-13,11.0,11.0,12.0,11.0,11.0,12.0,5.0,3.0,1.67,56.7,45.0,58.2,65.5,23.2,0.0287,2.35,4.8,0.898,17.23,2.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EIB,2020-10-08,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2021-02-11,11.0,11.0,13.0,11.0,11.0,11.0,15.0,3.55,4.22,71.7,49.0,72.0,51.2,25.4,0.0209,1.4,4.78,0.905,17.61,0.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EIB,2020-11-16,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2020-12-07,11.0,11.0,12.0,11.0,11.0,11.0,8.0,3.18,2.52,66.2,44.0,68.0,45.2,11.9,-0.0116,1.77,3.67,0.931,11.69,-0.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EIB,2021-01-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-30,13.0,13.0,15.0,12.0,12.0,13.0,15.0,6.0,2.5,64.4,38.0,68.0,64.1,33.4,0.0766,0.87,-2.61,0.898,42.37,4.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2021-01-22,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-10-01,13.0,13.0,15.0,13.0,13.0,13.0,15.0,6.0,2.5,50.8,42.0,53.2,56.7,36.1,-0.0818,0.68,-0.06,0.942,45.78,1.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2021-03-31,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-12-08,13.0,13.0,15.0,12.0,13.0,13.0,18.0,5.76,3.13,60.2,46.0,61.4,66.0,16.5,0.0722,3.61,7.24,0.988,33.72,5.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2021-04-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-07-07,16.0,16.0,19.0,15.0,16.0,17.0,15.0,6.0,2.5,64.7,39.0,68.0,83.3,39.3,0.2758,1.47,7.51,0.99,49.8,17.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2021-05-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-06-07,16.0,16.0,18.0,15.0,16.0,16.0,10.0,5.0,2.0,71.0,50.0,71.0,52.6,42.8,-0.2294,0.52,-2.07,0.99,50.85,-3.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2021-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-07-13,20.0,20.0,21.0,19.0,19.0,20.0,10.0,5.0,2.0,68.9,43.0,71.0,53.8,32.5,-0.2187,0.47,-3.24,0.99,51.67,0.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2021-11-24,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-08-03,19.0,19.0,23.0,18.0,19.0,19.0,18.0,6.0,3.0,63.2,56.0,61.4,69.9,28.2,0.119,3.36,3.51,0.99,48.8,9.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2021-11-30,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-12-28,18.0,18.0,20.0,17.0,17.0,18.0,10.0,5.0,2.0,68.3,41.0,71.0,54.2,28.3,-0.0199,1.01,-4.57,0.99,45.82,-0.26,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2022-01-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2022-02-15,21.0,21.0,23.0,20.0,21.0,21.0,10.0,5.0,2.0,68.3,41.0,71.0,54.4,32.8,-0.1773,0.35,-9.19,0.99,45.41,-0.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2022-01-20,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-09-29,21.0,21.0,24.0,20.0,21.0,21.0,15.0,6.0,2.5,50.0,36.0,53.2,55.7,29.4,-0.2336,0.19,-1.08,0.99,42.79,-0.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2022-01-28,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2022-02-04,24.0,24.0,26.0,24.0,24.0,25.0,5.0,3.0,1.67,58.2,50.0,58.2,75.3,28.7,0.0932,3.15,7.16,0.989,45.33,9.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EIB,2022-02-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-05-09,24.0,24.0,27.0,22.0,23.0,24.0,15.0,6.0,2.5,67.4,48.0,68.0,64.6,31.1,-0.0198,2.43,-2.16,0.984,42.71,4.59,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2022-02-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2022-03-22,23.0,23.0,25.0,22.0,22.0,23.0,10.0,5.0,2.0,68.6,42.0,71.0,52.3,27.6,-0.1566,0.47,-0.73,0.99,39.31,-1.66,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2022-10-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-06-14,23.0,23.0,26.0,21.0,22.0,23.0,15.0,6.0,2.5,50.2,40.0,53.2,56.4,40.6,-0.1305,0.42,-0.7,0.99,52.66,1.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2023-05-29,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-02-05,16.0,16.0,19.0,15.0,15.0,16.0,18.0,4.12,4.37,57.5,37.0,61.4,64.4,17.4,0.0718,3.22,-1.1,0.99,26.43,4.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EIB,2023-06-20,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-02-27,16.0,16.0,19.0,15.0,16.0,16.0,15.0,4.98,3.01,50.8,42.0,53.2,54.2,25.9,-0.0536,0.6,1.26,0.99,27.94,-0.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,2023-08-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-09-18,18.0,18.0,20.0,17.0,18.0,18.0,10.0,5.0,2.0,71.6,52.0,71.0,52.1,36.9,-0.0645,0.45,-1.85,0.958,42.14,0.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2023-09-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-11-28,20.0,20.0,23.0,19.0,20.0,20.0,15.0,5.66,2.65,65.9,43.0,68.0,64.7,33.6,0.0573,1.31,6.98,0.94,42.25,4.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2024-01-12,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2024-01-19,18.0,18.0,19.0,18.0,18.0,18.0,5.0,3.0,1.67,55.5,41.0,58.2,67.8,21.7,0.1262,2.06,3.96,0.99,27.04,4.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EIB,2024-01-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2024-04-15,18.0,18.0,21.0,18.0,18.0,19.0,15.0,4.34,3.45,65.9,43.0,68.0,65.2,29.1,0.0779,1.23,8.31,0.99,26.3,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2024-01-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-02-26,18.0,18.0,19.0,17.0,17.0,18.0,10.0,4.14,2.41,71.3,51.0,71.0,50.3,30.4,-0.0279,0.81,2.5,0.99,24.27,-1.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2024-06-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-07-09,17.0,17.0,19.0,17.0,17.0,18.0,10.0,4.95,2.02,68.3,41.0,71.0,51.7,29.6,-0.0045,1.17,-3.99,0.99,32.14,-0.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2024-09-27,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2025-06-06,19.0,19.0,22.0,18.0,18.0,19.0,18.0,3.43,5.25,65.4,50.0,61.4,80.4,21.3,0.1431,3.7,2.77,0.99,22.12,6.72,0,0,0,0,0,1,1,0,0,0,0,0,0,0
EIB,2024-10-11,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2025-01-03,19.0,19.0,22.0,18.0,19.0,19.0,15.0,3.74,4.01,67.1,47.0,68.0,67.0,37.0,0.0605,0.61,9.49,0.99,23.85,3.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EIB,2024-10-14,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-11-11,18.0,18.0,20.0,17.0,18.0,18.0,10.0,4.55,2.2,74.9,63.0,71.0,51.3,34.6,-0.0105,4.37,-1.64,0.99,28.88,-1.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,2024-10-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2025-06-25,18.0,18.0,21.0,18.0,18.0,19.0,15.0,4.56,3.29,52.6,48.0,53.2,54.2,31.2,-0.0787,1.02,-0.36,0.99,27.69,-0.59,0,0,0,0,0,0,0,0,1,0,0,0,0,0
