ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
EVF,2019-08-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-09-10,4.0,4.0,5.0,4.0,4.0,4.0,10.0,5.0,2.0,71.3,51.0,71.0,54.3,33.9,-0.0317,0.52,4.2,0.99,54.61,-2.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EVF,2020-05-19,BUY,2,LIQUIDITY_SWEEP,Quét Thanh Khoản Bullish,"['VOLUME_EXPLOSION', 'LIQUIDITY_SWEEP']",2,10,2020-06-02,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,1.75,73.4,58.0,67.0,62.3,15.6,0.0166,9.47,5.61,0.99,50.11,6.13,0,0,0,0,0,0,1,0,0,0,0,0,1,0
EVF,2020-06-10,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-06-17,5.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,1.67,58.2,50.0,58.2,67.1,40.8,0.0188,2.78,1.02,0.99,44.51,9.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EVF,2020-09-04,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-05-14,4.0,4.0,5.0,4.0,4.0,5.0,15.0,6.0,2.5,50.0,35.0,53.2,53.5,25.8,0.0006,0.91,-7.54,0.99,38.22,0.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EVF,2020-10-26,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-01-18,5.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,2.5,64.4,38.0,68.0,62.9,34.1,-0.0233,1.07,1.13,0.99,32.15,3.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2020-12-01,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-12-08,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,1.67,55.5,41.0,58.2,75.5,27.0,0.0184,2.66,6.05,0.975,31.99,7.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EVF,2020-12-02,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-08-11,6.0,6.0,7.0,5.0,6.0,6.0,18.0,5.38,3.35,61.4,50.0,61.4,77.2,29.6,0.0372,3.13,3.59,0.963,31.28,6.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EVF,2020-12-25,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-19,6.0,6.0,7.0,6.0,6.0,6.0,15.0,6.0,2.5,65.6,42.0,68.0,58.5,46.9,-0.0045,0.81,-0.03,0.947,38.24,1.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2021-03-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-04-22,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,68.3,41.0,71.0,53.7,30.3,-0.0369,0.53,-5.69,0.99,48.14,-1.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EVF,2021-03-29,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-12-06,7.0,7.0,8.0,7.0,7.0,7.0,15.0,6.0,2.5,50.0,36.0,53.2,57.3,28.1,-0.05,0.53,-0.74,0.99,46.84,0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EVF,2021-04-12,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-07-05,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,64.7,39.0,68.0,71.8,36.1,0.0497,0.51,3.57,0.99,49.17,8.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2021-04-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-05-13,8.0,8.0,8.0,7.0,7.0,8.0,10.0,5.0,2.0,68.3,41.0,71.0,52.9,33.3,-0.0444,0.62,-6.42,0.99,47.72,-0.93,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EVF,2021-07-06,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-03-15,8.0,8.0,10.0,8.0,8.0,9.0,18.0,5.89,3.06,58.7,41.0,61.4,58.5,18.2,-0.0392,4.91,-2.47,0.974,33.3,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EVF,2021-09-20,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-12-13,10.0,10.0,11.0,9.0,10.0,10.0,15.0,6.0,2.5,66.5,45.0,68.0,76.4,29.0,0.0927,2.61,4.37,0.99,44.44,10.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2021-09-30,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-06-09,10.0,10.0,12.0,9.0,10.0,10.0,15.0,6.0,2.5,50.0,39.0,53.2,70.1,38.7,0.0202,0.29,2.63,0.99,38.17,6.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EVF,2021-11-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-02-14,14.0,14.0,16.0,13.0,14.0,14.0,15.0,6.0,2.5,65.6,42.0,68.0,68.6,48.8,-0.0439,1.06,-0.27,0.99,39.12,3.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2022-09-13,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2023-05-23,9.0,9.0,11.0,9.0,9.0,9.0,18.0,5.47,3.29,59.6,44.0,61.4,63.9,18.2,0.0011,3.78,4.64,0.983,43.53,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EVF,2023-01-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-02-15,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,66.8,36.0,71.0,56.6,33.0,-0.0325,0.74,-0.42,0.99,46.5,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EVF,2023-01-19,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-09-28,7.0,7.0,8.0,7.0,7.0,7.0,15.0,6.0,2.5,50.0,36.0,53.2,59.1,33.7,-0.0293,0.44,-1.38,0.99,45.41,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EVF,2023-05-17,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2024-01-24,7.0,7.0,9.0,7.0,7.0,7.0,18.0,4.44,4.06,66.0,52.0,61.4,75.4,23.6,0.0617,4.19,2.76,0.99,26.53,6.39,0,0,0,0,0,1,1,0,0,0,0,0,0,0
EVF,2023-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-07-13,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,71.6,52.0,71.0,54.1,54.9,-0.0513,0.67,-0.72,0.99,44.93,-1.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EVF,2023-07-28,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-20,9.0,9.0,10.0,8.0,9.0,9.0,15.0,5.74,2.61,67.4,48.0,68.0,64.8,28.3,0.0769,1.6,3.46,0.99,38.5,4.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVF,2023-08-24,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-05-02,10.0,10.0,12.0,10.0,10.0,11.0,15.0,6.0,2.5,50.0,37.0,53.2,65.4,35.4,0.0286,0.33,-3.27,0.99,47.28,8.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0
