ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
FRT,2019-06-21,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-07-05,22.21,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,78.0,25.1,0.2829,1.42,4.85,0.99,6.63,TRUNG BÌNH,36.95,10.68,0,0,0,1,0,0,0,0,0
FRT,2019-06-26,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-07-10,22.47,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,76.3,31.4,0.2888,1.66,0.68,0.99,6.31,TRUNG BÌNH,35.14,9.2,0,0,0,1,0,0,0,0,0
FRT,2019-06-27,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-07-11,22.93,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,78.7,33.6,0.301,1.11,-0.23,0.99,6.28,TRUNG BÌNH,34.98,10.54,0,0,0,1,0,0,0,0,0
FRT,2019-06-28,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-07-12,24.46,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,84.4,36.3,0.3855,1.32,8.68,0.99,7.66,TRUNG BÌNH,42.7,16.68,0,0,0,1,0,0,0,0,0
FRT,2019-07-03,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-07-17,22.93,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,65.6,43.2,0.1846,0.59,1.82,0.99,8.1,CAO,45.14,8.06,0,0,0,1,0,0,0,0,0
FRT,2019-08-05,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-04-13,22.69,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,64.7,24.8,0.1013,3.42,4.08,0.983,6.43,TRUNG BÌNH,35.82,5.29,0,0,0,0,0,0,1,0,0
FRT,2020-08-05,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2021-04-14,9.61,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,43.3,20.9,-0.1091,0.64,4.37,0.99,10.54,CAO,58.74,-7.07,0,0,0,0,0,0,0,0,1
FRT,2020-09-10,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2020-10-08,11.21,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,63.8,16.5,0.0333,2.72,-1.5,0.99,7.22,TRUNG BÌNH,40.21,5.02,0,0,0,0,1,0,0,0,0
FRT,2020-09-23,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-10-07,11.6,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,65.4,25.3,0.035,0.66,-2.59,0.99,6.19,TRUNG BÌNH,34.47,3.81,0,0,0,1,0,0,0,1,0
FRT,2020-09-24,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-06-03,11.3,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,56.7,25.2,0.0066,1.44,5.4,0.99,6.26,TRUNG BÌNH,34.9,0.78,0,0,0,0,0,0,0,1,0
FRT,2020-12-09,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-12-23,11.83,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,69.9,29.4,0.1689,1.5,-0.8,0.99,7.21,TRUNG BÌNH,40.16,6.19,0,0,0,1,0,0,0,1,0
FRT,2020-12-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-08-19,11.46,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,60.5,29.7,0.1254,1.62,-0.84,0.99,7.32,TRUNG BÌNH,40.79,2.42,0,0,0,0,0,0,0,1,0
FRT,2020-12-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-08-20,11.67,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,63.5,29.4,0.1028,1.45,11.03,0.975,7.21,TRUNG BÌNH,40.18,3.99,0,0,0,0,0,0,0,1,0
FRT,2020-12-14,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-12-28,12.47,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,72.2,30.4,0.132,2.54,3.92,0.971,8.47,CAO,47.21,9.65,0,0,0,1,0,0,0,1,0
FRT,2020-12-15,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-12-29,12.29,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,68.2,31.7,0.1292,2.29,2.44,0.984,8.28,CAO,46.11,6.83,0,0,0,1,0,0,0,1,0
FRT,2020-12-16,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-08-25,12.91,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,73.6,33.1,0.1573,1.82,3.7,0.99,8.76,CAO,48.82,10.95,0,0,0,0,0,0,0,1,0
FRT,2020-12-18,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-08-27,13.3,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,76.4,36.5,0.1857,1.34,11.91,0.99,8.37,CAO,46.63,11.91,0,0,0,0,0,0,0,1,0
FRT,2020-12-22,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-08-31,13.25,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,74.5,39.9,0.1598,1.05,0.81,0.99,7.88,TRUNG BÌNH,43.93,9.41,0,0,0,0,0,0,0,1,0
