ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
FTS,2018-01-10,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-09-19,4.0,4.0,5.0,4.0,4.0,4.0,18.0,4.85,3.71,60.8,48.0,61.4,83.5,33.6,0.0483,4.6,7.21,0.99,42.48,13.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FTS,2018-02-01,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-10-11,4.0,4.0,5.0,4.0,4.0,4.0,15.0,5.75,2.61,50.0,37.0,53.2,66.3,44.3,-0.0163,0.36,-3.93,0.99,38.39,4.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FTS,2018-04-09,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-04-16,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,1.67,54.6,38.0,58.2,73.3,21.1,0.0167,4.15,9.56,0.99,38.82,7.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FTS,2018-10-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-12,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,2.0,72.5,55.0,71.0,52.6,45.2,-0.0396,1.15,4.37,0.99,42.34,-1.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FTS,2018-10-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-06-25,5.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,2.5,50.8,42.0,53.2,60.7,43.3,-0.0359,0.54,-1.59,0.99,46.55,3.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FTS,2018-11-20,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-07-30,5.0,5.0,6.0,5.0,5.0,6.0,18.0,4.65,3.87,58.7,41.0,61.4,69.2,17.7,0.0061,4.79,1.48,0.983,40.54,7.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FTS,2018-11-26,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-02-18,6.0,6.0,7.0,6.0,6.0,6.0,15.0,5.04,2.97,66.5,45.0,68.0,74.5,28.4,0.0693,2.04,4.94,0.983,42.55,7.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FTS,2018-11-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-12-27,5.0,5.0,6.0,5.0,5.0,5.0,10.0,5.0,2.0,69.8,46.0,71.0,51.0,28.9,0.0088,1.59,-5.17,0.985,44.89,-3.63,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FTS,2019-12-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-01-02,4.0,4.0,5.0,4.0,4.0,4.0,10.0,5.0,2.0,71.0,50.0,71.0,49.6,42.4,0.0037,0.15,-2.93,0.99,44.6,0.69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FTS,2019-12-17,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-08-25,4.0,4.0,5.0,4.0,4.0,4.0,15.0,5.44,2.76,50.0,39.0,53.2,50.4,31.5,-0.0205,0.37,-4.5,0.99,37.74,-0.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FTS,2020-03-03,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-11-10,5.0,5.0,5.0,4.0,5.0,5.0,18.0,6.0,3.0,58.1,39.0,61.4,63.2,20.5,-0.0039,3.01,-0.4,0.99,40.92,4.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FTS,2020-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-07-13,5.0,5.0,5.0,4.0,5.0,5.0,10.0,5.0,2.0,68.3,41.0,71.0,52.1,32.8,-0.0133,0.5,-10.25,0.99,53.87,-4.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FTS,2020-06-17,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-24,5.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,2.5,50.0,38.0,53.2,55.1,29.3,-0.0373,0.75,-1.28,0.99,50.98,-3.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FTS,2020-06-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-09-21,6.0,6.0,7.0,5.0,6.0,6.0,15.0,6.0,2.5,66.5,45.0,68.0,76.8,32.1,0.0623,2.16,6.7,0.99,51.96,10.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FTS,2020-09-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-10-22,5.0,5.0,6.0,5.0,5.0,5.0,10.0,4.88,2.05,69.2,44.0,71.0,54.0,26.4,-0.0035,0.42,-2.35,0.99,33.07,0.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FTS,2020-12-21,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-15,6.0,6.0,7.0,6.0,6.0,6.0,15.0,5.43,2.76,66.5,45.0,68.0,73.7,32.6,0.0578,2.24,4.08,0.99,41.68,10.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0
