ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
GEE,2023-04-18,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2023-12-26,17.85,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,50.7,28.1,-0.031,3.52,-4.12,0.86,9.27,CAO,51.67,0.81,0,0,0,0,0,0,1,0,0
GEE,2023-05-08,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2023-06-05,18.27,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,55.5,31.1,0.0019,1.75,3.66,0.975,8.46,CAO,47.13,2.49,0,0,0,0,1,0,0,0,0
GEE,2023-05-16,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2023-06-13,18.68,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,59.1,31.6,0.089,1.02,2.03,0.951,7.47,TRUNG BÌNH,41.6,5.08,0,0,0,0,1,0,0,0,0
GEE,2023-05-24,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2024-01-31,18.27,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,52.2,39.0,0.0066,0.16,-3.71,0.907,10.41,CAO,58.0,1.5,0,0,0,0,0,0,0,0,1
GEE,2023-06-06,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-02-13,19.73,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,58.3,34.0,0.1126,4.46,3.71,0.951,10.66,CAO,59.39,6.47,0,0,0,0,0,0,1,0,0
GEE,2023-06-08,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-02-15,19.17,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,53.7,31.1,0.0238,8.49,-2.6,0.973,10.68,CAO,59.53,0.71,0,0,0,0,0,0,1,0,0
GEE,2023-06-14,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2024-02-21,19.38,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,54.5,24.7,-0.0321,0.15,1.54,0.979,9.97,CAO,55.53,1.47,0,0,0,0,0,0,0,0,1
GEE,2023-08-11,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-04-19,18.73,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,53.3,12.8,0.0062,6.64,-5.33,0.99,4.49,TRUNG BÌNH,24.99,0.72,0,0,0,0,0,0,1,0,0
GEE,2023-08-23,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-05-01,18.03,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,41.9,12.1,-0.0722,3.1,-1.0,0.944,4.84,TRUNG BÌNH,26.97,-2.44,0,0,0,0,0,0,1,0,0
GEE,2023-09-08,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-05-17,18.59,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,52.5,12.9,0.0173,4.88,0.5,0.919,4.7,TRUNG BÌNH,26.17,0.91,0,0,0,0,0,0,1,0,0
GEE,2023-09-18,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-05-27,18.63,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,53.1,10.2,0.0199,5.89,2.37,0.941,4.29,TRUNG BÌNH,23.93,1.2,0,0,0,0,0,0,1,0,0
GEE,2023-10-02,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-06-10,19.14,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,60.3,22.5,0.0589,11.85,1.75,0.905,5.71,TRUNG BÌNH,31.82,3.08,0,0,0,0,0,0,1,0,0
GEE,2023-10-20,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2024-06-28,19.14,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,53.3,25.7,0.0031,0.1,-1.37,0.833,6.66,TRUNG BÌNH,37.1,2.13,0,0,0,0,0,0,0,1,0
GEE,2023-10-23,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2023-11-06,19.22,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,54.2,26.9,-0.0015,0.1,-2.2,0.833,6.46,TRUNG BÌNH,36.01,2.04,0,0,0,1,0,0,0,1,0
GEE,2023-10-24,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2024-07-02,19.36,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,55.8,28.0,0.0028,0.03,1.45,0.837,6.29,TRUNG BÌNH,35.03,2.61,0,0,0,0,0,0,0,1,0
GEE,2023-10-25,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2023-11-08,19.44,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,56.8,29.1,0.0086,0.04,-5.19,0.844,6.1,TRUNG BÌNH,34.0,3.0,0,0,0,1,0,0,0,1,0
GEE,2023-10-26,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2024-07-04,19.14,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,52.3,29.6,-0.0092,0.45,-3.25,0.875,6.01,TRUNG BÌNH,33.5,1.25,0,0,0,0,0,0,0,1,0
GEE,2023-10-27,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2024-07-05,19.29,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,54.2,29.9,-0.0122,0.0,1.06,0.887,5.86,TRUNG BÌNH,32.63,1.98,0,0,0,0,0,0,0,1,0
GEE,2023-11-01,BUY,1,SAR_MACD,SAR × MACD Histogram,"['DMI_WAVE', 'SAR_MACD', 'VOLUME_EXPLOSION', 'UPTREND']",4,20,2023-11-29,19.88,0,0,0,0,-100.0,100.0,-1.0,85.6,70.6,61.3,33.8,0.0087,5.87,1.55,0.875,6.0,TRUNG BÌNH,33.44,1.54,0,0,0,1,1,0,1,1,0
GEE,2023-11-02,BUY,1,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'VOLUME_EXPLOSION', 'UPTREND']",3,10,2023-11-16,22.01,0,0,0,0,-100.0,100.0,-1.0,80.0,70.0,75.8,36.9,0.1688,13.65,5.33,0.876,9.48,CAO,52.79,3.72,0,0,0,1,0,0,1,1,0
GEE,2023-11-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2024-07-12,22.09,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,76.1,39.9,0.2633,9.24,3.74,0.868,9.19,CAO,51.2,0.4,0,0,0,0,0,0,0,1,0
