ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
GVR,2019-01-11,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2019-05-17,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,75.6,62.0,72.0,50.7,35.2,-0.016,2.02,0.32,0.914,43.0,-0.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GVR,2019-01-30,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-10-09,9.0,9.0,10.0,8.0,8.0,9.0,18.0,6.0,3.0,63.5,57.0,61.4,58.9,44.9,0.0232,4.02,-1.09,0.907,38.8,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GVR,2019-02-26,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-11-05,9.0,9.0,10.0,8.0,8.0,9.0,15.0,6.0,2.5,55.3,57.0,53.2,54.1,38.6,-0.0001,0.95,2.7,0.93,39.04,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GVR,2019-02-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-03-27,8.0,8.0,9.0,8.0,8.0,9.0,10.0,5.0,2.0,76.1,67.0,71.0,51.8,38.8,-0.0048,4.39,-0.46,0.94,38.07,-0.78,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GVR,2019-04-09,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-05-07,10.0,10.0,11.0,10.0,10.0,10.0,10.0,5.0,2.0,71.6,52.0,71.0,54.5,49.7,-0.061,1.12,-1.34,0.944,53.59,-1.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GVR,2019-06-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-07-02,10.0,10.0,11.0,10.0,10.0,10.0,10.0,5.0,2.0,68.3,41.0,71.0,49.8,28.1,-0.0075,0.46,-3.49,0.99,49.0,-0.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GVR,2019-06-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-07-22,11.0,11.0,12.0,11.0,11.0,11.0,10.0,5.0,2.0,71.3,51.0,71.0,52.0,33.0,-0.0298,0.94,2.07,0.99,52.4,-2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GVR,2019-07-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-10-14,12.0,12.0,14.0,12.0,12.0,12.0,15.0,6.0,2.5,68.9,53.0,68.0,64.6,32.3,0.0396,2.62,6.1,0.99,39.5,5.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GVR,2019-08-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-09-24,14.0,14.0,15.0,13.0,14.0,14.0,10.0,5.0,2.0,67.4,38.0,71.0,56.4,29.6,-0.0743,0.89,0.5,0.99,39.77,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GVR,2020-09-30,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-12-23,11.0,11.0,13.0,11.0,11.0,11.0,15.0,4.36,3.44,65.9,43.0,68.0,65.8,29.3,-0.0209,0.63,2.37,0.99,25.58,3.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0
