ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
HAG,2016-11-22,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2016-12-06,6.23,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,73.8,27.0,0.1056,1.99,4.81,0.99,8.36,CAO,46.57,11.35,0,0,0,1,0,0,0,0,0
HAG,2016-11-24,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2016-12-08,6.45,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,76.4,30.8,0.1207,2.27,9.53,0.99,8.35,CAO,46.53,12.37,0,0,0,1,0,0,0,0,0
HAG,2017-02-13,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-02-27,6.24,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,66.1,26.2,0.0887,1.72,1.03,0.99,8.66,CAO,48.23,10.21,0,0,0,1,0,0,0,0,0
HAG,2017-02-14,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-02-28,6.52,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,70.7,27.4,0.1009,1.79,3.39,0.99,8.96,CAO,49.91,13.26,0,0,0,1,0,0,0,0,0
HAG,2017-02-15,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-03-01,6.8,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,74.5,29.0,0.1198,1.63,6.5,0.99,9.19,CAO,51.19,16.08,0,0,0,1,0,0,0,0,0
HAG,2017-02-16,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'VOLUME_EXPLOSION']",2,10,2017-03-02,7.05,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,77.3,31.0,0.1399,3.13,7.15,0.99,9.27,CAO,51.65,15.12,0,0,0,1,0,0,1,0,0
HAG,2017-02-20,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-03-06,7.74,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,83.1,35.3,0.1869,1.87,9.66,0.99,10.12,CAO,56.4,21.78,0,0,0,1,0,0,0,0,0
HAG,2017-03-07,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-11-14,8.01,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,67.1,37.2,-0.013,0.4,-1.58,0.99,9.91,CAO,55.24,8.45,0,0,0,0,0,0,0,1,0
HAG,2017-03-08,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-11-15,8.04,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,67.5,35.7,-0.0306,0.63,-2.55,0.99,9.62,CAO,53.57,7.97,0,0,0,0,0,0,0,1,0
HAG,2017-03-09,BUY,2,UPTREND,Uptrend,"['UPTREND', 'STOCH_RSI']",2,180,2017-11-16,8.3,0,0,0,0,-100.0,100.0,-1.0,64.3,59.3,70.9,35.1,-0.0288,1.15,-0.25,0.99,9.59,CAO,53.44,9.87,0,0,0,0,0,0,0,1,1
