ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
HCM,2017-02-07,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2017-10-17,4.0,4.0,5.0,4.0,4.0,4.0,18.0,3.19,5.65,67.2,56.0,61.4,70.0,26.7,0.0098,3.34,3.69,0.94,23.97,4.09,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HCM,2017-03-02,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-30,4.0,4.0,5.0,4.0,4.0,5.0,10.0,5.0,2.0,69.5,45.0,71.0,54.5,39.9,-0.0138,0.56,-4.67,0.99,28.44,-0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCM,2017-03-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-11-10,4.0,4.0,5.0,4.0,4.0,5.0,15.0,4.97,3.02,50.8,42.0,53.2,56.2,37.6,-0.0182,0.63,1.46,0.99,27.7,0.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HCM,2017-03-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-06-09,5.0,5.0,5.0,5.0,5.0,5.0,15.0,4.36,3.44,65.9,43.0,68.0,68.3,32.6,0.0045,1.78,-0.57,0.99,25.38,2.92,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HCM,2017-03-30,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-04-27,5.0,5.0,5.0,4.0,5.0,5.0,10.0,3.94,2.54,70.4,48.0,71.0,54.7,29.0,-0.0143,0.41,0.19,0.99,23.16,0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCM,2017-05-16,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-08,5.0,5.0,6.0,5.0,5.0,5.0,15.0,5.24,2.86,65.9,43.0,68.0,64.8,32.9,0.0728,1.76,-0.12,0.99,36.79,4.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HCM,2017-07-12,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-09,7.0,7.0,8.0,6.0,7.0,7.0,10.0,5.0,2.0,71.6,52.0,71.0,54.6,36.5,-0.0523,0.8,-1.78,0.99,41.23,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCM,2017-12-01,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-23,8.0,8.0,9.0,7.0,8.0,8.0,15.0,5.1,2.94,64.7,39.0,68.0,78.4,51.1,0.0952,0.53,3.15,0.99,35.57,11.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HCM,2017-12-14,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-23,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,50.8,42.0,53.2,62.1,50.3,-0.0296,0.88,0.96,0.99,38.85,4.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HCM,2018-01-17,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-02-14,9.0,9.0,10.0,9.0,9.0,9.0,10.0,5.0,2.0,71.0,50.0,71.0,54.6,49.2,-0.0663,1.01,-2.67,0.99,38.06,-1.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
