ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
HHV,2021-09-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-10-11,15.0,15.0,17.0,14.0,15.0,15.0,10.0,5.0,2.0,68.6,42.0,71.0,51.9,25.2,-0.0777,0.87,-1.54,0.982,53.07,-2.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HHV,2021-11-09,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-07-19,17.0,17.0,20.0,16.0,17.0,17.0,18.0,6.0,3.0,59.6,44.0,61.4,67.6,18.7,0.1427,3.49,3.01,0.981,47.32,8.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HHV,2021-11-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-12-20,16.0,16.0,18.0,15.0,16.0,16.0,10.0,5.0,2.0,68.3,41.0,71.0,49.4,29.1,-0.0095,1.15,-8.13,0.977,48.27,-1.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HHV,2021-11-23,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-08-02,17.0,17.0,19.0,16.0,17.0,17.0,15.0,6.0,2.5,50.0,38.0,53.2,55.3,28.1,-0.0286,0.56,-1.05,0.983,50.09,2.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HHV,2021-12-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-03-08,20.0,20.0,22.0,18.0,19.0,20.0,15.0,6.0,2.5,64.4,38.0,68.0,65.0,29.3,0.0915,1.13,-0.89,0.984,48.4,8.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HHV,2022-09-19,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2023-05-29,12.0,12.0,14.0,11.0,11.0,12.0,18.0,6.0,3.0,58.1,39.0,61.4,61.8,14.2,0.0165,4.13,1.68,0.99,38.32,4.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HHV,2023-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-07-13,11.0,11.0,12.0,11.0,11.0,11.0,10.0,5.0,2.0,70.1,47.0,71.0,55.7,38.7,-0.036,0.58,2.45,0.99,30.57,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HHV,2023-06-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-02-23,11.0,11.0,13.0,11.0,11.0,11.0,15.0,5.29,2.84,50.8,42.0,53.2,57.4,38.5,-0.0416,1.16,-1.53,0.99,29.76,0.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HHV,2023-06-20,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-09-12,12.0,12.0,14.0,12.0,12.0,12.0,15.0,5.37,2.79,66.2,44.0,68.0,71.7,39.4,0.0144,1.61,2.07,0.99,38.94,7.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HHV,2023-09-13,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-05-22,14.0,14.0,17.0,14.0,14.0,14.0,18.0,5.49,3.28,58.4,40.0,61.4,73.6,23.1,0.1772,4.49,5.76,0.99,39.96,9.93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
